epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.6081
1,2026,size_merlin,1,r2,0.5157
1,2026,size_merlin,2,r2,0.2348
1,2026,size_merlin,3,r2,0.2691
1,2026,size_merlin,4,r2,0.2937
1,2026,size_merlin,5,r2,0.1278
1,2026,size_merlin,mean,r2,0.3415
2,2026,size_merlin,0,r2,0.7283
2,2026,size_merlin,1,r2,0.6617
2,2026,size_merlin,2,r2,0.3629
2,2026,size_merlin,3,r2,0.3795
2,2026,size_merlin,4,r2,0.3724
2,2026,size_merlin,5,r2,0.1667
2,2026,size_merlin,mean,r2,0.4453
3,2026,size_merlin,0,r2,0.7716
3,2026,size_merlin,1,r2,0.7028
3,2026,size_merlin,2,r2,0.3827
3,2026,size_merlin,3,r2,0.3188
3,2026,size_merlin,4,r2,0.3665
3,2026,size_merlin,5,r2,0.1847
3,2026,size_merlin,mean,r2,0.4545
4,2026,size_merlin,0,r2,0.771
4,2026,size_merlin,1,r2,0.7143
4,2026,size_merlin,2,r2,0.4082
4,2026,size_merlin,3,r2,0.4465
4,2026,size_merlin,4,r2,0.4098
4,2026,size_merlin,5,r2,0.1858
4,2026,size_merlin,mean,r2,0.4893
5,2026,size_merlin,0,r2,0.7881
5,2026,size_merlin,1,r2,0.7197
5,2026,size_merlin,2,r2,0.4399
5,2026,size_merlin,3,r2,0.4519
5,2026,size_merlin,4,r2,0.4441
5,2026,size_merlin,5,r2,0.2005
5,2026,size_merlin,mean,r2,0.5074
6,2026,size_merlin,0,r2,0.7739
6,2026,size_merlin,1,r2,0.6766
6,2026,size_merlin,2,r2,0.4677
6,2026,size_merlin,3,r2,0.4649
6,2026,size_merlin,4,r2,0.4507
6,2026,size_merlin,5,r2,0.1884
6,2026,size_merlin,mean,r2,0.5037
7,2026,size_merlin,0,r2,0.7911
7,2026,size_merlin,1,r2,0.7208
7,2026,size_merlin,2,r2,0.4508
7,2026,size_merlin,3,r2,0.4578
7,2026,size_merlin,4,r2,0.4243
7,2026,size_merlin,5,r2,0.2258
7,2026,size_merlin,mean,r2,0.5118
8,2026,size_merlin,0,r2,0.8027
8,2026,size_merlin,1,r2,0.7216
8,2026,size_merlin,2,r2,0.4836
8,2026,size_merlin,3,r2,0.4874
8,2026,size_merlin,4,r2,0.4749
8,2026,size_merlin,5,r2,0.2569
8,2026,size_merlin,mean,r2,0.5379
9,2026,size_merlin,0,r2,0.803
9,2026,size_merlin,1,r2,0.7191
9,2026,size_merlin,2,r2,0.4807
9,2026,size_merlin,3,r2,0.4746
9,2026,size_merlin,4,r2,0.4822
9,2026,size_merlin,5,r2,0.2586
9,2026,size_merlin,mean,r2,0.5363
10,2026,size_merlin,0,r2,0.8126
10,2026,size_merlin,1,r2,0.724
10,2026,size_merlin,2,r2,0.4918
10,2026,size_merlin,3,r2,0.4977
10,2026,size_merlin,4,r2,0.4908
10,2026,size_merlin,5,r2,0.2539
10,2026,size_merlin,mean,r2,0.5451
