epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.2977
1,2026,location_merlin,1,r2,0.1305
1,2026,location_merlin,2,r2,0.35
1,2026,location_merlin,mean,r2,0.2594
2,2026,location_merlin,0,r2,0.328
2,2026,location_merlin,1,r2,0.2181
2,2026,location_merlin,2,r2,0.3716
2,2026,location_merlin,mean,r2,0.3059
3,2026,location_merlin,0,r2,0.3774
3,2026,location_merlin,1,r2,0.2467
3,2026,location_merlin,2,r2,0.3898
3,2026,location_merlin,mean,r2,0.338
4,2026,location_merlin,0,r2,0.378
4,2026,location_merlin,1,r2,0.2571
4,2026,location_merlin,2,r2,0.3338
4,2026,location_merlin,mean,r2,0.323
5,2026,location_merlin,0,r2,0.3965
5,2026,location_merlin,1,r2,0.253
5,2026,location_merlin,2,r2,0.3779
5,2026,location_merlin,mean,r2,0.3425
6,2026,location_merlin,0,r2,0.406
6,2026,location_merlin,1,r2,0.2734
6,2026,location_merlin,2,r2,0.3781
6,2026,location_merlin,mean,r2,0.3525
7,2026,location_merlin,0,r2,0.4122
7,2026,location_merlin,1,r2,0.2352
7,2026,location_merlin,2,r2,0.3999
7,2026,location_merlin,mean,r2,0.3491
8,2026,location_merlin,0,r2,0.3884
8,2026,location_merlin,1,r2,0.2908
8,2026,location_merlin,2,r2,0.4096
8,2026,location_merlin,mean,r2,0.363
9,2026,location_merlin,0,r2,0.416
9,2026,location_merlin,1,r2,0.2718
9,2026,location_merlin,2,r2,0.4056
9,2026,location_merlin,mean,r2,0.3644
10,2026,location_merlin,0,r2,0.4337
10,2026,location_merlin,1,r2,0.3037
10,2026,location_merlin,2,r2,0.4085
10,2026,location_merlin,mean,r2,0.3819
