epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.806
1,2026,density,1,r2,0.3662
1,2026,density,2,r2,0.924
1,2026,density,3,r2,0.9069
1,2026,density,mean,r2,0.7508
2,2026,density,0,r2,0.8144
2,2026,density,1,r2,0.4912
2,2026,density,2,r2,0.9194
2,2026,density,3,r2,0.9082
2,2026,density,mean,r2,0.7833
3,2026,density,0,r2,0.818
3,2026,density,1,r2,0.5366
3,2026,density,2,r2,0.9353
3,2026,density,3,r2,0.9239
3,2026,density,mean,r2,0.8034
4,2026,density,0,r2,0.8244
4,2026,density,1,r2,0.5879
4,2026,density,2,r2,0.9407
4,2026,density,3,r2,0.9266
4,2026,density,mean,r2,0.8199
5,2026,density,0,r2,0.8273
5,2026,density,1,r2,0.5845
5,2026,density,2,r2,0.9387
5,2026,density,3,r2,0.9328
5,2026,density,mean,r2,0.8208
6,2026,density,0,r2,0.829
6,2026,density,1,r2,0.6592
6,2026,density,2,r2,0.9471
6,2026,density,3,r2,0.93
6,2026,density,mean,r2,0.8413
7,2026,density,0,r2,0.8386
7,2026,density,1,r2,0.6646
7,2026,density,2,r2,0.9436
7,2026,density,3,r2,0.9332
7,2026,density,mean,r2,0.845
8,2026,density,0,r2,0.8349
8,2026,density,1,r2,0.7036
8,2026,density,2,r2,0.9501
8,2026,density,3,r2,0.9345
8,2026,density,mean,r2,0.8558
9,2026,density,0,r2,0.8423
9,2026,density,1,r2,0.7208
9,2026,density,2,r2,0.9504
9,2026,density,3,r2,0.936
9,2026,density,mean,r2,0.8624
10,2026,density,0,r2,0.837
10,2026,density,1,r2,0.7576
10,2026,density,2,r2,0.9448
10,2026,density,3,r2,0.9391
10,2026,density,mean,r2,0.8696
1,2027,density,0,r2,0.7857
1,2027,density,1,r2,0.3692
1,2027,density,2,r2,0.92
1,2027,density,3,r2,0.9113
1,2027,density,mean,r2,0.7465
2,2027,density,0,r2,0.8234
2,2027,density,1,r2,0.449
2,2027,density,2,r2,0.9335
2,2027,density,3,r2,0.9186
2,2027,density,mean,r2,0.7811
3,2027,density,0,r2,0.8294
3,2027,density,1,r2,0.5346
3,2027,density,2,r2,0.9356
3,2027,density,3,r2,0.9153
3,2027,density,mean,r2,0.8037
4,2027,density,0,r2,0.8204
4,2027,density,1,r2,0.565
4,2027,density,2,r2,0.9355
4,2027,density,3,r2,0.9192
4,2027,density,mean,r2,0.81
5,2027,density,0,r2,0.8401
5,2027,density,1,r2,0.6293
5,2027,density,2,r2,0.9449
5,2027,density,3,r2,0.9215
5,2027,density,mean,r2,0.8339
6,2027,density,0,r2,0.8363
6,2027,density,1,r2,0.6198
6,2027,density,2,r2,0.9296
6,2027,density,3,r2,0.9061
6,2027,density,mean,r2,0.823
7,2027,density,0,r2,0.8337
7,2027,density,1,r2,0.6713
7,2027,density,2,r2,0.9488
7,2027,density,3,r2,0.9321
7,2027,density,mean,r2,0.8465
8,2027,density,0,r2,0.8364
8,2027,density,1,r2,0.7053
8,2027,density,2,r2,0.9535
8,2027,density,3,r2,0.9311
8,2027,density,mean,r2,0.8566
9,2027,density,0,r2,0.8344
9,2027,density,1,r2,0.6922
9,2027,density,2,r2,0.952
9,2027,density,3,r2,0.9301
9,2027,density,mean,r2,0.8522
10,2027,density,0,r2,0.8423
10,2027,density,1,r2,0.718
10,2027,density,2,r2,0.9511
10,2027,density,3,r2,0.9333
10,2027,density,mean,r2,0.8612
1,2028,density,0,r2,0.7806
1,2028,density,1,r2,0.343
1,2028,density,2,r2,0.9214
1,2028,density,3,r2,0.9038
1,2028,density,mean,r2,0.7372
2,2028,density,0,r2,0.8302
2,2028,density,1,r2,0.4553
2,2028,density,2,r2,0.9334
2,2028,density,3,r2,0.915
2,2028,density,mean,r2,0.7835
3,2028,density,0,r2,0.8298
3,2028,density,1,r2,0.5299
3,2028,density,2,r2,0.9366
3,2028,density,3,r2,0.9232
3,2028,density,mean,r2,0.8049
4,2028,density,0,r2,0.8187
4,2028,density,1,r2,0.5782
4,2028,density,2,r2,0.9433
4,2028,density,3,r2,0.9273
4,2028,density,mean,r2,0.8169
5,2028,density,0,r2,0.8267
5,2028,density,1,r2,0.6239
5,2028,density,2,r2,0.9459
5,2028,density,3,r2,0.93
5,2028,density,mean,r2,0.8316
6,2028,density,0,r2,0.849
6,2028,density,1,r2,0.6846
6,2028,density,2,r2,0.9449
6,2028,density,3,r2,0.9356
6,2028,density,mean,r2,0.8535
7,2028,density,0,r2,0.8322
7,2028,density,1,r2,0.682
7,2028,density,2,r2,0.9503
7,2028,density,3,r2,0.9349
7,2028,density,mean,r2,0.8498
8,2028,density,0,r2,0.8406
8,2028,density,1,r2,0.6946
8,2028,density,2,r2,0.9514
8,2028,density,3,r2,0.9339
8,2028,density,mean,r2,0.8551
9,2028,density,0,r2,0.8515
9,2028,density,1,r2,0.7193
9,2028,density,2,r2,0.9492
9,2028,density,3,r2,0.9298
9,2028,density,mean,r2,0.8625
10,2028,density,0,r2,0.8438
10,2028,density,1,r2,0.733
10,2028,density,2,r2,0.9499
10,2028,density,3,r2,0.9351
10,2028,density,mean,r2,0.8654
