epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9075
1,2026,radiomics,1,r2,0.1752
1,2026,radiomics,2,r2,0.8448
1,2026,radiomics,mean,r2,0.6425
2,2026,radiomics,0,r2,0.9209
2,2026,radiomics,1,r2,0.1983
2,2026,radiomics,2,r2,0.8564
2,2026,radiomics,mean,r2,0.6585
3,2026,radiomics,0,r2,0.908
3,2026,radiomics,1,r2,0.2728
3,2026,radiomics,2,r2,0.8405
3,2026,radiomics,mean,r2,0.6738
4,2026,radiomics,0,r2,0.9174
4,2026,radiomics,1,r2,0.3068
4,2026,radiomics,2,r2,0.8565
4,2026,radiomics,mean,r2,0.6936
5,2026,radiomics,0,r2,0.9232
5,2026,radiomics,1,r2,0.4162
5,2026,radiomics,2,r2,0.884
5,2026,radiomics,mean,r2,0.7411
6,2026,radiomics,0,r2,0.9256
6,2026,radiomics,1,r2,0.4316
6,2026,radiomics,2,r2,0.8825
6,2026,radiomics,mean,r2,0.7466
7,2026,radiomics,0,r2,0.9236
7,2026,radiomics,1,r2,0.4312
7,2026,radiomics,2,r2,0.8817
7,2026,radiomics,mean,r2,0.7455
8,2026,radiomics,0,r2,0.9283
8,2026,radiomics,1,r2,0.4853
8,2026,radiomics,2,r2,0.8879
8,2026,radiomics,mean,r2,0.7671
9,2026,radiomics,0,r2,0.9203
9,2026,radiomics,1,r2,0.5175
9,2026,radiomics,2,r2,0.8877
9,2026,radiomics,mean,r2,0.7751
10,2026,radiomics,0,r2,0.9275
10,2026,radiomics,1,r2,0.4665
10,2026,radiomics,2,r2,0.891
10,2026,radiomics,mean,r2,0.7617
1,2027,radiomics,0,r2,0.9031
1,2027,radiomics,1,r2,0.188
1,2027,radiomics,2,r2,0.8317
1,2027,radiomics,mean,r2,0.6409
2,2027,radiomics,0,r2,0.9143
2,2027,radiomics,1,r2,0.2322
2,2027,radiomics,2,r2,0.8663
2,2027,radiomics,mean,r2,0.6709
3,2027,radiomics,0,r2,0.9156
3,2027,radiomics,1,r2,0.285
3,2027,radiomics,2,r2,0.8649
3,2027,radiomics,mean,r2,0.6885
4,2027,radiomics,0,r2,0.9214
4,2027,radiomics,1,r2,0.2891
4,2027,radiomics,2,r2,0.869
4,2027,radiomics,mean,r2,0.6932
5,2027,radiomics,0,r2,0.9204
5,2027,radiomics,1,r2,0.2936
5,2027,radiomics,2,r2,0.8742
5,2027,radiomics,mean,r2,0.6961
6,2027,radiomics,0,r2,0.9285
6,2027,radiomics,1,r2,0.3205
6,2027,radiomics,2,r2,0.8771
6,2027,radiomics,mean,r2,0.7087
7,2027,radiomics,0,r2,0.9288
7,2027,radiomics,1,r2,0.3745
7,2027,radiomics,2,r2,0.8723
7,2027,radiomics,mean,r2,0.7252
8,2027,radiomics,0,r2,0.9216
8,2027,radiomics,1,r2,0.5117
8,2027,radiomics,2,r2,0.8908
8,2027,radiomics,mean,r2,0.7747
9,2027,radiomics,0,r2,0.9287
9,2027,radiomics,1,r2,0.5148
9,2027,radiomics,2,r2,0.8784
9,2027,radiomics,mean,r2,0.774
10,2027,radiomics,0,r2,0.9251
10,2027,radiomics,1,r2,0.3701
10,2027,radiomics,2,r2,0.8725
10,2027,radiomics,mean,r2,0.7225
1,2028,radiomics,0,r2,0.9006
1,2028,radiomics,1,r2,0.1926
1,2028,radiomics,2,r2,0.8429
1,2028,radiomics,mean,r2,0.6453
2,2028,radiomics,0,r2,0.924
2,2028,radiomics,1,r2,0.2388
2,2028,radiomics,2,r2,0.8694
2,2028,radiomics,mean,r2,0.6774
3,2028,radiomics,0,r2,0.9114
3,2028,radiomics,1,r2,0.2758
3,2028,radiomics,2,r2,0.8745
3,2028,radiomics,mean,r2,0.6872
4,2028,radiomics,0,r2,0.9139
4,2028,radiomics,1,r2,0.2818
4,2028,radiomics,2,r2,0.8808
4,2028,radiomics,mean,r2,0.6922
5,2028,radiomics,0,r2,0.9232
5,2028,radiomics,1,r2,0.3032
5,2028,radiomics,2,r2,0.8838
5,2028,radiomics,mean,r2,0.7034
6,2028,radiomics,0,r2,0.9277
6,2028,radiomics,1,r2,0.2843
6,2028,radiomics,2,r2,0.8766
6,2028,radiomics,mean,r2,0.6962
7,2028,radiomics,0,r2,0.9286
7,2028,radiomics,1,r2,0.3596
7,2028,radiomics,2,r2,0.8856
7,2028,radiomics,mean,r2,0.7246
8,2028,radiomics,0,r2,0.9295
8,2028,radiomics,1,r2,0.3428
8,2028,radiomics,2,r2,0.889
8,2028,radiomics,mean,r2,0.7204
9,2028,radiomics,0,r2,0.931
9,2028,radiomics,1,r2,0.3856
9,2028,radiomics,2,r2,0.8764
9,2028,radiomics,mean,r2,0.731
10,2028,radiomics,0,r2,0.9349
10,2028,radiomics,1,r2,0.3002
10,2028,radiomics,2,r2,0.886
10,2028,radiomics,mean,r2,0.707
