epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0821
1,2026,location,1,r2,0.1157
1,2026,location,2,r2,0.2842
1,2026,location,mean,r2,0.1607
2,2026,location,0,r2,0.1042
2,2026,location,1,r2,0.1379
2,2026,location,2,r2,0.3156
2,2026,location,mean,r2,0.1859
3,2026,location,0,r2,0.1081
3,2026,location,1,r2,0.1587
3,2026,location,2,r2,0.2985
3,2026,location,mean,r2,0.1884
4,2026,location,0,r2,0.1382
4,2026,location,1,r2,0.1807
4,2026,location,2,r2,0.3089
4,2026,location,mean,r2,0.2092
5,2026,location,0,r2,0.1675
5,2026,location,1,r2,0.2014
5,2026,location,2,r2,0.3176
5,2026,location,mean,r2,0.2288
6,2026,location,0,r2,0.1807
6,2026,location,1,r2,0.2193
6,2026,location,2,r2,0.3184
6,2026,location,mean,r2,0.2394
7,2026,location,0,r2,0.228
7,2026,location,1,r2,0.2319
7,2026,location,2,r2,0.3164
7,2026,location,mean,r2,0.2588
8,2026,location,0,r2,0.2655
8,2026,location,1,r2,0.2544
8,2026,location,2,r2,0.3144
8,2026,location,mean,r2,0.2781
9,2026,location,0,r2,0.2694
9,2026,location,1,r2,0.2353
9,2026,location,2,r2,0.308
9,2026,location,mean,r2,0.2709
10,2026,location,0,r2,0.2989
10,2026,location,1,r2,0.2474
10,2026,location,2,r2,0.3258
10,2026,location,mean,r2,0.2907
1,2027,location,0,r2,0.0817
1,2027,location,1,r2,0.1019
1,2027,location,2,r2,0.2569
1,2027,location,mean,r2,0.1468
2,2027,location,0,r2,0.1019
2,2027,location,1,r2,0.1439
2,2027,location,2,r2,0.2848
2,2027,location,mean,r2,0.1769
3,2027,location,0,r2,0.0989
3,2027,location,1,r2,0.141
3,2027,location,2,r2,0.3016
3,2027,location,mean,r2,0.1805
4,2027,location,0,r2,0.1142
4,2027,location,1,r2,0.1243
4,2027,location,2,r2,0.2867
4,2027,location,mean,r2,0.1751
5,2027,location,0,r2,0.1578
5,2027,location,1,r2,0.1989
5,2027,location,2,r2,0.3113
5,2027,location,mean,r2,0.2227
6,2027,location,0,r2,0.1807
6,2027,location,1,r2,0.2043
6,2027,location,2,r2,0.3271
6,2027,location,mean,r2,0.2374
7,2027,location,0,r2,0.1925
7,2027,location,1,r2,0.203
7,2027,location,2,r2,0.335
7,2027,location,mean,r2,0.2435
8,2027,location,0,r2,0.236
8,2027,location,1,r2,0.2231
8,2027,location,2,r2,0.3426
8,2027,location,mean,r2,0.2672
9,2027,location,0,r2,0.1814
9,2027,location,1,r2,0.1861
9,2027,location,2,r2,0.3364
9,2027,location,mean,r2,0.2346
10,2027,location,0,r2,0.1837
10,2027,location,1,r2,0.2169
10,2027,location,2,r2,0.3408
10,2027,location,mean,r2,0.2471
1,2028,location,0,r2,0.067
1,2028,location,1,r2,0.1106
1,2028,location,2,r2,0.293
1,2028,location,mean,r2,0.1569
2,2028,location,0,r2,0.0973
2,2028,location,1,r2,0.1366
2,2028,location,2,r2,0.2921
2,2028,location,mean,r2,0.1753
3,2028,location,0,r2,0.1095
3,2028,location,1,r2,0.1347
3,2028,location,2,r2,0.3133
3,2028,location,mean,r2,0.1858
4,2028,location,0,r2,0.1596
4,2028,location,1,r2,0.1942
4,2028,location,2,r2,0.3179
4,2028,location,mean,r2,0.2239
5,2028,location,0,r2,0.1662
5,2028,location,1,r2,0.2047
5,2028,location,2,r2,0.2743
5,2028,location,mean,r2,0.2151
6,2028,location,0,r2,0.1803
6,2028,location,1,r2,0.2284
6,2028,location,2,r2,0.3192
6,2028,location,mean,r2,0.2426
7,2028,location,0,r2,0.2298
7,2028,location,1,r2,0.2249
7,2028,location,2,r2,0.327
7,2028,location,mean,r2,0.2606
8,2028,location,0,r2,0.1996
8,2028,location,1,r2,0.2393
8,2028,location,2,r2,0.3086
8,2028,location,mean,r2,0.2492
9,2028,location,0,r2,0.2347
9,2028,location,1,r2,0.25
9,2028,location,2,r2,0.3229
9,2028,location,mean,r2,0.2692
10,2028,location,0,r2,0.2186
10,2028,location,1,r2,0.2456
10,2028,location,2,r2,0.3116
10,2028,location,mean,r2,0.2586
