epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8487
1,2026,size,1,r2,0.5169
1,2026,size,2,r2,0.4844
1,2026,size,3,r2,0.6115
1,2026,size,4,r2,0.7126
1,2026,size,mean,r2,0.6348
2,2026,size,0,r2,0.8605
2,2026,size,1,r2,0.5406
2,2026,size,2,r2,0.4995
2,2026,size,3,r2,0.6201
2,2026,size,4,r2,0.7286
2,2026,size,mean,r2,0.6499
3,2026,size,0,r2,0.8745
3,2026,size,1,r2,0.5568
3,2026,size,2,r2,0.517
3,2026,size,3,r2,0.6432
3,2026,size,4,r2,0.7385
3,2026,size,mean,r2,0.666
4,2026,size,0,r2,0.8685
4,2026,size,1,r2,0.5696
4,2026,size,2,r2,0.5175
4,2026,size,3,r2,0.6377
4,2026,size,4,r2,0.7502
4,2026,size,mean,r2,0.6687
5,2026,size,0,r2,0.878
5,2026,size,1,r2,0.5768
5,2026,size,2,r2,0.5131
5,2026,size,3,r2,0.6354
5,2026,size,4,r2,0.7564
5,2026,size,mean,r2,0.6719
6,2026,size,0,r2,0.8759
6,2026,size,1,r2,0.5936
6,2026,size,2,r2,0.5253
6,2026,size,3,r2,0.6479
6,2026,size,4,r2,0.7556
6,2026,size,mean,r2,0.6797
7,2026,size,0,r2,0.875
7,2026,size,1,r2,0.5815
7,2026,size,2,r2,0.5307
7,2026,size,3,r2,0.6498
7,2026,size,4,r2,0.7471
7,2026,size,mean,r2,0.6768
8,2026,size,0,r2,0.8625
8,2026,size,1,r2,0.575
8,2026,size,2,r2,0.5282
8,2026,size,3,r2,0.6405
8,2026,size,4,r2,0.746
8,2026,size,mean,r2,0.6704
9,2026,size,0,r2,0.8799
9,2026,size,1,r2,0.599
9,2026,size,2,r2,0.5293
9,2026,size,3,r2,0.643
9,2026,size,4,r2,0.7533
9,2026,size,mean,r2,0.6809
10,2026,size,0,r2,0.8785
10,2026,size,1,r2,0.5949
10,2026,size,2,r2,0.5143
10,2026,size,3,r2,0.644
10,2026,size,4,r2,0.7641
10,2026,size,mean,r2,0.6792
1,2027,size,0,r2,0.8457
1,2027,size,1,r2,0.5386
1,2027,size,2,r2,0.4804
1,2027,size,3,r2,0.6145
1,2027,size,4,r2,0.73
1,2027,size,mean,r2,0.6418
2,2027,size,0,r2,0.8615
2,2027,size,1,r2,0.54
2,2027,size,2,r2,0.5146
2,2027,size,3,r2,0.6309
2,2027,size,4,r2,0.7375
2,2027,size,mean,r2,0.6569
3,2027,size,0,r2,0.8728
3,2027,size,1,r2,0.5497
3,2027,size,2,r2,0.5084
3,2027,size,3,r2,0.6266
3,2027,size,4,r2,0.7344
3,2027,size,mean,r2,0.6584
4,2027,size,0,r2,0.8617
4,2027,size,1,r2,0.5499
4,2027,size,2,r2,0.5264
4,2027,size,3,r2,0.6381
4,2027,size,4,r2,0.749
4,2027,size,mean,r2,0.665
5,2027,size,0,r2,0.8725
5,2027,size,1,r2,0.571
5,2027,size,2,r2,0.5164
5,2027,size,3,r2,0.6404
5,2027,size,4,r2,0.7593
5,2027,size,mean,r2,0.6719
6,2027,size,0,r2,0.8783
6,2027,size,1,r2,0.5705
6,2027,size,2,r2,0.5219
6,2027,size,3,r2,0.6302
6,2027,size,4,r2,0.7474
6,2027,size,mean,r2,0.6697
7,2027,size,0,r2,0.8764
7,2027,size,1,r2,0.5922
7,2027,size,2,r2,0.5316
7,2027,size,3,r2,0.6495
7,2027,size,4,r2,0.7591
7,2027,size,mean,r2,0.6818
8,2027,size,0,r2,0.8821
8,2027,size,1,r2,0.5714
8,2027,size,2,r2,0.5276
8,2027,size,3,r2,0.6343
8,2027,size,4,r2,0.7569
8,2027,size,mean,r2,0.6744
9,2027,size,0,r2,0.8736
9,2027,size,1,r2,0.5716
9,2027,size,2,r2,0.5247
9,2027,size,3,r2,0.6389
9,2027,size,4,r2,0.7684
9,2027,size,mean,r2,0.6754
10,2027,size,0,r2,0.8581
10,2027,size,1,r2,0.5405
10,2027,size,2,r2,0.538
10,2027,size,3,r2,0.6217
10,2027,size,4,r2,0.7483
10,2027,size,mean,r2,0.6613
1,2028,size,0,r2,0.8335
1,2028,size,1,r2,0.4882
1,2028,size,2,r2,0.4761
1,2028,size,3,r2,0.622
1,2028,size,4,r2,0.672
1,2028,size,mean,r2,0.6183
2,2028,size,0,r2,0.8527
2,2028,size,1,r2,0.5287
2,2028,size,2,r2,0.5055
2,2028,size,3,r2,0.618
2,2028,size,4,r2,0.7247
2,2028,size,mean,r2,0.6459
3,2028,size,0,r2,0.8625
3,2028,size,1,r2,0.5562
3,2028,size,2,r2,0.5143
3,2028,size,3,r2,0.6364
3,2028,size,4,r2,0.7377
3,2028,size,mean,r2,0.6614
4,2028,size,0,r2,0.8613
4,2028,size,1,r2,0.5507
4,2028,size,2,r2,0.5047
4,2028,size,3,r2,0.6429
4,2028,size,4,r2,0.7342
4,2028,size,mean,r2,0.6588
5,2028,size,0,r2,0.8761
5,2028,size,1,r2,0.5778
5,2028,size,2,r2,0.5241
5,2028,size,3,r2,0.6526
5,2028,size,4,r2,0.76
5,2028,size,mean,r2,0.6781
6,2028,size,0,r2,0.8731
6,2028,size,1,r2,0.5573
6,2028,size,2,r2,0.5046
6,2028,size,3,r2,0.6441
6,2028,size,4,r2,0.755
6,2028,size,mean,r2,0.6668
7,2028,size,0,r2,0.8645
7,2028,size,1,r2,0.5628
7,2028,size,2,r2,0.5144
7,2028,size,3,r2,0.6335
7,2028,size,4,r2,0.7553
7,2028,size,mean,r2,0.6661
8,2028,size,0,r2,0.8754
8,2028,size,1,r2,0.5938
8,2028,size,2,r2,0.5307
8,2028,size,3,r2,0.6443
8,2028,size,4,r2,0.746
8,2028,size,mean,r2,0.678
9,2028,size,0,r2,0.8652
9,2028,size,1,r2,0.5726
9,2028,size,2,r2,0.5227
9,2028,size,3,r2,0.6506
9,2028,size,4,r2,0.7465
9,2028,size,mean,r2,0.6715
10,2028,size,0,r2,0.8827
10,2028,size,1,r2,0.5755
10,2028,size,2,r2,0.5296
10,2028,size,3,r2,0.6449
10,2028,size,4,r2,0.756
10,2028,size,mean,r2,0.6777
