epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.2035
1,2026,density_merlin,1,r2,0.5565
1,2026,density_merlin,2,r2,0.0564
1,2026,density_merlin,mean,r2,0.2721
2,2026,density_merlin,0,r2,0.3433
2,2026,density_merlin,1,r2,0.6162
2,2026,density_merlin,2,r2,0.0497
2,2026,density_merlin,mean,r2,0.3364
3,2026,density_merlin,0,r2,0.4662
3,2026,density_merlin,1,r2,0.3854
3,2026,density_merlin,2,r2,0.0433
3,2026,density_merlin,mean,r2,0.2983
4,2026,density_merlin,0,r2,0.5664
4,2026,density_merlin,1,r2,0.5268
4,2026,density_merlin,2,r2,0.0687
4,2026,density_merlin,mean,r2,0.3873
5,2026,density_merlin,0,r2,0.6174
5,2026,density_merlin,1,r2,0.6325
5,2026,density_merlin,2,r2,0.074
5,2026,density_merlin,mean,r2,0.4413
6,2026,density_merlin,0,r2,0.6074
6,2026,density_merlin,1,r2,0.5728
6,2026,density_merlin,2,r2,0.0898
6,2026,density_merlin,mean,r2,0.4233
7,2026,density_merlin,0,r2,0.6563
7,2026,density_merlin,1,r2,0.5941
7,2026,density_merlin,2,r2,0.1022
7,2026,density_merlin,mean,r2,0.4509
8,2026,density_merlin,0,r2,0.6805
8,2026,density_merlin,1,r2,0.6602
8,2026,density_merlin,2,r2,0.1475
8,2026,density_merlin,mean,r2,0.4961
9,2026,density_merlin,0,r2,0.6839
9,2026,density_merlin,1,r2,0.7029
9,2026,density_merlin,2,r2,0.1856
9,2026,density_merlin,mean,r2,0.5242
10,2026,density_merlin,0,r2,0.6709
10,2026,density_merlin,1,r2,0.6901
10,2026,density_merlin,2,r2,0.2719
10,2026,density_merlin,mean,r2,0.5443
1,2027,density_merlin,0,r2,0.262
1,2027,density_merlin,1,r2,0.6123
1,2027,density_merlin,2,r2,0.0439
1,2027,density_merlin,mean,r2,0.306
2,2027,density_merlin,0,r2,0.4309
2,2027,density_merlin,1,r2,0.5424
2,2027,density_merlin,2,r2,0.0492
2,2027,density_merlin,mean,r2,0.3408
3,2027,density_merlin,0,r2,0.5821
3,2027,density_merlin,1,r2,0.6132
3,2027,density_merlin,2,r2,0.0562
3,2027,density_merlin,mean,r2,0.4172
4,2027,density_merlin,0,r2,0.6225
4,2027,density_merlin,1,r2,0.6274
4,2027,density_merlin,2,r2,0.0901
4,2027,density_merlin,mean,r2,0.4467
5,2027,density_merlin,0,r2,0.637
5,2027,density_merlin,1,r2,0.6358
5,2027,density_merlin,2,r2,0.0978
5,2027,density_merlin,mean,r2,0.4569
6,2027,density_merlin,0,r2,0.669
6,2027,density_merlin,1,r2,0.6801
6,2027,density_merlin,2,r2,0.1149
6,2027,density_merlin,mean,r2,0.488
7,2027,density_merlin,0,r2,0.6453
7,2027,density_merlin,1,r2,0.6796
7,2027,density_merlin,2,r2,0.1427
7,2027,density_merlin,mean,r2,0.4892
8,2027,density_merlin,0,r2,0.6972
8,2027,density_merlin,1,r2,0.7032
8,2027,density_merlin,2,r2,0.2026
8,2027,density_merlin,mean,r2,0.5343
9,2027,density_merlin,0,r2,0.6837
9,2027,density_merlin,1,r2,0.6603
9,2027,density_merlin,2,r2,0.2591
9,2027,density_merlin,mean,r2,0.5344
10,2027,density_merlin,0,r2,0.6823
10,2027,density_merlin,1,r2,0.7173
10,2027,density_merlin,2,r2,0.3466
10,2027,density_merlin,mean,r2,0.5821
1,2028,density_merlin,0,r2,0.2819
1,2028,density_merlin,1,r2,0.5748
1,2028,density_merlin,2,r2,0.0356
1,2028,density_merlin,mean,r2,0.2974
2,2028,density_merlin,0,r2,0.3823
2,2028,density_merlin,1,r2,0.5317
2,2028,density_merlin,2,r2,0.0334
2,2028,density_merlin,mean,r2,0.3158
3,2028,density_merlin,0,r2,0.3352
3,2028,density_merlin,1,r2,0.5592
3,2028,density_merlin,2,r2,0.0357
3,2028,density_merlin,mean,r2,0.3101
4,2028,density_merlin,0,r2,0.5984
4,2028,density_merlin,1,r2,0.6308
4,2028,density_merlin,2,r2,0.0921
4,2028,density_merlin,mean,r2,0.4404
5,2028,density_merlin,0,r2,0.583
5,2028,density_merlin,1,r2,0.5817
5,2028,density_merlin,2,r2,-0.0887
5,2028,density_merlin,mean,r2,0.3587
6,2028,density_merlin,0,r2,0.6345
6,2028,density_merlin,1,r2,0.6708
6,2028,density_merlin,2,r2,0.0858
6,2028,density_merlin,mean,r2,0.4637
7,2028,density_merlin,0,r2,0.6601
7,2028,density_merlin,1,r2,0.6247
7,2028,density_merlin,2,r2,0.0978
7,2028,density_merlin,mean,r2,0.4609
8,2028,density_merlin,0,r2,0.6613
8,2028,density_merlin,1,r2,0.6567
8,2028,density_merlin,2,r2,0.1235
8,2028,density_merlin,mean,r2,0.4805
9,2028,density_merlin,0,r2,0.6579
9,2028,density_merlin,1,r2,0.6864
9,2028,density_merlin,2,r2,0.1865
9,2028,density_merlin,mean,r2,0.5103
10,2028,density_merlin,0,r2,0.6756
10,2028,density_merlin,1,r2,0.6811
10,2028,density_merlin,2,r2,0.2658
10,2028,density_merlin,mean,r2,0.5408
