epoch,seed,family,target,metric,score
1,2026,disease_merlin,submucosal_edema,auroc,0.6103
1,2026,disease_merlin,renal_hypodensities,auroc,0.6837
1,2026,disease_merlin,aortic_valve_calcification,auroc,0.3865
1,2026,disease_merlin,coronary_calcification,auroc,0.4178
1,2026,disease_merlin,thrombosis,auroc,0.4402
1,2026,disease_merlin,metastatic_disease,auroc,0.2514
1,2026,disease_merlin,pancreatic_atrophy,auroc,0.7949
1,2026,disease_merlin,renal_cyst,auroc,0.6849
1,2026,disease_merlin,osteopenia,auroc,0.8844
1,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.6641
1,2026,disease_merlin,atelectasis,auroc,0.7816
1,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.5817
1,2026,disease_merlin,anasarca,auroc,0.9373
1,2026,disease_merlin,hiatal_hernia,auroc,0.7386
1,2026,disease_merlin,lymphadenopathy,auroc,0.525
1,2026,disease_merlin,prostatomegaly,auroc,0.368
1,2026,disease_merlin,biliary_ductal_dilation,auroc,0.6964
1,2026,disease_merlin,cardiomegaly,auroc,0.6561
1,2026,disease_merlin,splenomegaly,auroc,0.6782
1,2026,disease_merlin,hepatomegaly,auroc,0.3928
1,2026,disease_merlin,atherosclerosis,auroc,0.4314
1,2026,disease_merlin,ascites,auroc,0.6319
1,2026,disease_merlin,pleural_effusion,auroc,0.691
1,2026,disease_merlin,hepatic_steatosis,auroc,0.7309
1,2026,disease_merlin,appendicitis,auroc,0.4469
1,2026,disease_merlin,gallstones,auroc,0.6731
1,2026,disease_merlin,hydronephrosis,auroc,0.5959
1,2026,disease_merlin,bowel_obstruction,auroc,0.5894
1,2026,disease_merlin,free_air,auroc,0.77
1,2026,disease_merlin,fracture,auroc,0.2955
1,2026,disease_merlin,macro,auroc,0.601
1,2026,disease_merlin,micro,auroc,0.4614
2,2026,disease_merlin,submucosal_edema,auroc,0.719
2,2026,disease_merlin,renal_hypodensities,auroc,0.667
2,2026,disease_merlin,aortic_valve_calcification,auroc,0.8862
