epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.5954
1,2026,density_merlin,1,r2,0.7629
1,2026,density_merlin,2,r2,0.0724
1,2026,density_merlin,mean,r2,0.4769
2,2026,density_merlin,0,r2,0.6362
2,2026,density_merlin,1,r2,0.751
2,2026,density_merlin,2,r2,0.2708
2,2026,density_merlin,mean,r2,0.5526
3,2026,density_merlin,0,r2,0.6618
3,2026,density_merlin,1,r2,0.8062
3,2026,density_merlin,2,r2,0.3669
3,2026,density_merlin,mean,r2,0.6116
4,2026,density_merlin,0,r2,0.6733
4,2026,density_merlin,1,r2,0.8411
4,2026,density_merlin,2,r2,0.4012
4,2026,density_merlin,mean,r2,0.6385
5,2026,density_merlin,0,r2,0.6428
5,2026,density_merlin,1,r2,0.8484
5,2026,density_merlin,2,r2,0.3875
5,2026,density_merlin,mean,r2,0.6263
6,2026,density_merlin,0,r2,0.6831
6,2026,density_merlin,1,r2,0.8594
6,2026,density_merlin,2,r2,0.4265
6,2026,density_merlin,mean,r2,0.6563
7,2026,density_merlin,0,r2,0.6856
7,2026,density_merlin,1,r2,0.865
7,2026,density_merlin,2,r2,0.4216
7,2026,density_merlin,mean,r2,0.6574
8,2026,density_merlin,0,r2,0.6713
8,2026,density_merlin,1,r2,0.8585
8,2026,density_merlin,2,r2,0.4372
8,2026,density_merlin,mean,r2,0.6557
9,2026,density_merlin,0,r2,0.6887
9,2026,density_merlin,1,r2,0.8703
9,2026,density_merlin,2,r2,0.4495
9,2026,density_merlin,mean,r2,0.6695
10,2026,density_merlin,0,r2,0.6826
10,2026,density_merlin,1,r2,0.8729
10,2026,density_merlin,2,r2,0.4639
10,2026,density_merlin,mean,r2,0.6731
1,2027,density_merlin,0,r2,0.6101
1,2027,density_merlin,1,r2,0.7639
1,2027,density_merlin,2,r2,0.0744
1,2027,density_merlin,mean,r2,0.4828
2,2027,density_merlin,0,r2,0.6435
2,2027,density_merlin,1,r2,0.7584
2,2027,density_merlin,2,r2,0.2721
2,2027,density_merlin,mean,r2,0.558
3,2027,density_merlin,0,r2,0.6343
3,2027,density_merlin,1,r2,0.8195
3,2027,density_merlin,2,r2,0.3282
3,2027,density_merlin,mean,r2,0.594
4,2027,density_merlin,0,r2,0.6747
4,2027,density_merlin,1,r2,0.8391
4,2027,density_merlin,2,r2,0.3661
4,2027,density_merlin,mean,r2,0.6266
5,2027,density_merlin,0,r2,0.6482
5,2027,density_merlin,1,r2,0.8326
5,2027,density_merlin,2,r2,0.3664
5,2027,density_merlin,mean,r2,0.6157
6,2027,density_merlin,0,r2,0.6856
6,2027,density_merlin,1,r2,0.8569
6,2027,density_merlin,2,r2,0.3596
6,2027,density_merlin,mean,r2,0.634
7,2027,density_merlin,0,r2,0.6639
7,2027,density_merlin,1,r2,0.8531
7,2027,density_merlin,2,r2,0.4176
7,2027,density_merlin,mean,r2,0.6449
8,2027,density_merlin,0,r2,0.6919
8,2027,density_merlin,1,r2,0.8558
8,2027,density_merlin,2,r2,0.4129
8,2027,density_merlin,mean,r2,0.6535
9,2027,density_merlin,0,r2,0.6844
9,2027,density_merlin,1,r2,0.8571
9,2027,density_merlin,2,r2,0.4503
9,2027,density_merlin,mean,r2,0.664
10,2027,density_merlin,0,r2,0.6842
10,2027,density_merlin,1,r2,0.8407
10,2027,density_merlin,2,r2,0.3924
10,2027,density_merlin,mean,r2,0.6391
1,2028,density_merlin,0,r2,0.5301
1,2028,density_merlin,1,r2,0.7694
1,2028,density_merlin,2,r2,0.1027
1,2028,density_merlin,mean,r2,0.4674
2,2028,density_merlin,0,r2,0.6474
2,2028,density_merlin,1,r2,0.7846
2,2028,density_merlin,2,r2,0.3199
2,2028,density_merlin,mean,r2,0.584
3,2028,density_merlin,0,r2,0.6574
3,2028,density_merlin,1,r2,0.8215
3,2028,density_merlin,2,r2,0.348
3,2028,density_merlin,mean,r2,0.609
4,2028,density_merlin,0,r2,0.6114
4,2028,density_merlin,1,r2,0.8351
4,2028,density_merlin,2,r2,0.3826
4,2028,density_merlin,mean,r2,0.6097
5,2028,density_merlin,0,r2,0.6554
5,2028,density_merlin,1,r2,0.8386
5,2028,density_merlin,2,r2,0.3354
5,2028,density_merlin,mean,r2,0.6098
6,2028,density_merlin,0,r2,0.667
6,2028,density_merlin,1,r2,0.8539
6,2028,density_merlin,2,r2,0.4079
6,2028,density_merlin,mean,r2,0.6429
7,2028,density_merlin,0,r2,0.6786
7,2028,density_merlin,1,r2,0.8522
7,2028,density_merlin,2,r2,0.4233
7,2028,density_merlin,mean,r2,0.6514
8,2028,density_merlin,0,r2,0.6564
8,2028,density_merlin,1,r2,0.855
8,2028,density_merlin,2,r2,0.4362
8,2028,density_merlin,mean,r2,0.6492
9,2028,density_merlin,0,r2,0.6711
9,2028,density_merlin,1,r2,0.8474
9,2028,density_merlin,2,r2,0.4273
9,2028,density_merlin,mean,r2,0.6486
10,2028,density_merlin,0,r2,0.6917
10,2028,density_merlin,1,r2,0.859
10,2028,density_merlin,2,r2,0.451
10,2028,density_merlin,mean,r2,0.6672
