epoch,seed,family,target,metric,score
1,2026,disease_merlin,submucosal_edema,auroc,0.7458
1,2026,disease_merlin,renal_hypodensities,auroc,0.714
1,2026,disease_merlin,aortic_valve_calcification,auroc,0.8761
1,2026,disease_merlin,coronary_calcification,auroc,0.7577
1,2026,disease_merlin,thrombosis,auroc,0.5826
1,2026,disease_merlin,metastatic_disease,auroc,0.8093
1,2026,disease_merlin,pancreatic_atrophy,auroc,0.7882
1,2026,disease_merlin,renal_cyst,auroc,0.6778
1,2026,disease_merlin,osteopenia,auroc,0.9192
1,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7003
1,2026,disease_merlin,atelectasis,auroc,0.7641
1,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8407
1,2026,disease_merlin,anasarca,auroc,0.9529
1,2026,disease_merlin,hiatal_hernia,auroc,0.7673
1,2026,disease_merlin,lymphadenopathy,auroc,0.6005
1,2026,disease_merlin,prostatomegaly,auroc,0.732
1,2026,disease_merlin,biliary_ductal_dilation,auroc,0.757
1,2026,disease_merlin,cardiomegaly,auroc,0.7878
1,2026,disease_merlin,splenomegaly,auroc,0.6944
1,2026,disease_merlin,hepatomegaly,auroc,0.7042
1,2026,disease_merlin,atherosclerosis,auroc,0.7331
1,2026,disease_merlin,ascites,auroc,0.9085
1,2026,disease_merlin,pleural_effusion,auroc,0.8156
1,2026,disease_merlin,hepatic_steatosis,auroc,0.7362
1,2026,disease_merlin,appendicitis,auroc,0.5833
1,2026,disease_merlin,gallstones,auroc,0.6544
1,2026,disease_merlin,hydronephrosis,auroc,0.6904
1,2026,disease_merlin,bowel_obstruction,auroc,0.7023
1,2026,disease_merlin,free_air,auroc,0.771
1,2026,disease_merlin,fracture,auroc,0.7208
1,2026,disease_merlin,macro,auroc,0.7496
1,2026,disease_merlin,micro,auroc,0.7395
2,2026,disease_merlin,submucosal_edema,auroc,0.7496
2,2026,disease_merlin,renal_hypodensities,auroc,0.7159
2,2026,disease_merlin,aortic_valve_calcification,auroc,0.8743
2,2026,disease_merlin,coronary_calcification,auroc,0.7804
2,2026,disease_merlin,thrombosis,auroc,0.6321
2,2026,disease_merlin,metastatic_disease,auroc,0.7825
2,2026,disease_merlin,pancreatic_atrophy,auroc,0.7988
2,2026,disease_merlin,renal_cyst,auroc,0.6873
2,2026,disease_merlin,osteopenia,auroc,0.9359
2,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7008
2,2026,disease_merlin,atelectasis,auroc,0.7789
2,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8317
2,2026,disease_merlin,anasarca,auroc,0.9575
