epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1699
1,2026,size_merlin,1,r2,0.1591
1,2026,size_merlin,2,r2,0.1708
1,2026,size_merlin,3,r2,0.1871
1,2026,size_merlin,4,r2,0.3005
1,2026,size_merlin,5,r2,0.0869
1,2026,size_merlin,mean,r2,0.1791
2,2026,size_merlin,0,r2,0.2137
2,2026,size_merlin,1,r2,0.201
2,2026,size_merlin,2,r2,0.23
2,2026,size_merlin,3,r2,0.1984
2,2026,size_merlin,4,r2,0.3439
2,2026,size_merlin,5,r2,0.118
2,2026,size_merlin,mean,r2,0.2175
3,2026,size_merlin,0,r2,0.259
3,2026,size_merlin,1,r2,0.2685
3,2026,size_merlin,2,r2,0.2779
3,2026,size_merlin,3,r2,0.2809
3,2026,size_merlin,4,r2,0.339
3,2026,size_merlin,5,r2,0.1191
3,2026,size_merlin,mean,r2,0.2574
4,2026,size_merlin,0,r2,0.427
4,2026,size_merlin,1,r2,0.4375
4,2026,size_merlin,2,r2,0.2683
4,2026,size_merlin,3,r2,0.296
4,2026,size_merlin,4,r2,0.3591
4,2026,size_merlin,5,r2,0.1437
4,2026,size_merlin,mean,r2,0.3219
5,2026,size_merlin,0,r2,0.4888
5,2026,size_merlin,1,r2,0.4791
5,2026,size_merlin,2,r2,0.2989
5,2026,size_merlin,3,r2,0.3246
5,2026,size_merlin,4,r2,0.3654
5,2026,size_merlin,5,r2,0.1536
5,2026,size_merlin,mean,r2,0.3517
6,2026,size_merlin,0,r2,0.5508
6,2026,size_merlin,1,r2,0.5197
6,2026,size_merlin,2,r2,0.2442
6,2026,size_merlin,3,r2,0.3009
6,2026,size_merlin,4,r2,0.3036
6,2026,size_merlin,5,r2,0.113
6,2026,size_merlin,mean,r2,0.3387
7,2026,size_merlin,0,r2,0.5694
7,2026,size_merlin,1,r2,0.5501
7,2026,size_merlin,2,r2,0.2893
7,2026,size_merlin,3,r2,0.3279
7,2026,size_merlin,4,r2,0.3278
7,2026,size_merlin,5,r2,0.1118
7,2026,size_merlin,mean,r2,0.3627
8,2026,size_merlin,0,r2,0.5999
8,2026,size_merlin,1,r2,0.5589
8,2026,size_merlin,2,r2,0.3356
8,2026,size_merlin,3,r2,0.3149
8,2026,size_merlin,4,r2,0.3777
8,2026,size_merlin,5,r2,0.1638
8,2026,size_merlin,mean,r2,0.3918
9,2026,size_merlin,0,r2,0.6222
9,2026,size_merlin,1,r2,0.5724
9,2026,size_merlin,2,r2,0.3597
9,2026,size_merlin,3,r2,0.3367
9,2026,size_merlin,4,r2,0.399
9,2026,size_merlin,5,r2,0.1573
9,2026,size_merlin,mean,r2,0.4079
10,2026,size_merlin,0,r2,0.65
10,2026,size_merlin,1,r2,0.5996
10,2026,size_merlin,2,r2,0.3679
10,2026,size_merlin,3,r2,0.3537
10,2026,size_merlin,4,r2,0.4009
10,2026,size_merlin,5,r2,0.1672
10,2026,size_merlin,mean,r2,0.4232
1,2027,size_merlin,0,r2,0.1657
1,2027,size_merlin,1,r2,0.1567
1,2027,size_merlin,2,r2,0.1669
1,2027,size_merlin,3,r2,0.2219
1,2027,size_merlin,4,r2,0.2865
1,2027,size_merlin,5,r2,0.0425
1,2027,size_merlin,mean,r2,0.1734
2,2027,size_merlin,0,r2,0.2819
2,2027,size_merlin,1,r2,0.2538
2,2027,size_merlin,2,r2,0.2502
2,2027,size_merlin,3,r2,0.221
2,2027,size_merlin,4,r2,0.2915
2,2027,size_merlin,5,r2,0.1423
2,2027,size_merlin,mean,r2,0.2401
3,2027,size_merlin,0,r2,0.4607
3,2027,size_merlin,1,r2,0.4372
3,2027,size_merlin,2,r2,0.2851
3,2027,size_merlin,3,r2,0.3135
3,2027,size_merlin,4,r2,0.3552
3,2027,size_merlin,5,r2,0.1652
3,2027,size_merlin,mean,r2,0.3362
4,2027,size_merlin,0,r2,0.5703
4,2027,size_merlin,1,r2,0.5461
4,2027,size_merlin,2,r2,0.3065
4,2027,size_merlin,3,r2,0.3317
4,2027,size_merlin,4,r2,0.3531
4,2027,size_merlin,5,r2,0.1449
4,2027,size_merlin,mean,r2,0.3755
5,2027,size_merlin,0,r2,0.6178
5,2027,size_merlin,1,r2,0.5779
5,2027,size_merlin,2,r2,0.285
5,2027,size_merlin,3,r2,0.3468
5,2027,size_merlin,4,r2,0.364
5,2027,size_merlin,5,r2,0.1557
5,2027,size_merlin,mean,r2,0.3912
6,2027,size_merlin,0,r2,0.6601
6,2027,size_merlin,1,r2,0.6036
6,2027,size_merlin,2,r2,0.3496
6,2027,size_merlin,3,r2,0.3502
6,2027,size_merlin,4,r2,0.398
6,2027,size_merlin,5,r2,0.1679
6,2027,size_merlin,mean,r2,0.4216
7,2027,size_merlin,0,r2,0.6693
7,2027,size_merlin,1,r2,0.6194
7,2027,size_merlin,2,r2,0.3673
7,2027,size_merlin,3,r2,0.3718
7,2027,size_merlin,4,r2,0.4044
7,2027,size_merlin,5,r2,0.1639
7,2027,size_merlin,mean,r2,0.4327
8,2027,size_merlin,0,r2,0.6902
8,2027,size_merlin,1,r2,0.6234
8,2027,size_merlin,2,r2,0.3774
