epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8972
1,2026,radiomics,1,r2,0.2719
1,2026,radiomics,2,r2,0.8484
1,2026,radiomics,mean,r2,0.6725
2,2026,radiomics,0,r2,0.9006
2,2026,radiomics,1,r2,0.3202
2,2026,radiomics,2,r2,0.864
2,2026,radiomics,mean,r2,0.6949
3,2026,radiomics,0,r2,0.909
3,2026,radiomics,1,r2,0.3416
3,2026,radiomics,2,r2,0.8576
3,2026,radiomics,mean,r2,0.7028
4,2026,radiomics,0,r2,0.9099
4,2026,radiomics,1,r2,0.3685
4,2026,radiomics,2,r2,0.8697
4,2026,radiomics,mean,r2,0.716
5,2026,radiomics,0,r2,0.911
5,2026,radiomics,1,r2,0.3929
5,2026,radiomics,2,r2,0.8857
5,2026,radiomics,mean,r2,0.7299
6,2026,radiomics,0,r2,0.9038
6,2026,radiomics,1,r2,0.4003
6,2026,radiomics,2,r2,0.8858
6,2026,radiomics,mean,r2,0.73
7,2026,radiomics,0,r2,0.9188
7,2026,radiomics,1,r2,0.4384
7,2026,radiomics,2,r2,0.8937
7,2026,radiomics,mean,r2,0.7503
8,2026,radiomics,0,r2,0.9301
8,2026,radiomics,1,r2,0.3781
8,2026,radiomics,2,r2,0.8995
8,2026,radiomics,mean,r2,0.7359
9,2026,radiomics,0,r2,0.9279
9,2026,radiomics,1,r2,0.4218
9,2026,radiomics,2,r2,0.9039
9,2026,radiomics,mean,r2,0.7512
10,2026,radiomics,0,r2,0.9291
10,2026,radiomics,1,r2,0.4237
10,2026,radiomics,2,r2,0.9052
10,2026,radiomics,mean,r2,0.7527
1,2027,radiomics,0,r2,0.9041
1,2027,radiomics,1,r2,0.2397
1,2027,radiomics,2,r2,0.842
1,2027,radiomics,mean,r2,0.6619
2,2027,radiomics,0,r2,0.9165
2,2027,radiomics,1,r2,0.3395
2,2027,radiomics,2,r2,0.8583
2,2027,radiomics,mean,r2,0.7047
3,2027,radiomics,0,r2,0.9079
3,2027,radiomics,1,r2,0.4165
3,2027,radiomics,2,r2,0.8694
3,2027,radiomics,mean,r2,0.7312
4,2027,radiomics,0,r2,0.9107
4,2027,radiomics,1,r2,0.39
4,2027,radiomics,2,r2,0.8875
4,2027,radiomics,mean,r2,0.7294
5,2027,radiomics,0,r2,0.924
5,2027,radiomics,1,r2,0.451
5,2027,radiomics,2,r2,0.8863
5,2027,radiomics,mean,r2,0.7538
6,2027,radiomics,0,r2,0.9196
6,2027,radiomics,1,r2,0.436
6,2027,radiomics,2,r2,0.88
6,2027,radiomics,mean,r2,0.7452
7,2027,radiomics,0,r2,0.9154
7,2027,radiomics,1,r2,0.4531
7,2027,radiomics,2,r2,0.8949
7,2027,radiomics,mean,r2,0.7545
8,2027,radiomics,0,r2,0.924
8,2027,radiomics,1,r2,0.4803
8,2027,radiomics,2,r2,0.9021
8,2027,radiomics,mean,r2,0.7688
9,2027,radiomics,0,r2,0.9234
9,2027,radiomics,1,r2,0.4263
9,2027,radiomics,2,r2,0.8936
9,2027,radiomics,mean,r2,0.7478
10,2027,radiomics,0,r2,0.919
10,2027,radiomics,1,r2,0.4539
10,2027,radiomics,2,r2,0.902
10,2027,radiomics,mean,r2,0.7583
1,2028,radiomics,0,r2,0.909
1,2028,radiomics,1,r2,0.271
1,2028,radiomics,2,r2,0.8443
1,2028,radiomics,mean,r2,0.6748
2,2028,radiomics,0,r2,0.9151
2,2028,radiomics,1,r2,0.3046
2,2028,radiomics,2,r2,0.8686
2,2028,radiomics,mean,r2,0.6961
3,2028,radiomics,0,r2,0.9008
3,2028,radiomics,1,r2,0.4404
3,2028,radiomics,2,r2,0.8779
3,2028,radiomics,mean,r2,0.7397
4,2028,radiomics,0,r2,0.9097
4,2028,radiomics,1,r2,0.3592
4,2028,radiomics,2,r2,0.8823
4,2028,radiomics,mean,r2,0.7171
5,2028,radiomics,0,r2,0.9207
5,2028,radiomics,1,r2,0.3315
5,2028,radiomics,2,r2,0.8844
5,2028,radiomics,mean,r2,0.7122
6,2028,radiomics,0,r2,0.929
6,2028,radiomics,1,r2,0.3877
6,2028,radiomics,2,r2,0.896
6,2028,radiomics,mean,r2,0.7376
7,2028,radiomics,0,r2,0.9294
7,2028,radiomics,1,r2,0.5387
7,2028,radiomics,2,r2,0.9038
7,2028,radiomics,mean,r2,0.7906
8,2028,radiomics,0,r2,0.9164
8,2028,radiomics,1,r2,0.5078
8,2028,radiomics,2,r2,0.8976
8,2028,radiomics,mean,r2,0.7739
9,2028,radiomics,0,r2,0.9314
9,2028,radiomics,1,r2,0.4449
9,2028,radiomics,2,r2,0.902
9,2028,radiomics,mean,r2,0.7594
10,2028,radiomics,0,r2,0.9345
10,2028,radiomics,1,r2,0.4583
10,2028,radiomics,2,r2,0.9065
10,2028,radiomics,mean,r2,0.7664
