epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0571
1,2026,location,1,r2,0.0921
1,2026,location,2,r2,0.2351
1,2026,location,mean,r2,0.1281
2,2026,location,0,r2,0.1005
2,2026,location,1,r2,0.1088
2,2026,location,2,r2,0.2538
2,2026,location,mean,r2,0.1544
3,2026,location,0,r2,0.1038
3,2026,location,1,r2,0.1101
3,2026,location,2,r2,0.2577
3,2026,location,mean,r2,0.1572
4,2026,location,0,r2,0.1217
4,2026,location,1,r2,0.1145
4,2026,location,2,r2,0.2721
4,2026,location,mean,r2,0.1694
5,2026,location,0,r2,0.139
5,2026,location,1,r2,0.1039
5,2026,location,2,r2,0.2647
5,2026,location,mean,r2,0.1692
6,2026,location,0,r2,0.1059
6,2026,location,1,r2,0.1185
6,2026,location,2,r2,0.2812
6,2026,location,mean,r2,0.1685
7,2026,location,0,r2,0.1247
7,2026,location,1,r2,0.1225
7,2026,location,2,r2,0.2688
7,2026,location,mean,r2,0.172
8,2026,location,0,r2,0.1049
8,2026,location,1,r2,0.1082
8,2026,location,2,r2,0.2702
8,2026,location,mean,r2,0.1611
9,2026,location,0,r2,0.1476
9,2026,location,1,r2,0.0989
9,2026,location,2,r2,0.263
9,2026,location,mean,r2,0.1698
10,2026,location,0,r2,0.1521
10,2026,location,1,r2,0.1183
10,2026,location,2,r2,0.2748
10,2026,location,mean,r2,0.1817
1,2027,location,0,r2,0.0728
1,2027,location,1,r2,0.0901
1,2027,location,2,r2,0.2189
1,2027,location,mean,r2,0.1273
2,2027,location,0,r2,0.1181
2,2027,location,1,r2,0.1082
2,2027,location,2,r2,0.2282
2,2027,location,mean,r2,0.1515
3,2027,location,0,r2,0.0997
3,2027,location,1,r2,0.1032
3,2027,location,2,r2,0.2716
3,2027,location,mean,r2,0.1582
4,2027,location,0,r2,0.1257
4,2027,location,1,r2,0.1067
4,2027,location,2,r2,0.2454
4,2027,location,mean,r2,0.1593
5,2027,location,0,r2,0.1222
5,2027,location,1,r2,0.1045
5,2027,location,2,r2,0.2496
5,2027,location,mean,r2,0.1588
6,2027,location,0,r2,0.1374
6,2027,location,1,r2,0.1065
6,2027,location,2,r2,0.2553
6,2027,location,mean,r2,0.1664
7,2027,location,0,r2,0.1338
7,2027,location,1,r2,0.1114
7,2027,location,2,r2,0.2463
7,2027,location,mean,r2,0.1638
8,2027,location,0,r2,0.1482
8,2027,location,1,r2,0.0832
8,2027,location,2,r2,0.2607
8,2027,location,mean,r2,0.164
9,2027,location,0,r2,0.1492
9,2027,location,1,r2,0.1187
9,2027,location,2,r2,0.2602
9,2027,location,mean,r2,0.176
10,2027,location,0,r2,0.106
10,2027,location,1,r2,0.1111
10,2027,location,2,r2,0.2656
10,2027,location,mean,r2,0.1609
1,2028,location,0,r2,0.0736
1,2028,location,1,r2,0.0869
1,2028,location,2,r2,0.209
1,2028,location,mean,r2,0.1232
2,2028,location,0,r2,0.1003
2,2028,location,1,r2,0.1056
2,2028,location,2,r2,0.2274
2,2028,location,mean,r2,0.1444
3,2028,location,0,r2,0.0968
3,2028,location,1,r2,0.0904
3,2028,location,2,r2,0.2439
3,2028,location,mean,r2,0.1437
4,2028,location,0,r2,0.1406
4,2028,location,1,r2,0.11
4,2028,location,2,r2,0.2591
4,2028,location,mean,r2,0.1699
5,2028,location,0,r2,0.1226
5,2028,location,1,r2,0.0881
5,2028,location,2,r2,0.2376
5,2028,location,mean,r2,0.1494
6,2028,location,0,r2,0.1404
6,2028,location,1,r2,0.114
6,2028,location,2,r2,0.2666
6,2028,location,mean,r2,0.1737
7,2028,location,0,r2,0.1489
7,2028,location,1,r2,0.0987
7,2028,location,2,r2,0.2654
7,2028,location,mean,r2,0.171
8,2028,location,0,r2,0.1252
8,2028,location,1,r2,0.1121
8,2028,location,2,r2,0.2501
8,2028,location,mean,r2,0.1624
9,2028,location,0,r2,0.157
9,2028,location,1,r2,0.1216
9,2028,location,2,r2,0.2567
9,2028,location,mean,r2,0.1784
10,2028,location,0,r2,0.167
10,2028,location,1,r2,0.1131
10,2028,location,2,r2,0.2628
10,2028,location,mean,r2,0.181
