epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0597
1,2026,location,1,r2,0.1042
1,2026,location,2,r2,0.2908
1,2026,location,mean,r2,0.1516
2,2026,location,0,r2,0.1137
2,2026,location,1,r2,0.1148
2,2026,location,2,r2,0.3309
2,2026,location,mean,r2,0.1865
3,2026,location,0,r2,0.1262
3,2026,location,1,r2,0.1168
3,2026,location,2,r2,0.3378
3,2026,location,mean,r2,0.1936
4,2026,location,0,r2,0.1681
4,2026,location,1,r2,0.1346
4,2026,location,2,r2,0.3478
4,2026,location,mean,r2,0.2168
5,2026,location,0,r2,0.2188
5,2026,location,1,r2,0.1491
5,2026,location,2,r2,0.3571
5,2026,location,mean,r2,0.2417
6,2026,location,0,r2,0.2026
6,2026,location,1,r2,0.1648
6,2026,location,2,r2,0.3473
6,2026,location,mean,r2,0.2382
7,2026,location,0,r2,0.2383
7,2026,location,1,r2,0.159
7,2026,location,2,r2,0.3569
7,2026,location,mean,r2,0.2514
8,2026,location,0,r2,0.2203
8,2026,location,1,r2,0.1672
8,2026,location,2,r2,0.3633
8,2026,location,mean,r2,0.2503
9,2026,location,0,r2,0.2452
9,2026,location,1,r2,0.1475
9,2026,location,2,r2,0.3376
9,2026,location,mean,r2,0.2434
10,2026,location,0,r2,0.305
10,2026,location,1,r2,0.1545
10,2026,location,2,r2,0.3588
10,2026,location,mean,r2,0.2728
1,2027,location,0,r2,0.0908
1,2027,location,1,r2,0.1036
1,2027,location,2,r2,0.2846
1,2027,location,mean,r2,0.1597
2,2027,location,0,r2,0.1635
2,2027,location,1,r2,0.1174
2,2027,location,2,r2,0.294
2,2027,location,mean,r2,0.1916
3,2027,location,0,r2,0.116
3,2027,location,1,r2,0.0957
3,2027,location,2,r2,0.3474
3,2027,location,mean,r2,0.1864
4,2027,location,0,r2,0.174
4,2027,location,1,r2,0.0857
4,2027,location,2,r2,0.3409
4,2027,location,mean,r2,0.2002
5,2027,location,0,r2,0.1928
5,2027,location,1,r2,0.1344
5,2027,location,2,r2,0.3533
5,2027,location,mean,r2,0.2268
6,2027,location,0,r2,0.2203
6,2027,location,1,r2,0.1483
6,2027,location,2,r2,0.3608
6,2027,location,mean,r2,0.2431
7,2027,location,0,r2,0.2631
7,2027,location,1,r2,0.1234
7,2027,location,2,r2,0.3765
7,2027,location,mean,r2,0.2543
8,2027,location,0,r2,0.2602
8,2027,location,1,r2,0.161
8,2027,location,2,r2,0.3803
8,2027,location,mean,r2,0.2672
9,2027,location,0,r2,0.3017
9,2027,location,1,r2,0.1726
9,2027,location,2,r2,0.3609
9,2027,location,mean,r2,0.2784
10,2027,location,0,r2,0.2244
10,2027,location,1,r2,0.1245
10,2027,location,2,r2,0.3774
10,2027,location,mean,r2,0.2421
1,2028,location,0,r2,0.0685
1,2028,location,1,r2,0.1088
1,2028,location,2,r2,0.3115
1,2028,location,mean,r2,0.1629
2,2028,location,0,r2,0.112
2,2028,location,1,r2,0.1201
2,2028,location,2,r2,0.3278
2,2028,location,mean,r2,0.1866
3,2028,location,0,r2,0.1014
3,2028,location,1,r2,0.1028
3,2028,location,2,r2,0.3318
3,2028,location,mean,r2,0.1787
4,2028,location,0,r2,0.1784
4,2028,location,1,r2,0.1506
4,2028,location,2,r2,0.3515
4,2028,location,mean,r2,0.2268
5,2028,location,0,r2,0.2272
5,2028,location,1,r2,0.1598
5,2028,location,2,r2,0.3404
5,2028,location,mean,r2,0.2425
6,2028,location,0,r2,0.2414
6,2028,location,1,r2,0.169
6,2028,location,2,r2,0.3636
6,2028,location,mean,r2,0.258
7,2028,location,0,r2,0.1733
7,2028,location,1,r2,0.1467
7,2028,location,2,r2,0.3675
7,2028,location,mean,r2,0.2292
8,2028,location,0,r2,0.2771
8,2028,location,1,r2,0.1462
8,2028,location,2,r2,0.3615
8,2028,location,mean,r2,0.2616
9,2028,location,0,r2,0.2058
9,2028,location,1,r2,0.1716
9,2028,location,2,r2,0.3642
9,2028,location,mean,r2,0.2472
10,2028,location,0,r2,0.1963
10,2028,location,1,r2,0.1696
10,2028,location,2,r2,0.3591
10,2028,location,mean,r2,0.2417
