epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9015
1,2026,radiomics,1,r2,0.2072
1,2026,radiomics,2,r2,0.8587
1,2026,radiomics,mean,r2,0.6558
2,2026,radiomics,0,r2,0.9201
2,2026,radiomics,1,r2,0.2182
2,2026,radiomics,2,r2,0.8673
2,2026,radiomics,mean,r2,0.6685
3,2026,radiomics,0,r2,0.9164
3,2026,radiomics,1,r2,0.2937
3,2026,radiomics,2,r2,0.8769
3,2026,radiomics,mean,r2,0.6957
4,2026,radiomics,0,r2,0.9258
4,2026,radiomics,1,r2,0.3164
4,2026,radiomics,2,r2,0.8736
4,2026,radiomics,mean,r2,0.7053
5,2026,radiomics,0,r2,0.9236
5,2026,radiomics,1,r2,0.2583
5,2026,radiomics,2,r2,0.8969
5,2026,radiomics,mean,r2,0.6929
6,2026,radiomics,0,r2,0.9251
6,2026,radiomics,1,r2,0.3974
6,2026,radiomics,2,r2,0.886
6,2026,radiomics,mean,r2,0.7362
7,2026,radiomics,0,r2,0.9319
7,2026,radiomics,1,r2,0.4154
7,2026,radiomics,2,r2,0.8994
7,2026,radiomics,mean,r2,0.7489
8,2026,radiomics,0,r2,0.9279
8,2026,radiomics,1,r2,0.4381
8,2026,radiomics,2,r2,0.8969
8,2026,radiomics,mean,r2,0.7543
9,2026,radiomics,0,r2,0.9331
9,2026,radiomics,1,r2,0.3509
9,2026,radiomics,2,r2,0.905
9,2026,radiomics,mean,r2,0.7297
10,2026,radiomics,0,r2,0.9318
10,2026,radiomics,1,r2,0.4625
10,2026,radiomics,2,r2,0.8975
10,2026,radiomics,mean,r2,0.7639
1,2027,radiomics,0,r2,0.9032
1,2027,radiomics,1,r2,0.1849
1,2027,radiomics,2,r2,0.8582
1,2027,radiomics,mean,r2,0.6488
2,2027,radiomics,0,r2,0.9141
2,2027,radiomics,1,r2,0.2379
2,2027,radiomics,2,r2,0.8696
2,2027,radiomics,mean,r2,0.6739
3,2027,radiomics,0,r2,0.9124
3,2027,radiomics,1,r2,0.2497
3,2027,radiomics,2,r2,0.8862
3,2027,radiomics,mean,r2,0.6828
4,2027,radiomics,0,r2,0.9193
4,2027,radiomics,1,r2,0.2967
4,2027,radiomics,2,r2,0.8868
4,2027,radiomics,mean,r2,0.701
5,2027,radiomics,0,r2,0.925
5,2027,radiomics,1,r2,0.2733
5,2027,radiomics,2,r2,0.8815
5,2027,radiomics,mean,r2,0.6933
6,2027,radiomics,0,r2,0.928
6,2027,radiomics,1,r2,0.4804
6,2027,radiomics,2,r2,0.8877
6,2027,radiomics,mean,r2,0.7654
7,2027,radiomics,0,r2,0.9254
7,2027,radiomics,1,r2,0.3307
7,2027,radiomics,2,r2,0.8968
7,2027,radiomics,mean,r2,0.7176
8,2027,radiomics,0,r2,0.9265
8,2027,radiomics,1,r2,0.484
8,2027,radiomics,2,r2,0.8906
8,2027,radiomics,mean,r2,0.767
9,2027,radiomics,0,r2,0.9269
9,2027,radiomics,1,r2,0.5098
9,2027,radiomics,2,r2,0.8917
9,2027,radiomics,mean,r2,0.7761
10,2027,radiomics,0,r2,0.9276
10,2027,radiomics,1,r2,0.3997
10,2027,radiomics,2,r2,0.884
10,2027,radiomics,mean,r2,0.7371
1,2028,radiomics,0,r2,0.9116
1,2028,radiomics,1,r2,0.2116
1,2028,radiomics,2,r2,0.849
1,2028,radiomics,mean,r2,0.6574
2,2028,radiomics,0,r2,0.9136
2,2028,radiomics,1,r2,0.2493
2,2028,radiomics,2,r2,0.8727
2,2028,radiomics,mean,r2,0.6785
3,2028,radiomics,0,r2,0.9098
3,2028,radiomics,1,r2,0.3189
3,2028,radiomics,2,r2,0.8803
3,2028,radiomics,mean,r2,0.703
4,2028,radiomics,0,r2,0.9237
4,2028,radiomics,1,r2,0.2631
4,2028,radiomics,2,r2,0.8789
4,2028,radiomics,mean,r2,0.6886
5,2028,radiomics,0,r2,0.9278
5,2028,radiomics,1,r2,0.361
5,2028,radiomics,2,r2,0.8977
5,2028,radiomics,mean,r2,0.7288
6,2028,radiomics,0,r2,0.9309
6,2028,radiomics,1,r2,0.3131
6,2028,radiomics,2,r2,0.9053
6,2028,radiomics,mean,r2,0.7164
7,2028,radiomics,0,r2,0.9293
7,2028,radiomics,1,r2,0.3542
7,2028,radiomics,2,r2,0.9041
7,2028,radiomics,mean,r2,0.7292
8,2028,radiomics,0,r2,0.9291
8,2028,radiomics,1,r2,0.3769
8,2028,radiomics,2,r2,0.9064
8,2028,radiomics,mean,r2,0.7375
9,2028,radiomics,0,r2,0.9327
9,2028,radiomics,1,r2,0.3716
9,2028,radiomics,2,r2,0.903
9,2028,radiomics,mean,r2,0.7358
10,2028,radiomics,0,r2,0.9348
10,2028,radiomics,1,r2,0.4208
10,2028,radiomics,2,r2,0.9073
10,2028,radiomics,mean,r2,0.7543
