epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7785
1,2026,density,1,r2,0.3732
1,2026,density,2,r2,0.8894
1,2026,density,3,r2,0.8896
1,2026,density,mean,r2,0.7327
2,2026,density,0,r2,0.7974
2,2026,density,1,r2,0.5081
2,2026,density,2,r2,0.9131
2,2026,density,3,r2,0.9024
2,2026,density,mean,r2,0.7803
3,2026,density,0,r2,0.7936
3,2026,density,1,r2,0.5539
3,2026,density,2,r2,0.9097
3,2026,density,3,r2,0.9078
3,2026,density,mean,r2,0.7913
4,2026,density,0,r2,0.8183
4,2026,density,1,r2,0.5761
4,2026,density,2,r2,0.9124
4,2026,density,3,r2,0.9195
4,2026,density,mean,r2,0.8066
5,2026,density,0,r2,0.8175
5,2026,density,1,r2,0.5755
5,2026,density,2,r2,0.9187
5,2026,density,3,r2,0.922
5,2026,density,mean,r2,0.8084
6,2026,density,0,r2,0.8294
6,2026,density,1,r2,0.6428
6,2026,density,2,r2,0.9309
6,2026,density,3,r2,0.9231
6,2026,density,mean,r2,0.8315
7,2026,density,0,r2,0.8375
7,2026,density,1,r2,0.6592
7,2026,density,2,r2,0.925
7,2026,density,3,r2,0.9198
7,2026,density,mean,r2,0.8354
8,2026,density,0,r2,0.8316
8,2026,density,1,r2,0.6883
8,2026,density,2,r2,0.9328
8,2026,density,3,r2,0.927
8,2026,density,mean,r2,0.8449
9,2026,density,0,r2,0.8276
9,2026,density,1,r2,0.689
9,2026,density,2,r2,0.9434
9,2026,density,3,r2,0.9275
9,2026,density,mean,r2,0.8469
10,2026,density,0,r2,0.8353
10,2026,density,1,r2,0.7049
10,2026,density,2,r2,0.938
10,2026,density,3,r2,0.9254
10,2026,density,mean,r2,0.8509
1,2027,density,0,r2,0.7897
1,2027,density,1,r2,0.4116
1,2027,density,2,r2,0.8985
1,2027,density,3,r2,0.9014
1,2027,density,mean,r2,0.7503
2,2027,density,0,r2,0.8095
2,2027,density,1,r2,0.5038
2,2027,density,2,r2,0.9214
2,2027,density,3,r2,0.9133
2,2027,density,mean,r2,0.787
3,2027,density,0,r2,0.8078
3,2027,density,1,r2,0.5422
3,2027,density,2,r2,0.9103
3,2027,density,3,r2,0.9097
3,2027,density,mean,r2,0.7925
4,2027,density,0,r2,0.8065
4,2027,density,1,r2,0.5973
4,2027,density,2,r2,0.9252
4,2027,density,3,r2,0.9154
4,2027,density,mean,r2,0.8111
5,2027,density,0,r2,0.8288
5,2027,density,1,r2,0.6436
5,2027,density,2,r2,0.9353
5,2027,density,3,r2,0.9234
5,2027,density,mean,r2,0.8328
6,2027,density,0,r2,0.8264
6,2027,density,1,r2,0.6305
6,2027,density,2,r2,0.932
6,2027,density,3,r2,0.9143
6,2027,density,mean,r2,0.8258
7,2027,density,0,r2,0.8142
7,2027,density,1,r2,0.6721
7,2027,density,2,r2,0.9334
7,2027,density,3,r2,0.9251
7,2027,density,mean,r2,0.8362
8,2027,density,0,r2,0.8246
8,2027,density,1,r2,0.6786
8,2027,density,2,r2,0.9362
8,2027,density,3,r2,0.9229
8,2027,density,mean,r2,0.8406
9,2027,density,0,r2,0.8319
9,2027,density,1,r2,0.6983
9,2027,density,2,r2,0.9383
9,2027,density,3,r2,0.9285
9,2027,density,mean,r2,0.8493
10,2027,density,0,r2,0.8325
10,2027,density,1,r2,0.7348
10,2027,density,2,r2,0.9385
10,2027,density,3,r2,0.9276
10,2027,density,mean,r2,0.8584
1,2028,density,0,r2,0.7717
1,2028,density,1,r2,0.3736
1,2028,density,2,r2,0.9016
1,2028,density,3,r2,0.8874
1,2028,density,mean,r2,0.7336
2,2028,density,0,r2,0.8076
2,2028,density,1,r2,0.4756
2,2028,density,2,r2,0.9189
2,2028,density,3,r2,0.9036
2,2028,density,mean,r2,0.7764
3,2028,density,0,r2,0.8106
3,2028,density,1,r2,0.5644
3,2028,density,2,r2,0.9295
3,2028,density,3,r2,0.9135
3,2028,density,mean,r2,0.8045
4,2028,density,0,r2,0.809
4,2028,density,1,r2,0.6113
4,2028,density,2,r2,0.9296
4,2028,density,3,r2,0.9159
4,2028,density,mean,r2,0.8165
5,2028,density,0,r2,0.8058
5,2028,density,1,r2,0.6247
5,2028,density,2,r2,0.9322
5,2028,density,3,r2,0.9164
5,2028,density,mean,r2,0.8197
6,2028,density,0,r2,0.8279
6,2028,density,1,r2,0.6897
6,2028,density,2,r2,0.9329
6,2028,density,3,r2,0.9193
6,2028,density,mean,r2,0.8424
7,2028,density,0,r2,0.8028
7,2028,density,1,r2,0.7173
7,2028,density,2,r2,0.93
7,2028,density,3,r2,0.9244
7,2028,density,mean,r2,0.8436
8,2028,density,0,r2,0.8088
8,2028,density,1,r2,0.7059
8,2028,density,2,r2,0.9369
8,2028,density,3,r2,0.9247
8,2028,density,mean,r2,0.8441
9,2028,density,0,r2,0.8273
9,2028,density,1,r2,0.7214
9,2028,density,2,r2,0.9419
9,2028,density,3,r2,0.9275
9,2028,density,mean,r2,0.8545
10,2028,density,0,r2,0.8265
10,2028,density,1,r2,0.7169
10,2028,density,2,r2,0.9405
10,2028,density,3,r2,0.9229
10,2028,density,mean,r2,0.8517
