epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9287
1,2026,disease,Arterial wall calcification,auroc,0.9312
1,2026,disease,Cardiomegaly,auroc,0.9243
1,2026,disease,Pericardial effusion,auroc,0.859
1,2026,disease,Coronary artery wall calcification,auroc,0.935
1,2026,disease,Hiatal hernia,auroc,0.71
1,2026,disease,Lymphadenopathy,auroc,0.7497
1,2026,disease,Emphysema,auroc,0.8053
1,2026,disease,Atelectasis,auroc,0.806
1,2026,disease,Lung nodule,auroc,0.7377
1,2026,disease,Lung opacity,auroc,0.8693
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7445
1,2026,disease,Pleural effusion,auroc,0.9669
1,2026,disease,Mosaic attenuation pattern,auroc,0.8762
1,2026,disease,Peribronchial thickening,auroc,0.8113
1,2026,disease,Consolidation,auroc,0.9198
1,2026,disease,Bronchiectasis,auroc,0.7872
1,2026,disease,Interlobular septal thickening,auroc,0.8801
1,2026,disease,macro,auroc,0.8468
1,2026,disease,micro,auroc,0.8555
2,2026,disease,Medical material,auroc,0.926
2,2026,disease,Arterial wall calcification,auroc,0.9314
2,2026,disease,Cardiomegaly,auroc,0.9259
2,2026,disease,Pericardial effusion,auroc,0.8487
2,2026,disease,Coronary artery wall calcification,auroc,0.9362
2,2026,disease,Hiatal hernia,auroc,0.7074
2,2026,disease,Lymphadenopathy,auroc,0.7593
2,2026,disease,Emphysema,auroc,0.8023
2,2026,disease,Atelectasis,auroc,0.8071
2,2026,disease,Lung nodule,auroc,0.7397
2,2026,disease,Lung opacity,auroc,0.8719
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.736
2,2026,disease,Pleural effusion,auroc,0.9694
2,2026,disease,Mosaic attenuation pattern,auroc,0.8798
2,2026,disease,Peribronchial thickening,auroc,0.8095
2,2026,disease,Consolidation,auroc,0.9253
2,2026,disease,Bronchiectasis,auroc,0.7951
2,2026,disease,Interlobular septal thickening,auroc,0.8802
2,2026,disease,macro,auroc,0.8473
