epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.833
1,2026,size,1,r2,0.5075
1,2026,size,2,r2,0.4527
1,2026,size,3,r2,0.61
1,2026,size,4,r2,0.661
1,2026,size,mean,r2,0.6129
2,2026,size,0,r2,0.8441
2,2026,size,1,r2,0.5303
2,2026,size,2,r2,0.4728
2,2026,size,3,r2,0.6036
2,2026,size,4,r2,0.6713
2,2026,size,mean,r2,0.6244
3,2026,size,0,r2,0.8502
3,2026,size,1,r2,0.5545
3,2026,size,2,r2,0.4991
3,2026,size,3,r2,0.6248
3,2026,size,4,r2,0.6937
3,2026,size,mean,r2,0.6445
4,2026,size,0,r2,0.8608
4,2026,size,1,r2,0.5642
4,2026,size,2,r2,0.5033
4,2026,size,3,r2,0.6331
4,2026,size,4,r2,0.6969
4,2026,size,mean,r2,0.6516
5,2026,size,0,r2,0.8615
5,2026,size,1,r2,0.5517
5,2026,size,2,r2,0.483
5,2026,size,3,r2,0.6189
5,2026,size,4,r2,0.7011
5,2026,size,mean,r2,0.6432
6,2026,size,0,r2,0.8693
6,2026,size,1,r2,0.5721
6,2026,size,2,r2,0.5029
6,2026,size,3,r2,0.6352
6,2026,size,4,r2,0.7078
6,2026,size,mean,r2,0.6575
7,2026,size,0,r2,0.8671
7,2026,size,1,r2,0.5628
7,2026,size,2,r2,0.5064
7,2026,size,3,r2,0.6266
7,2026,size,4,r2,0.6852
7,2026,size,mean,r2,0.6496
8,2026,size,0,r2,0.8463
8,2026,size,1,r2,0.5592
8,2026,size,2,r2,0.4927
8,2026,size,3,r2,0.6192
8,2026,size,4,r2,0.6865
8,2026,size,mean,r2,0.6408
9,2026,size,0,r2,0.8643
9,2026,size,1,r2,0.5762
9,2026,size,2,r2,0.504
9,2026,size,3,r2,0.6171
9,2026,size,4,r2,0.7012
9,2026,size,mean,r2,0.6525
10,2026,size,0,r2,0.8652
10,2026,size,1,r2,0.5493
10,2026,size,2,r2,0.4642
10,2026,size,3,r2,0.6109
10,2026,size,4,r2,0.7094
10,2026,size,mean,r2,0.6398
1,2027,size,0,r2,0.8372
1,2027,size,1,r2,0.5482
1,2027,size,2,r2,0.4747
1,2027,size,3,r2,0.6014
1,2027,size,4,r2,0.692
1,2027,size,mean,r2,0.6307
2,2027,size,0,r2,0.8526
2,2027,size,1,r2,0.5261
2,2027,size,2,r2,0.4766
2,2027,size,3,r2,0.6058
2,2027,size,4,r2,0.6811
2,2027,size,mean,r2,0.6284
3,2027,size,0,r2,0.8499
3,2027,size,1,r2,0.5534
3,2027,size,2,r2,0.5
3,2027,size,3,r2,0.6042
3,2027,size,4,r2,0.6741
3,2027,size,mean,r2,0.6363
4,2027,size,0,r2,0.8537
4,2027,size,1,r2,0.5478
4,2027,size,2,r2,0.4961
4,2027,size,3,r2,0.6054
4,2027,size,4,r2,0.6901
4,2027,size,mean,r2,0.6386
5,2027,size,0,r2,0.8553
5,2027,size,1,r2,0.5568
5,2027,size,2,r2,0.4981
5,2027,size,3,r2,0.6157
5,2027,size,4,r2,0.7178
5,2027,size,mean,r2,0.6487
6,2027,size,0,r2,0.8694
6,2027,size,1,r2,0.5611
6,2027,size,2,r2,0.5015
6,2027,size,3,r2,0.606
6,2027,size,4,r2,0.7118
6,2027,size,mean,r2,0.6499
7,2027,size,0,r2,0.8662
7,2027,size,1,r2,0.5777
7,2027,size,2,r2,0.4949
7,2027,size,3,r2,0.6259
7,2027,size,4,r2,0.7067
7,2027,size,mean,r2,0.6543
8,2027,size,0,r2,0.8621
8,2027,size,1,r2,0.5661
8,2027,size,2,r2,0.5072
8,2027,size,3,r2,0.6095
8,2027,size,4,r2,0.7094
8,2027,size,mean,r2,0.6509
9,2027,size,0,r2,0.8645
9,2027,size,1,r2,0.5445
9,2027,size,2,r2,0.4936
9,2027,size,3,r2,0.6115
9,2027,size,4,r2,0.7125
9,2027,size,mean,r2,0.6453
10,2027,size,0,r2,0.8581
10,2027,size,1,r2,0.5388
10,2027,size,2,r2,0.4884
10,2027,size,3,r2,0.5976
10,2027,size,4,r2,0.7084
10,2027,size,mean,r2,0.6382
1,2028,size,0,r2,0.8199
1,2028,size,1,r2,0.4801
1,2028,size,2,r2,0.434
1,2028,size,3,r2,0.6161
1,2028,size,4,r2,0.643
1,2028,size,mean,r2,0.5986
2,2028,size,0,r2,0.8339
2,2028,size,1,r2,0.5357
2,2028,size,2,r2,0.4703
2,2028,size,3,r2,0.6171
2,2028,size,4,r2,0.6806
2,2028,size,mean,r2,0.6275
3,2028,size,0,r2,0.8408
3,2028,size,1,r2,0.5567
3,2028,size,2,r2,0.4649
3,2028,size,3,r2,0.6119
3,2028,size,4,r2,0.6965
3,2028,size,mean,r2,0.6341
4,2028,size,0,r2,0.8489
4,2028,size,1,r2,0.5383
4,2028,size,2,r2,0.4759
4,2028,size,3,r2,0.6261
4,2028,size,4,r2,0.6918
4,2028,size,mean,r2,0.6362
5,2028,size,0,r2,0.8538
5,2028,size,1,r2,0.5528
5,2028,size,2,r2,0.4937
5,2028,size,3,r2,0.6227
5,2028,size,4,r2,0.7005
5,2028,size,mean,r2,0.6447
6,2028,size,0,r2,0.8636
6,2028,size,1,r2,0.5588
6,2028,size,2,r2,0.4927
6,2028,size,3,r2,0.6263
6,2028,size,4,r2,0.6985
6,2028,size,mean,r2,0.648
7,2028,size,0,r2,0.8542
7,2028,size,1,r2,0.5458
7,2028,size,2,r2,0.487
7,2028,size,3,r2,0.6024
7,2028,size,4,r2,0.7078
7,2028,size,mean,r2,0.6394
8,2028,size,0,r2,0.8592
8,2028,size,1,r2,0.5547
8,2028,size,2,r2,0.4816
8,2028,size,3,r2,0.6161
8,2028,size,4,r2,0.6975
8,2028,size,mean,r2,0.6418
9,2028,size,0,r2,0.8402
9,2028,size,1,r2,0.5728
9,2028,size,2,r2,0.4889
9,2028,size,3,r2,0.6207
9,2028,size,4,r2,0.7041
9,2028,size,mean,r2,0.6453
10,2028,size,0,r2,0.8563
10,2028,size,1,r2,0.5594
10,2028,size,2,r2,0.4945
10,2028,size,3,r2,0.6142
10,2028,size,4,r2,0.7024
10,2028,size,mean,r2,0.6454
