epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9153
1,2026,disease,Arterial wall calcification,auroc,0.9271
1,2026,disease,Cardiomegaly,auroc,0.922
1,2026,disease,Pericardial effusion,auroc,0.8462
1,2026,disease,Coronary artery wall calcification,auroc,0.9284
1,2026,disease,Hiatal hernia,auroc,0.7076
1,2026,disease,Lymphadenopathy,auroc,0.7421
1,2026,disease,Emphysema,auroc,0.8028
1,2026,disease,Atelectasis,auroc,0.8011
1,2026,disease,Lung nodule,auroc,0.7336
1,2026,disease,Lung opacity,auroc,0.8577
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7422
1,2026,disease,Pleural effusion,auroc,0.9674
1,2026,disease,Mosaic attenuation pattern,auroc,0.8725
1,2026,disease,Peribronchial thickening,auroc,0.7778
1,2026,disease,Consolidation,auroc,0.9166
1,2026,disease,Bronchiectasis,auroc,0.7791
1,2026,disease,Interlobular septal thickening,auroc,0.8749
1,2026,disease,macro,auroc,0.8397
1,2026,disease,micro,auroc,0.8503
2,2026,disease,Medical material,auroc,0.9229
2,2026,disease,Arterial wall calcification,auroc,0.9299
2,2026,disease,Cardiomegaly,auroc,0.932
2,2026,disease,Pericardial effusion,auroc,0.8538
2,2026,disease,Coronary artery wall calcification,auroc,0.932
2,2026,disease,Hiatal hernia,auroc,0.7099
2,2026,disease,Lymphadenopathy,auroc,0.7367
2,2026,disease,Emphysema,auroc,0.7924
2,2026,disease,Atelectasis,auroc,0.8095
2,2026,disease,Lung nodule,auroc,0.729
2,2026,disease,Lung opacity,auroc,0.8659
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7469
2,2026,disease,Pleural effusion,auroc,0.9673
2,2026,disease,Mosaic attenuation pattern,auroc,0.8851
2,2026,disease,Peribronchial thickening,auroc,0.7999
2,2026,disease,Consolidation,auroc,0.9132
2,2026,disease,Bronchiectasis,auroc,0.7907
2,2026,disease,Interlobular septal thickening,auroc,0.8746
2,2026,disease,macro,auroc,0.844
2,2026,disease,micro,auroc,0.85
3,2026,disease,Medical material,auroc,0.9182
3,2026,disease,Arterial wall calcification,auroc,0.9308
3,2026,disease,Cardiomegaly,auroc,0.9274
3,2026,disease,Pericardial effusion,auroc,0.8505
3,2026,disease,Coronary artery wall calcification,auroc,0.9258
3,2026,disease,Hiatal hernia,auroc,0.7064
3,2026,disease,Lymphadenopathy,auroc,0.7495
3,2026,disease,Emphysema,auroc,0.8015
3,2026,disease,Atelectasis,auroc,0.8094
3,2026,disease,Lung nodule,auroc,0.7296
3,2026,disease,Lung opacity,auroc,0.8634
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7506
3,2026,disease,Pleural effusion,auroc,0.9644
3,2026,disease,Mosaic attenuation pattern,auroc,0.8784
3,2026,disease,Peribronchial thickening,auroc,0.7985
3,2026,disease,Consolidation,auroc,0.9209
3,2026,disease,Bronchiectasis,auroc,0.7978
3,2026,disease,Interlobular septal thickening,auroc,0.8811
3,2026,disease,macro,auroc,0.8447
3,2026,disease,micro,auroc,0.8491
4,2026,disease,Medical material,auroc,0.9253
4,2026,disease,Arterial wall calcification,auroc,0.9294
4,2026,disease,Cardiomegaly,auroc,0.9298
4,2026,disease,Pericardial effusion,auroc,0.8568
4,2026,disease,Coronary artery wall calcification,auroc,0.9264
4,2026,disease,Hiatal hernia,auroc,0.7101
4,2026,disease,Lymphadenopathy,auroc,0.742
4,2026,disease,Emphysema,auroc,0.8073
4,2026,disease,Atelectasis,auroc,0.804
4,2026,disease,Lung nodule,auroc,0.724
4,2026,disease,Lung opacity,auroc,0.8663
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7306
4,2026,disease,Pleural effusion,auroc,0.9668
4,2026,disease,Mosaic attenuation pattern,auroc,0.8827
4,2026,disease,Peribronchial thickening,auroc,0.7997
4,2026,disease,Consolidation,auroc,0.9179
4,2026,disease,Bronchiectasis,auroc,0.7989
4,2026,disease,Interlobular septal thickening,auroc,0.8726
4,2026,disease,macro,auroc,0.8439
4,2026,disease,micro,auroc,0.854
5,2026,disease,Medical material,auroc,0.9208
5,2026,disease,Arterial wall calcification,auroc,0.9318
5,2026,disease,Cardiomegaly,auroc,0.9317
5,2026,disease,Pericardial effusion,auroc,0.8597
5,2026,disease,Coronary artery wall calcification,auroc,0.9313
5,2026,disease,Hiatal hernia,auroc,0.7012
5,2026,disease,Lymphadenopathy,auroc,0.7495
5,2026,disease,Emphysema,auroc,0.8094
5,2026,disease,Atelectasis,auroc,0.8085
5,2026,disease,Lung nodule,auroc,0.7234
5,2026,disease,Lung opacity,auroc,0.8651
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7367
5,2026,disease,Pleural effusion,auroc,0.9672
5,2026,disease,Mosaic attenuation pattern,auroc,0.8796
5,2026,disease,Peribronchial thickening,auroc,0.8232
5,2026,disease,Consolidation,auroc,0.9147
5,2026,disease,Bronchiectasis,auroc,0.8112
5,2026,disease,Interlobular septal thickening,auroc,0.8781
5,2026,disease,macro,auroc,0.8468
5,2026,disease,micro,auroc,0.8573
6,2026,disease,Medical material,auroc,0.919
6,2026,disease,Arterial wall calcification,auroc,0.9303
6,2026,disease,Cardiomegaly,auroc,0.9224
6,2026,disease,Pericardial effusion,auroc,0.86
6,2026,disease,Coronary artery wall calcification,auroc,0.9286
6,2026,disease,Hiatal hernia,auroc,0.6984
6,2026,disease,Lymphadenopathy,auroc,0.7502
6,2026,disease,Emphysema,auroc,0.7867
6,2026,disease,Atelectasis,auroc,0.8098
6,2026,disease,Lung nodule,auroc,0.7276
6,2026,disease,Lung opacity,auroc,0.8652
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7379
6,2026,disease,Pleural effusion,auroc,0.969
6,2026,disease,Mosaic attenuation pattern,auroc,0.8802
6,2026,disease,Peribronchial thickening,auroc,0.8075
6,2026,disease,Consolidation,auroc,0.9128
6,2026,disease,Bronchiectasis,auroc,0.7961
6,2026,disease,Interlobular septal thickening,auroc,0.87
6,2026,disease,macro,auroc,0.8429
6,2026,disease,micro,auroc,0.8497
7,2026,disease,Medical material,auroc,0.9174
7,2026,disease,Arterial wall calcification,auroc,0.9317
7,2026,disease,Cardiomegaly,auroc,0.9295
7,2026,disease,Pericardial effusion,auroc,0.859
7,2026,disease,Coronary artery wall calcification,auroc,0.9302
7,2026,disease,Hiatal hernia,auroc,0.7089
7,2026,disease,Lymphadenopathy,auroc,0.7541
7,2026,disease,Emphysema,auroc,0.8075
7,2026,disease,Atelectasis,auroc,0.8083
7,2026,disease,Lung nodule,auroc,0.7264
7,2026,disease,Lung opacity,auroc,0.8618
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7385
7,2026,disease,Pleural effusion,auroc,0.9675
7,2026,disease,Mosaic attenuation pattern,auroc,0.8847
7,2026,disease,Peribronchial thickening,auroc,0.8152
7,2026,disease,Consolidation,auroc,0.9217
7,2026,disease,Bronchiectasis,auroc,0.8052
7,2026,disease,Interlobular septal thickening,auroc,0.8668
7,2026,disease,macro,auroc,0.8464
7,2026,disease,micro,auroc,0.8584
8,2026,disease,Medical material,auroc,0.9235
8,2026,disease,Arterial wall calcification,auroc,0.9297
8,2026,disease,Cardiomegaly,auroc,0.9223
8,2026,disease,Pericardial effusion,auroc,0.8504
8,2026,disease,Coronary artery wall calcification,auroc,0.9309
8,2026,disease,Hiatal hernia,auroc,0.7056
8,2026,disease,Lymphadenopathy,auroc,0.75
8,2026,disease,Emphysema,auroc,0.8079
8,2026,disease,Atelectasis,auroc,0.8035
8,2026,disease,Lung nodule,auroc,0.7167
8,2026,disease,Lung opacity,auroc,0.8623
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7448
8,2026,disease,Pleural effusion,auroc,0.9655
8,2026,disease,Mosaic attenuation pattern,auroc,0.8793
8,2026,disease,Peribronchial thickening,auroc,0.8115
8,2026,disease,Consolidation,auroc,0.9179
8,2026,disease,Bronchiectasis,auroc,0.793
8,2026,disease,Interlobular septal thickening,auroc,0.8751
8,2026,disease,macro,auroc,0.8439
8,2026,disease,micro,auroc,0.8539
9,2026,disease,Medical material,auroc,0.9244
9,2026,disease,Arterial wall calcification,auroc,0.9275
9,2026,disease,Cardiomegaly,auroc,0.9306
9,2026,disease,Pericardial effusion,auroc,0.8527
9,2026,disease,Coronary artery wall calcification,auroc,0.9299
9,2026,disease,Hiatal hernia,auroc,0.6813
9,2026,disease,Lymphadenopathy,auroc,0.7493
9,2026,disease,Emphysema,auroc,0.8071
9,2026,disease,Atelectasis,auroc,0.8087
9,2026,disease,Lung nodule,auroc,0.7265
9,2026,disease,Lung opacity,auroc,0.8593
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7489
9,2026,disease,Pleural effusion,auroc,0.9673
9,2026,disease,Mosaic attenuation pattern,auroc,0.8744
9,2026,disease,Peribronchial thickening,auroc,0.8137
9,2026,disease,Consolidation,auroc,0.9165
9,2026,disease,Bronchiectasis,auroc,0.7874
9,2026,disease,Interlobular septal thickening,auroc,0.8725
9,2026,disease,macro,auroc,0.8432
9,2026,disease,micro,auroc,0.8508
10,2026,disease,Medical material,auroc,0.9203
10,2026,disease,Arterial wall calcification,auroc,0.9287
10,2026,disease,Cardiomegaly,auroc,0.9244
10,2026,disease,Pericardial effusion,auroc,0.8504
10,2026,disease,Coronary artery wall calcification,auroc,0.9304
10,2026,disease,Hiatal hernia,auroc,0.7063
10,2026,disease,Lymphadenopathy,auroc,0.7559
10,2026,disease,Emphysema,auroc,0.8024
10,2026,disease,Atelectasis,auroc,0.7985
10,2026,disease,Lung nodule,auroc,0.7192
10,2026,disease,Lung opacity,auroc,0.8645
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.7364
10,2026,disease,Pleural effusion,auroc,0.9677
10,2026,disease,Mosaic attenuation pattern,auroc,0.8869
10,2026,disease,Peribronchial thickening,auroc,0.8163
10,2026,disease,Consolidation,auroc,0.9178
10,2026,disease,Bronchiectasis,auroc,0.7991
10,2026,disease,Interlobular septal thickening,auroc,0.8795
10,2026,disease,macro,auroc,0.8447
10,2026,disease,micro,auroc,0.8485
1,2027,disease,Medical material,auroc,0.92
1,2027,disease,Arterial wall calcification,auroc,0.9314
1,2027,disease,Cardiomegaly,auroc,0.9257
1,2027,disease,Pericardial effusion,auroc,0.8527
1,2027,disease,Coronary artery wall calcification,auroc,0.9347
1,2027,disease,Hiatal hernia,auroc,0.6955
1,2027,disease,Lymphadenopathy,auroc,0.7524
1,2027,disease,Emphysema,auroc,0.794
1,2027,disease,Atelectasis,auroc,0.8071
1,2027,disease,Lung nodule,auroc,0.7271
1,2027,disease,Lung opacity,auroc,0.8609
1,2027,disease,Pulmonary fibrotic sequela,auroc,0.7384
1,2027,disease,Pleural effusion,auroc,0.9684
1,2027,disease,Mosaic attenuation pattern,auroc,0.881
1,2027,disease,Peribronchial thickening,auroc,0.8061
1,2027,disease,Consolidation,auroc,0.919
1,2027,disease,Bronchiectasis,auroc,0.7916
1,2027,disease,Interlobular septal thickening,auroc,0.8747
1,2027,disease,macro,auroc,0.8434
1,2027,disease,micro,auroc,0.8528
2,2027,disease,Medical material,auroc,0.912
2,2027,disease,Arterial wall calcification,auroc,0.9255
2,2027,disease,Cardiomegaly,auroc,0.9306
2,2027,disease,Pericardial effusion,auroc,0.8535
2,2027,disease,Coronary artery wall calcification,auroc,0.9295
2,2027,disease,Hiatal hernia,auroc,0.6979
2,2027,disease,Lymphadenopathy,auroc,0.7412
2,2027,disease,Emphysema,auroc,0.7957
2,2027,disease,Atelectasis,auroc,0.8145
2,2027,disease,Lung nodule,auroc,0.7402
2,2027,disease,Lung opacity,auroc,0.8629
2,2027,disease,Pulmonary fibrotic sequela,auroc,0.7467
2,2027,disease,Pleural effusion,auroc,0.9675
2,2027,disease,Mosaic attenuation pattern,auroc,0.8724
2,2027,disease,Peribronchial thickening,auroc,0.7978
2,2027,disease,Consolidation,auroc,0.9213
2,2027,disease,Bronchiectasis,auroc,0.8003
