epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0817
1,2026,location,1,r2,0.112
1,2026,location,2,r2,0.2859
1,2026,location,mean,r2,0.1599
2,2026,location,0,r2,0.0925
2,2026,location,1,r2,0.1488
2,2026,location,2,r2,0.3196
2,2026,location,mean,r2,0.187
3,2026,location,0,r2,0.1401
3,2026,location,1,r2,0.1663
3,2026,location,2,r2,0.3598
3,2026,location,mean,r2,0.2221
4,2026,location,0,r2,0.1542
4,2026,location,1,r2,0.1984
4,2026,location,2,r2,0.3635
4,2026,location,mean,r2,0.2387
5,2026,location,0,r2,0.2684
5,2026,location,1,r2,0.2591
5,2026,location,2,r2,0.3728
5,2026,location,mean,r2,0.3001
6,2026,location,0,r2,0.3177
6,2026,location,1,r2,0.2743
6,2026,location,2,r2,0.3593
6,2026,location,mean,r2,0.3171
7,2026,location,0,r2,0.3197
7,2026,location,1,r2,0.2983
7,2026,location,2,r2,0.3543
7,2026,location,mean,r2,0.3241
8,2026,location,0,r2,0.3868
8,2026,location,1,r2,0.3066
8,2026,location,2,r2,0.3738
8,2026,location,mean,r2,0.3557
9,2026,location,0,r2,0.3495
9,2026,location,1,r2,0.2635
9,2026,location,2,r2,0.3842
9,2026,location,mean,r2,0.3324
10,2026,location,0,r2,0.3707
10,2026,location,1,r2,0.3061
10,2026,location,2,r2,0.3813
10,2026,location,mean,r2,0.3527
1,2027,location,0,r2,0.0483
1,2027,location,1,r2,0.1123
1,2027,location,2,r2,0.2903
1,2027,location,mean,r2,0.1503
2,2027,location,0,r2,0.0711
2,2027,location,1,r2,0.1307
2,2027,location,2,r2,0.3263
2,2027,location,mean,r2,0.176
3,2027,location,0,r2,0.084
3,2027,location,1,r2,0.1372
3,2027,location,2,r2,0.3359
3,2027,location,mean,r2,0.1857
4,2027,location,0,r2,0.1395
4,2027,location,1,r2,0.2054
4,2027,location,2,r2,0.3238
4,2027,location,mean,r2,0.2229
5,2027,location,0,r2,0.2229
5,2027,location,1,r2,0.2427
5,2027,location,2,r2,0.3542
5,2027,location,mean,r2,0.2733
6,2027,location,0,r2,0.2541
6,2027,location,1,r2,0.2846
6,2027,location,2,r2,0.3779
6,2027,location,mean,r2,0.3055
7,2027,location,0,r2,0.2735
7,2027,location,1,r2,0.2968
7,2027,location,2,r2,0.3954
7,2027,location,mean,r2,0.3219
8,2027,location,0,r2,0.3545
8,2027,location,1,r2,0.315
8,2027,location,2,r2,0.3914
8,2027,location,mean,r2,0.3537
9,2027,location,0,r2,0.377
9,2027,location,1,r2,0.3162
9,2027,location,2,r2,0.399
9,2027,location,mean,r2,0.3641
10,2027,location,0,r2,0.4404
10,2027,location,1,r2,0.3687
10,2027,location,2,r2,0.3793
10,2027,location,mean,r2,0.3961
1,2028,location,0,r2,0.041
1,2028,location,1,r2,0.1037
1,2028,location,2,r2,0.3265
1,2028,location,mean,r2,0.1571
2,2028,location,0,r2,0.045
2,2028,location,1,r2,0.1221
2,2028,location,2,r2,0.3067
2,2028,location,mean,r2,0.158
3,2028,location,0,r2,0.1303
3,2028,location,1,r2,0.1584
3,2028,location,2,r2,0.3074
3,2028,location,mean,r2,0.1987
4,2028,location,0,r2,0.1863
4,2028,location,1,r2,0.1835
4,2028,location,2,r2,0.3399
4,2028,location,mean,r2,0.2365
5,2028,location,0,r2,0.2317
5,2028,location,1,r2,0.2072
5,2028,location,2,r2,0.3104
5,2028,location,mean,r2,0.2497
6,2028,location,0,r2,0.2511
6,2028,location,1,r2,0.2594
6,2028,location,2,r2,0.3076
6,2028,location,mean,r2,0.2727
7,2028,location,0,r2,0.3094
7,2028,location,1,r2,0.2466
7,2028,location,2,r2,0.3455
7,2028,location,mean,r2,0.3005
8,2028,location,0,r2,0.3201
8,2028,location,1,r2,0.2933
8,2028,location,2,r2,0.3639
8,2028,location,mean,r2,0.3258
9,2028,location,0,r2,0.3368
9,2028,location,1,r2,0.2921
9,2028,location,2,r2,0.3596
9,2028,location,mean,r2,0.3295
10,2028,location,0,r2,0.3459
10,2028,location,1,r2,0.2959
10,2028,location,2,r2,0.3715
10,2028,location,mean,r2,0.3378
