epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8926
1,2026,radiomics,1,r2,0.2951
1,2026,radiomics,2,r2,0.8561
1,2026,radiomics,mean,r2,0.6813
2,2026,radiomics,0,r2,0.9148
2,2026,radiomics,1,r2,0.3258
2,2026,radiomics,2,r2,0.8431
2,2026,radiomics,mean,r2,0.6945
3,2026,radiomics,0,r2,0.9066
3,2026,radiomics,1,r2,0.3732
3,2026,radiomics,2,r2,0.881
3,2026,radiomics,mean,r2,0.7203
4,2026,radiomics,0,r2,0.9168
4,2026,radiomics,1,r2,0.3453
4,2026,radiomics,2,r2,0.8713
4,2026,radiomics,mean,r2,0.7111
5,2026,radiomics,0,r2,0.9229
5,2026,radiomics,1,r2,0.3719
5,2026,radiomics,2,r2,0.8659
5,2026,radiomics,mean,r2,0.7203
6,2026,radiomics,0,r2,0.9246
6,2026,radiomics,1,r2,0.5044
6,2026,radiomics,2,r2,0.8851
6,2026,radiomics,mean,r2,0.7714
7,2026,radiomics,0,r2,0.9212
7,2026,radiomics,1,r2,0.5015
7,2026,radiomics,2,r2,0.901
7,2026,radiomics,mean,r2,0.7745
8,2026,radiomics,0,r2,0.9282
8,2026,radiomics,1,r2,0.5527
8,2026,radiomics,2,r2,0.8889
8,2026,radiomics,mean,r2,0.79
9,2026,radiomics,0,r2,0.9117
9,2026,radiomics,1,r2,0.3596
9,2026,radiomics,2,r2,0.896
9,2026,radiomics,mean,r2,0.7224
10,2026,radiomics,0,r2,0.9286
10,2026,radiomics,1,r2,0.5788
10,2026,radiomics,2,r2,0.9026
10,2026,radiomics,mean,r2,0.8033
1,2027,radiomics,0,r2,0.9016
1,2027,radiomics,1,r2,0.2748
1,2027,radiomics,2,r2,0.8389
1,2027,radiomics,mean,r2,0.6718
2,2027,radiomics,0,r2,0.9185
2,2027,radiomics,1,r2,0.3723
2,2027,radiomics,2,r2,0.8589
2,2027,radiomics,mean,r2,0.7166
3,2027,radiomics,0,r2,0.9214
3,2027,radiomics,1,r2,0.3991
3,2027,radiomics,2,r2,0.8724
3,2027,radiomics,mean,r2,0.731
4,2027,radiomics,0,r2,0.9039
4,2027,radiomics,1,r2,0.376
4,2027,radiomics,2,r2,0.8848
4,2027,radiomics,mean,r2,0.7216
5,2027,radiomics,0,r2,0.9039
5,2027,radiomics,1,r2,0.4
5,2027,radiomics,2,r2,0.8565
5,2027,radiomics,mean,r2,0.7201
6,2027,radiomics,0,r2,0.9
6,2027,radiomics,1,r2,0.4584
6,2027,radiomics,2,r2,0.8751
6,2027,radiomics,mean,r2,0.7445
7,2027,radiomics,0,r2,0.9184
7,2027,radiomics,1,r2,0.2362
7,2027,radiomics,2,r2,0.8868
7,2027,radiomics,mean,r2,0.6805
8,2027,radiomics,0,r2,0.9067
8,2027,radiomics,1,r2,0.4923
8,2027,radiomics,2,r2,0.8483
8,2027,radiomics,mean,r2,0.7491
9,2027,radiomics,0,r2,0.9179
9,2027,radiomics,1,r2,0.5776
9,2027,radiomics,2,r2,0.8954
9,2027,radiomics,mean,r2,0.797
10,2027,radiomics,0,r2,0.9137
10,2027,radiomics,1,r2,0.5926
10,2027,radiomics,2,r2,0.8779
10,2027,radiomics,mean,r2,0.7947
1,2028,radiomics,0,r2,0.8896
1,2028,radiomics,1,r2,0.2903
1,2028,radiomics,2,r2,0.8403
1,2028,radiomics,mean,r2,0.6734
2,2028,radiomics,0,r2,0.9188
2,2028,radiomics,1,r2,0.3377
2,2028,radiomics,2,r2,0.8644
2,2028,radiomics,mean,r2,0.707
3,2028,radiomics,0,r2,0.9164
3,2028,radiomics,1,r2,0.359
3,2028,radiomics,2,r2,0.8825
3,2028,radiomics,mean,r2,0.7193
4,2028,radiomics,0,r2,0.9201
4,2028,radiomics,1,r2,0.4655
4,2028,radiomics,2,r2,0.8757
4,2028,radiomics,mean,r2,0.7538
5,2028,radiomics,0,r2,0.9032
5,2028,radiomics,1,r2,0.5203
5,2028,radiomics,2,r2,0.8818
5,2028,radiomics,mean,r2,0.7684
6,2028,radiomics,0,r2,0.9361
6,2028,radiomics,1,r2,0.4701
6,2028,radiomics,2,r2,0.8943
6,2028,radiomics,mean,r2,0.7668
7,2028,radiomics,0,r2,0.9351
7,2028,radiomics,1,r2,0.3764
7,2028,radiomics,2,r2,0.8908
7,2028,radiomics,mean,r2,0.7341
8,2028,radiomics,0,r2,0.922
8,2028,radiomics,1,r2,0.6138
8,2028,radiomics,2,r2,0.8887
8,2028,radiomics,mean,r2,0.8081
9,2028,radiomics,0,r2,0.9354
9,2028,radiomics,1,r2,0.4913
9,2028,radiomics,2,r2,0.9071
9,2028,radiomics,mean,r2,0.7779
10,2028,radiomics,0,r2,0.9315
10,2028,radiomics,1,r2,0.6168
10,2028,radiomics,2,r2,0.9056
10,2028,radiomics,mean,r2,0.818
