epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9244
1,2026,disease,Arterial wall calcification,auroc,0.9309
1,2026,disease,Cardiomegaly,auroc,0.9277
1,2026,disease,Pericardial effusion,auroc,0.8563
1,2026,disease,Coronary artery wall calcification,auroc,0.9339
1,2026,disease,Hiatal hernia,auroc,0.7092
1,2026,disease,Lymphadenopathy,auroc,0.7461
1,2026,disease,Emphysema,auroc,0.8031
1,2026,disease,Atelectasis,auroc,0.8164
1,2026,disease,Lung nodule,auroc,0.7306
1,2026,disease,Lung opacity,auroc,0.8682
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.741
1,2026,disease,Pleural effusion,auroc,0.9678
1,2026,disease,Mosaic attenuation pattern,auroc,0.8804
1,2026,disease,Peribronchial thickening,auroc,0.8209
1,2026,disease,Consolidation,auroc,0.9126
1,2026,disease,Bronchiectasis,auroc,0.8017
1,2026,disease,Interlobular septal thickening,auroc,0.881
1,2026,disease,macro,auroc,0.8473
1,2026,disease,micro,auroc,0.8545
2,2026,disease,Medical material,auroc,0.9272
2,2026,disease,Arterial wall calcification,auroc,0.9297
2,2026,disease,Cardiomegaly,auroc,0.9294
2,2026,disease,Pericardial effusion,auroc,0.8552
2,2026,disease,Coronary artery wall calcification,auroc,0.9352
2,2026,disease,Hiatal hernia,auroc,0.7106
2,2026,disease,Lymphadenopathy,auroc,0.7567
2,2026,disease,Emphysema,auroc,0.8048
2,2026,disease,Atelectasis,auroc,0.8187
2,2026,disease,Lung nodule,auroc,0.7295
2,2026,disease,Lung opacity,auroc,0.8693
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7393
2,2026,disease,Pleural effusion,auroc,0.9701
2,2026,disease,Mosaic attenuation pattern,auroc,0.8796
2,2026,disease,Peribronchial thickening,auroc,0.8167
2,2026,disease,Consolidation,auroc,0.923
2,2026,disease,Bronchiectasis,auroc,0.8039
2,2026,disease,Interlobular septal thickening,auroc,0.8717
2,2026,disease,macro,auroc,0.8484
2,2026,disease,micro,auroc,0.858
3,2026,disease,Medical material,auroc,0.9285
3,2026,disease,Arterial wall calcification,auroc,0.9253
3,2026,disease,Cardiomegaly,auroc,0.9276
3,2026,disease,Pericardial effusion,auroc,0.8588
3,2026,disease,Coronary artery wall calcification,auroc,0.9308
3,2026,disease,Hiatal hernia,auroc,0.7087
3,2026,disease,Lymphadenopathy,auroc,0.7603
3,2026,disease,Emphysema,auroc,0.8119
3,2026,disease,Atelectasis,auroc,0.8145
3,2026,disease,Lung nodule,auroc,0.7378
3,2026,disease,Lung opacity,auroc,0.8701
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7423
3,2026,disease,Pleural effusion,auroc,0.9678
3,2026,disease,Mosaic attenuation pattern,auroc,0.8862
3,2026,disease,Peribronchial thickening,auroc,0.808
3,2026,disease,Consolidation,auroc,0.9238
3,2026,disease,Bronchiectasis,auroc,0.7978
3,2026,disease,Interlobular septal thickening,auroc,0.8891
3,2026,disease,macro,auroc,0.8494
3,2026,disease,micro,auroc,0.854
4,2026,disease,Medical material,auroc,0.9339
4,2026,disease,Arterial wall calcification,auroc,0.93
4,2026,disease,Cardiomegaly,auroc,0.9317
4,2026,disease,Pericardial effusion,auroc,0.8603
4,2026,disease,Coronary artery wall calcification,auroc,0.933
4,2026,disease,Hiatal hernia,auroc,0.7107
4,2026,disease,Lymphadenopathy,auroc,0.7565
4,2026,disease,Emphysema,auroc,0.7993
4,2026,disease,Atelectasis,auroc,0.8078
4,2026,disease,Lung nodule,auroc,0.7385
4,2026,disease,Lung opacity,auroc,0.8712
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7421
4,2026,disease,Pleural effusion,auroc,0.9709
