epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0903
1,2026,location,1,r2,0.116
1,2026,location,2,r2,0.317
1,2026,location,mean,r2,0.1745
2,2026,location,0,r2,0.1534
2,2026,location,1,r2,0.1284
2,2026,location,2,r2,0.3433
2,2026,location,mean,r2,0.2083
3,2026,location,0,r2,0.1731
3,2026,location,1,r2,0.1329
3,2026,location,2,r2,0.349
3,2026,location,mean,r2,0.2183
4,2026,location,0,r2,0.1576
4,2026,location,1,r2,0.1306
4,2026,location,2,r2,0.3644
4,2026,location,mean,r2,0.2175
5,2026,location,0,r2,0.2776
5,2026,location,1,r2,0.1497
5,2026,location,2,r2,0.35
5,2026,location,mean,r2,0.2591
6,2026,location,0,r2,0.2778
6,2026,location,1,r2,0.1384
6,2026,location,2,r2,0.3692
6,2026,location,mean,r2,0.2618
7,2026,location,0,r2,0.2579
7,2026,location,1,r2,0.169
7,2026,location,2,r2,0.3767
7,2026,location,mean,r2,0.2679
8,2026,location,0,r2,0.175
8,2026,location,1,r2,0.161
8,2026,location,2,r2,0.3781
8,2026,location,mean,r2,0.2381
9,2026,location,0,r2,0.3045
9,2026,location,1,r2,0.1558
9,2026,location,2,r2,0.3636
9,2026,location,mean,r2,0.2746
10,2026,location,0,r2,0.2899
10,2026,location,1,r2,0.1612
10,2026,location,2,r2,0.3602
10,2026,location,mean,r2,0.2704
1,2027,location,0,r2,0.0976
1,2027,location,1,r2,0.1071
1,2027,location,2,r2,0.3252
1,2027,location,mean,r2,0.1766
2,2027,location,0,r2,0.1292
2,2027,location,1,r2,0.1199
2,2027,location,2,r2,0.3478
2,2027,location,mean,r2,0.199
3,2027,location,0,r2,0.063
3,2027,location,1,r2,0.1032
3,2027,location,2,r2,0.3476
3,2027,location,mean,r2,0.1712
4,2027,location,0,r2,0.0947
4,2027,location,1,r2,0.0857
4,2027,location,2,r2,0.3712
4,2027,location,mean,r2,0.1839
5,2027,location,0,r2,0.1994
5,2027,location,1,r2,0.1421
5,2027,location,2,r2,0.3586
5,2027,location,mean,r2,0.2334
6,2027,location,0,r2,0.1805
6,2027,location,1,r2,0.1215
6,2027,location,2,r2,0.3969
6,2027,location,mean,r2,0.233
7,2027,location,0,r2,0.234
7,2027,location,1,r2,0.1517
7,2027,location,2,r2,0.3828
7,2027,location,mean,r2,0.2562
8,2027,location,0,r2,0.3014
8,2027,location,1,r2,0.1676
8,2027,location,2,r2,0.3968
8,2027,location,mean,r2,0.2886
9,2027,location,0,r2,0.3206
9,2027,location,1,r2,0.183
9,2027,location,2,r2,0.3853
9,2027,location,mean,r2,0.2963
10,2027,location,0,r2,0.2871
10,2027,location,1,r2,0.1249
10,2027,location,2,r2,0.3854
10,2027,location,mean,r2,0.2658
1,2028,location,0,r2,0.0938
1,2028,location,1,r2,0.117
1,2028,location,2,r2,0.3026
1,2028,location,mean,r2,0.1711
2,2028,location,0,r2,0.1164
2,2028,location,1,r2,0.1327
2,2028,location,2,r2,0.3446
2,2028,location,mean,r2,0.1979
3,2028,location,0,r2,0.1437
3,2028,location,1,r2,0.1334
3,2028,location,2,r2,0.3595
3,2028,location,mean,r2,0.2122
4,2028,location,0,r2,0.2056
4,2028,location,1,r2,0.1388
4,2028,location,2,r2,0.3678
4,2028,location,mean,r2,0.2374
5,2028,location,0,r2,0.153
5,2028,location,1,r2,0.1476
5,2028,location,2,r2,0.3548
5,2028,location,mean,r2,0.2185
6,2028,location,0,r2,0.2176
6,2028,location,1,r2,0.1522
6,2028,location,2,r2,0.3578
6,2028,location,mean,r2,0.2425
7,2028,location,0,r2,0.137
7,2028,location,1,r2,0.1535
7,2028,location,2,r2,0.3712
7,2028,location,mean,r2,0.2206
8,2028,location,0,r2,0.152
8,2028,location,1,r2,0.1703
8,2028,location,2,r2,0.3484
8,2028,location,mean,r2,0.2235
9,2028,location,0,r2,0.198
9,2028,location,1,r2,0.1599
9,2028,location,2,r2,0.3659
9,2028,location,mean,r2,0.2413
10,2028,location,0,r2,0.2183
10,2028,location,1,r2,0.1727
10,2028,location,2,r2,0.3782
10,2028,location,mean,r2,0.2564
