epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9238
1,2026,disease,Arterial wall calcification,auroc,0.9298
1,2026,disease,Cardiomegaly,auroc,0.9254
1,2026,disease,Pericardial effusion,auroc,0.8593
1,2026,disease,Coronary artery wall calcification,auroc,0.9332
1,2026,disease,Hiatal hernia,auroc,0.7028
1,2026,disease,Lymphadenopathy,auroc,0.738
1,2026,disease,Emphysema,auroc,0.798
1,2026,disease,Atelectasis,auroc,0.8134
1,2026,disease,Lung nodule,auroc,0.7379
1,2026,disease,Lung opacity,auroc,0.8707
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7411
1,2026,disease,Pleural effusion,auroc,0.9673
1,2026,disease,Mosaic attenuation pattern,auroc,0.8767
1,2026,disease,Peribronchial thickening,auroc,0.8105
1,2026,disease,Consolidation,auroc,0.9225
1,2026,disease,Bronchiectasis,auroc,0.7816
1,2026,disease,Interlobular septal thickening,auroc,0.882
1,2026,disease,macro,auroc,0.8452
1,2026,disease,micro,auroc,0.8553
2,2026,disease,Medical material,auroc,0.919
2,2026,disease,Arterial wall calcification,auroc,0.9297
2,2026,disease,Cardiomegaly,auroc,0.9289
2,2026,disease,Pericardial effusion,auroc,0.85
2,2026,disease,Coronary artery wall calcification,auroc,0.9341
2,2026,disease,Hiatal hernia,auroc,0.7036
2,2026,disease,Lymphadenopathy,auroc,0.75
2,2026,disease,Emphysema,auroc,0.7951
2,2026,disease,Atelectasis,auroc,0.8144
2,2026,disease,Lung nodule,auroc,0.7399
2,2026,disease,Lung opacity,auroc,0.8706
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7316
2,2026,disease,Pleural effusion,auroc,0.9686
2,2026,disease,Mosaic attenuation pattern,auroc,0.8878
2,2026,disease,Peribronchial thickening,auroc,0.8049
2,2026,disease,Consolidation,auroc,0.9275
2,2026,disease,Bronchiectasis,auroc,0.79
2,2026,disease,Interlobular septal thickening,auroc,0.882
2,2026,disease,macro,auroc,0.846
2,2026,disease,micro,auroc,0.8555
