epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0651
1,2026,location,1,r2,0.0927
1,2026,location,2,r2,0.2369
1,2026,location,mean,r2,0.1316
2,2026,location,0,r2,0.0759
2,2026,location,1,r2,0.1032
2,2026,location,2,r2,0.282
2,2026,location,mean,r2,0.1537
3,2026,location,0,r2,0.0748
3,2026,location,1,r2,0.0949
3,2026,location,2,r2,0.2677
3,2026,location,mean,r2,0.1458
4,2026,location,0,r2,0.0788
4,2026,location,1,r2,0.107
4,2026,location,2,r2,0.3175
4,2026,location,mean,r2,0.1678
5,2026,location,0,r2,0.0872
5,2026,location,1,r2,0.1136
5,2026,location,2,r2,0.3202
5,2026,location,mean,r2,0.1736
6,2026,location,0,r2,0.0742
6,2026,location,1,r2,0.111
6,2026,location,2,r2,0.3017
6,2026,location,mean,r2,0.1623
7,2026,location,0,r2,0.0775
7,2026,location,1,r2,0.1104
7,2026,location,2,r2,0.3186
7,2026,location,mean,r2,0.1688
8,2026,location,0,r2,0.0634
8,2026,location,1,r2,0.1122
8,2026,location,2,r2,0.3361
8,2026,location,mean,r2,0.1706
9,2026,location,0,r2,0.0737
9,2026,location,1,r2,0.0992
9,2026,location,2,r2,0.3211
9,2026,location,mean,r2,0.1646
10,2026,location,0,r2,0.0779
10,2026,location,1,r2,0.1129
10,2026,location,2,r2,0.3329
10,2026,location,mean,r2,0.1746
1,2027,location,0,r2,0.0602
1,2027,location,1,r2,0.0891
1,2027,location,2,r2,0.2342
1,2027,location,mean,r2,0.1278
2,2027,location,0,r2,0.0752
2,2027,location,1,r2,0.1079
2,2027,location,2,r2,0.2569
2,2027,location,mean,r2,0.1467
3,2027,location,0,r2,0.0712
3,2027,location,1,r2,0.0875
3,2027,location,2,r2,0.2772
3,2027,location,mean,r2,0.1453
4,2027,location,0,r2,0.0754
4,2027,location,1,r2,0.104
4,2027,location,2,r2,0.2681
4,2027,location,mean,r2,0.1492
5,2027,location,0,r2,0.072
5,2027,location,1,r2,0.1009
5,2027,location,2,r2,0.2929
5,2027,location,mean,r2,0.1553
6,2027,location,0,r2,0.0805
6,2027,location,1,r2,0.1111
6,2027,location,2,r2,0.308
6,2027,location,mean,r2,0.1666
7,2027,location,0,r2,0.0573
7,2027,location,1,r2,0.0967
7,2027,location,2,r2,0.3181
7,2027,location,mean,r2,0.1573
8,2027,location,0,r2,0.0819
8,2027,location,1,r2,0.1199
8,2027,location,2,r2,0.3237
8,2027,location,mean,r2,0.1752
9,2027,location,0,r2,0.0622
9,2027,location,1,r2,0.1086
9,2027,location,2,r2,0.3234
9,2027,location,mean,r2,0.1647
10,2027,location,0,r2,0.0701
10,2027,location,1,r2,0.1061
10,2027,location,2,r2,0.3227
10,2027,location,mean,r2,0.1663
1,2028,location,0,r2,0.0522
1,2028,location,1,r2,0.0999
1,2028,location,2,r2,0.2555
1,2028,location,mean,r2,0.1359
2,2028,location,0,r2,0.0752
2,2028,location,1,r2,0.1072
2,2028,location,2,r2,0.2648
2,2028,location,mean,r2,0.1491
3,2028,location,0,r2,0.0722
3,2028,location,1,r2,0.0902
3,2028,location,2,r2,0.2977
3,2028,location,mean,r2,0.1534
4,2028,location,0,r2,0.0883
4,2028,location,1,r2,0.1112
4,2028,location,2,r2,0.3172
4,2028,location,mean,r2,0.1722
5,2028,location,0,r2,0.0814
5,2028,location,1,r2,0.0819
5,2028,location,2,r2,0.2782
5,2028,location,mean,r2,0.1472
6,2028,location,0,r2,0.0786
6,2028,location,1,r2,0.1173
6,2028,location,2,r2,0.3314
6,2028,location,mean,r2,0.1758
7,2028,location,0,r2,0.0819
7,2028,location,1,r2,0.1115
7,2028,location,2,r2,0.3289
7,2028,location,mean,r2,0.1741
8,2028,location,0,r2,0.085
8,2028,location,1,r2,0.0974
8,2028,location,2,r2,0.3131
8,2028,location,mean,r2,0.1652
9,2028,location,0,r2,0.0811
9,2028,location,1,r2,0.1146
9,2028,location,2,r2,0.3463
9,2028,location,mean,r2,0.1807
10,2028,location,0,r2,0.0822
10,2028,location,1,r2,0.1122
10,2028,location,2,r2,0.3324
10,2028,location,mean,r2,0.1756
