epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8537
1,2026,radiomics,1,r2,0.1624
1,2026,radiomics,2,r2,0.7232
1,2026,radiomics,mean,r2,0.5798
2,2026,radiomics,0,r2,0.885
2,2026,radiomics,1,r2,0.1644
2,2026,radiomics,2,r2,0.7771
2,2026,radiomics,mean,r2,0.6088
3,2026,radiomics,0,r2,0.8885
3,2026,radiomics,1,r2,0.1645
3,2026,radiomics,2,r2,0.7961
3,2026,radiomics,mean,r2,0.6164
4,2026,radiomics,0,r2,0.8974
4,2026,radiomics,1,r2,0.1842
4,2026,radiomics,2,r2,0.7938
4,2026,radiomics,mean,r2,0.6251
5,2026,radiomics,0,r2,0.8929
5,2026,radiomics,1,r2,0.1977
5,2026,radiomics,2,r2,0.7909
5,2026,radiomics,mean,r2,0.6272
6,2026,radiomics,0,r2,0.8979
6,2026,radiomics,1,r2,0.2156
6,2026,radiomics,2,r2,0.8084
6,2026,radiomics,mean,r2,0.6406
7,2026,radiomics,0,r2,0.9027
7,2026,radiomics,1,r2,0.2153
7,2026,radiomics,2,r2,0.8255
7,2026,radiomics,mean,r2,0.6478
8,2026,radiomics,0,r2,0.8999
8,2026,radiomics,1,r2,0.2131
8,2026,radiomics,2,r2,0.8223
8,2026,radiomics,mean,r2,0.6451
9,2026,radiomics,0,r2,0.8999
9,2026,radiomics,1,r2,0.1805
9,2026,radiomics,2,r2,0.8313
9,2026,radiomics,mean,r2,0.6372
10,2026,radiomics,0,r2,0.908
10,2026,radiomics,1,r2,0.229
10,2026,radiomics,2,r2,0.822
10,2026,radiomics,mean,r2,0.653
1,2027,radiomics,0,r2,0.8658
1,2027,radiomics,1,r2,0.1759
1,2027,radiomics,2,r2,0.7441
1,2027,radiomics,mean,r2,0.5953
2,2027,radiomics,0,r2,0.8708
2,2027,radiomics,1,r2,0.1903
2,2027,radiomics,2,r2,0.783
2,2027,radiomics,mean,r2,0.6147
3,2027,radiomics,0,r2,0.8842
3,2027,radiomics,1,r2,0.2072
3,2027,radiomics,2,r2,0.7676
3,2027,radiomics,mean,r2,0.6197
4,2027,radiomics,0,r2,0.8826
4,2027,radiomics,1,r2,0.2014
4,2027,radiomics,2,r2,0.7804
4,2027,radiomics,mean,r2,0.6215
5,2027,radiomics,0,r2,0.8893
5,2027,radiomics,1,r2,0.1965
5,2027,radiomics,2,r2,0.8077
5,2027,radiomics,mean,r2,0.6312
6,2027,radiomics,0,r2,0.8931
6,2027,radiomics,1,r2,0.2119
6,2027,radiomics,2,r2,0.8092
6,2027,radiomics,mean,r2,0.6381
7,2027,radiomics,0,r2,0.8968
7,2027,radiomics,1,r2,0.1972
7,2027,radiomics,2,r2,0.7975
7,2027,radiomics,mean,r2,0.6305
8,2027,radiomics,0,r2,0.9008
8,2027,radiomics,1,r2,0.2233
8,2027,radiomics,2,r2,0.8226
8,2027,radiomics,mean,r2,0.6489
9,2027,radiomics,0,r2,0.9035
9,2027,radiomics,1,r2,0.2151
9,2027,radiomics,2,r2,0.8097
9,2027,radiomics,mean,r2,0.6428
10,2027,radiomics,0,r2,0.8977
10,2027,radiomics,1,r2,0.2186
10,2027,radiomics,2,r2,0.7966
10,2027,radiomics,mean,r2,0.6376
1,2028,radiomics,0,r2,0.8615
1,2028,radiomics,1,r2,0.1629
1,2028,radiomics,2,r2,0.7312
1,2028,radiomics,mean,r2,0.5852
2,2028,radiomics,0,r2,0.8579
2,2028,radiomics,1,r2,0.1907
2,2028,radiomics,2,r2,0.7589
2,2028,radiomics,mean,r2,0.6025
3,2028,radiomics,0,r2,0.8729
3,2028,radiomics,1,r2,0.1753
3,2028,radiomics,2,r2,0.7616
3,2028,radiomics,mean,r2,0.6033
4,2028,radiomics,0,r2,0.889
4,2028,radiomics,1,r2,0.1858
4,2028,radiomics,2,r2,0.8016
4,2028,radiomics,mean,r2,0.6255
5,2028,radiomics,0,r2,0.892
5,2028,radiomics,1,r2,0.1885
5,2028,radiomics,2,r2,0.7929
5,2028,radiomics,mean,r2,0.6244
6,2028,radiomics,0,r2,0.9044
6,2028,radiomics,1,r2,0.2009
6,2028,radiomics,2,r2,0.7935
6,2028,radiomics,mean,r2,0.6329
7,2028,radiomics,0,r2,0.8987
7,2028,radiomics,1,r2,0.2106
7,2028,radiomics,2,r2,0.799
7,2028,radiomics,mean,r2,0.6361
8,2028,radiomics,0,r2,0.8881
8,2028,radiomics,1,r2,0.1983
8,2028,radiomics,2,r2,0.8066
8,2028,radiomics,mean,r2,0.631
9,2028,radiomics,0,r2,0.9
9,2028,radiomics,1,r2,0.1915
9,2028,radiomics,2,r2,0.8174
9,2028,radiomics,mean,r2,0.6363
10,2028,radiomics,0,r2,0.9038
10,2028,radiomics,1,r2,0.2137
10,2028,radiomics,2,r2,0.8237
10,2028,radiomics,mean,r2,0.6471
