epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8085
1,2026,size,1,r2,0.4376
1,2026,size,2,r2,0.408
1,2026,size,3,r2,0.5862
1,2026,size,4,r2,0.6684
1,2026,size,mean,r2,0.5817
2,2026,size,0,r2,0.8141
2,2026,size,1,r2,0.5041
2,2026,size,2,r2,0.45
2,2026,size,3,r2,0.5994
2,2026,size,4,r2,0.6909
2,2026,size,mean,r2,0.6117
3,2026,size,0,r2,0.8259
3,2026,size,1,r2,0.5206
3,2026,size,2,r2,0.4686
3,2026,size,3,r2,0.6266
3,2026,size,4,r2,0.7038
3,2026,size,mean,r2,0.6291
4,2026,size,0,r2,0.828
4,2026,size,1,r2,0.5251
4,2026,size,2,r2,0.4774
4,2026,size,3,r2,0.6231
4,2026,size,4,r2,0.7248
4,2026,size,mean,r2,0.6357
5,2026,size,0,r2,0.8288
5,2026,size,1,r2,0.5279
5,2026,size,2,r2,0.4812
5,2026,size,3,r2,0.6262
5,2026,size,4,r2,0.7158
5,2026,size,mean,r2,0.636
6,2026,size,0,r2,0.8328
6,2026,size,1,r2,0.5464
6,2026,size,2,r2,0.4927
6,2026,size,3,r2,0.6277
6,2026,size,4,r2,0.7131
6,2026,size,mean,r2,0.6426
7,2026,size,0,r2,0.8482
7,2026,size,1,r2,0.5456
7,2026,size,2,r2,0.5016
7,2026,size,3,r2,0.6415
7,2026,size,4,r2,0.7184
7,2026,size,mean,r2,0.6511
8,2026,size,0,r2,0.825
8,2026,size,1,r2,0.54
8,2026,size,2,r2,0.4882
8,2026,size,3,r2,0.6329
8,2026,size,4,r2,0.7171
8,2026,size,mean,r2,0.6407
9,2026,size,0,r2,0.848
9,2026,size,1,r2,0.5526
9,2026,size,2,r2,0.5071
9,2026,size,3,r2,0.6334
9,2026,size,4,r2,0.7327
9,2026,size,mean,r2,0.6548
10,2026,size,0,r2,0.8396
10,2026,size,1,r2,0.547
10,2026,size,2,r2,0.4447
10,2026,size,3,r2,0.6414
10,2026,size,4,r2,0.7297
10,2026,size,mean,r2,0.6405
1,2027,size,0,r2,0.7948
1,2027,size,1,r2,0.4936
1,2027,size,2,r2,0.4272
1,2027,size,3,r2,0.6028
1,2027,size,4,r2,0.6912
1,2027,size,mean,r2,0.6019
2,2027,size,0,r2,0.822
2,2027,size,1,r2,0.4924
2,2027,size,2,r2,0.4422
2,2027,size,3,r2,0.6235
2,2027,size,4,r2,0.7122
2,2027,size,mean,r2,0.6185
3,2027,size,0,r2,0.8338
3,2027,size,1,r2,0.5205
3,2027,size,2,r2,0.4743
3,2027,size,3,r2,0.6206
3,2027,size,4,r2,0.7086
3,2027,size,mean,r2,0.6315
4,2027,size,0,r2,0.8202
4,2027,size,1,r2,0.5255
4,2027,size,2,r2,0.4926
4,2027,size,3,r2,0.6305
4,2027,size,4,r2,0.7147
4,2027,size,mean,r2,0.6367
5,2027,size,0,r2,0.8342
5,2027,size,1,r2,0.5376
5,2027,size,2,r2,0.4743
5,2027,size,3,r2,0.6233
5,2027,size,4,r2,0.7242
5,2027,size,mean,r2,0.6387
6,2027,size,0,r2,0.8455
6,2027,size,1,r2,0.5353
6,2027,size,2,r2,0.4728
6,2027,size,3,r2,0.6382
6,2027,size,4,r2,0.7264
6,2027,size,mean,r2,0.6436
7,2027,size,0,r2,0.8493
7,2027,size,1,r2,0.5514
7,2027,size,2,r2,0.4897
7,2027,size,3,r2,0.6417
7,2027,size,4,r2,0.7345
7,2027,size,mean,r2,0.6533
8,2027,size,0,r2,0.8402
8,2027,size,1,r2,0.5419
8,2027,size,2,r2,0.491
8,2027,size,3,r2,0.6256
8,2027,size,4,r2,0.7284
8,2027,size,mean,r2,0.6454
9,2027,size,0,r2,0.8496
9,2027,size,1,r2,0.5426
9,2027,size,2,r2,0.4854
9,2027,size,3,r2,0.6317
9,2027,size,4,r2,0.7355
9,2027,size,mean,r2,0.649
10,2027,size,0,r2,0.8478
10,2027,size,1,r2,0.5258
10,2027,size,2,r2,0.4861
10,2027,size,3,r2,0.5972
10,2027,size,4,r2,0.7376
10,2027,size,mean,r2,0.6389
1,2028,size,0,r2,0.7808
1,2028,size,1,r2,0.4066
1,2028,size,2,r2,0.4004
1,2028,size,3,r2,0.5883
1,2028,size,4,r2,0.6384
1,2028,size,mean,r2,0.5629
2,2028,size,0,r2,0.7947
2,2028,size,1,r2,0.4798
2,2028,size,2,r2,0.4412
2,2028,size,3,r2,0.6064
2,2028,size,4,r2,0.7001
2,2028,size,mean,r2,0.6044
3,2028,size,0,r2,0.8091
3,2028,size,1,r2,0.5127
3,2028,size,2,r2,0.4501
3,2028,size,3,r2,0.6088
3,2028,size,4,r2,0.7064
3,2028,size,mean,r2,0.6174
4,2028,size,0,r2,0.8297
4,2028,size,1,r2,0.5074
4,2028,size,2,r2,0.4502
4,2028,size,3,r2,0.6355
4,2028,size,4,r2,0.7156
4,2028,size,mean,r2,0.6277
5,2028,size,0,r2,0.8317
5,2028,size,1,r2,0.5395
5,2028,size,2,r2,0.4773
5,2028,size,3,r2,0.6295
5,2028,size,4,r2,0.7103
