epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.927
1,2026,disease,Arterial wall calcification,auroc,0.9307
1,2026,disease,Cardiomegaly,auroc,0.9171
1,2026,disease,Pericardial effusion,auroc,0.8542
1,2026,disease,Coronary artery wall calcification,auroc,0.9346
1,2026,disease,Hiatal hernia,auroc,0.7064
1,2026,disease,Lymphadenopathy,auroc,0.744
1,2026,disease,Emphysema,auroc,0.8055
1,2026,disease,Atelectasis,auroc,0.8058
1,2026,disease,Lung nodule,auroc,0.7441
1,2026,disease,Lung opacity,auroc,0.867
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7415
1,2026,disease,Pleural effusion,auroc,0.9663
1,2026,disease,Mosaic attenuation pattern,auroc,0.8696
1,2026,disease,Peribronchial thickening,auroc,0.8037
1,2026,disease,Consolidation,auroc,0.917
1,2026,disease,Bronchiectasis,auroc,0.7802
1,2026,disease,Interlobular septal thickening,auroc,0.8773
1,2026,disease,macro,auroc,0.844
1,2026,disease,micro,auroc,0.8531
2,2026,disease,Medical material,auroc,0.9248
2,2026,disease,Arterial wall calcification,auroc,0.9304
2,2026,disease,Cardiomegaly,auroc,0.9218
2,2026,disease,Pericardial effusion,auroc,0.8502
2,2026,disease,Coronary artery wall calcification,auroc,0.9378
2,2026,disease,Hiatal hernia,auroc,0.7103
2,2026,disease,Lymphadenopathy,auroc,0.7574
2,2026,disease,Emphysema,auroc,0.8062
2,2026,disease,Atelectasis,auroc,0.8115
2,2026,disease,Lung nodule,auroc,0.739
2,2026,disease,Lung opacity,auroc,0.8688
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7348
2,2026,disease,Pleural effusion,auroc,0.9674
2,2026,disease,Mosaic attenuation pattern,auroc,0.8721
2,2026,disease,Peribronchial thickening,auroc,0.8026
2,2026,disease,Consolidation,auroc,0.9239
2,2026,disease,Bronchiectasis,auroc,0.7896
2,2026,disease,Interlobular septal thickening,auroc,0.8731
2,2026,disease,macro,auroc,0.8456
2,2026,disease,micro,auroc,0.8564
3,2026,disease,Medical material,auroc,0.9271
3,2026,disease,Arterial wall calcification,auroc,0.9281
3,2026,disease,Cardiomegaly,auroc,0.9208
3,2026,disease,Pericardial effusion,auroc,0.8573
3,2026,disease,Coronary artery wall calcification,auroc,0.9352
3,2026,disease,Hiatal hernia,auroc,0.7125
3,2026,disease,Lymphadenopathy,auroc,0.7555
3,2026,disease,Emphysema,auroc,0.8049
