epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.7838
1,2026,size,1,r2,0.4484
1,2026,size,2,r2,0.4087
1,2026,size,3,r2,0.5858
1,2026,size,4,r2,0.6415
1,2026,size,mean,r2,0.5736
2,2026,size,0,r2,0.7946
2,2026,size,1,r2,0.4807
2,2026,size,2,r2,0.4329
2,2026,size,3,r2,0.5852
2,2026,size,4,r2,0.6508
2,2026,size,mean,r2,0.5889
3,2026,size,0,r2,0.8104
3,2026,size,1,r2,0.4942
3,2026,size,2,r2,0.4461
3,2026,size,3,r2,0.6025
3,2026,size,4,r2,0.6745
3,2026,size,mean,r2,0.6055
4,2026,size,0,r2,0.8127
4,2026,size,1,r2,0.5057
4,2026,size,2,r2,0.4492
4,2026,size,3,r2,0.6149
4,2026,size,4,r2,0.675
4,2026,size,mean,r2,0.6115
5,2026,size,0,r2,0.802
5,2026,size,1,r2,0.503
5,2026,size,2,r2,0.4434
5,2026,size,3,r2,0.6047
5,2026,size,4,r2,0.6795
5,2026,size,mean,r2,0.6065
6,2026,size,0,r2,0.8066
6,2026,size,1,r2,0.5249
6,2026,size,2,r2,0.4491
6,2026,size,3,r2,0.6142
6,2026,size,4,r2,0.6758
6,2026,size,mean,r2,0.6141
7,2026,size,0,r2,0.8158
7,2026,size,1,r2,0.5276
7,2026,size,2,r2,0.45
7,2026,size,3,r2,0.6261
7,2026,size,4,r2,0.6839
7,2026,size,mean,r2,0.6207
8,2026,size,0,r2,0.8149
8,2026,size,1,r2,0.4955
8,2026,size,2,r2,0.4582
8,2026,size,3,r2,0.6225
8,2026,size,4,r2,0.6838
8,2026,size,mean,r2,0.615
9,2026,size,0,r2,0.8177
9,2026,size,1,r2,0.5176
9,2026,size,2,r2,0.4672
9,2026,size,3,r2,0.6117
9,2026,size,4,r2,0.6784
9,2026,size,mean,r2,0.6185
10,2026,size,0,r2,0.8123
10,2026,size,1,r2,0.5264
10,2026,size,2,r2,0.4391
10,2026,size,3,r2,0.6191
10,2026,size,4,r2,0.6937
10,2026,size,mean,r2,0.6181
1,2027,size,0,r2,0.7705
1,2027,size,1,r2,0.4511
1,2027,size,2,r2,0.4229
1,2027,size,3,r2,0.5771
1,2027,size,4,r2,0.6337
1,2027,size,mean,r2,0.571
2,2027,size,0,r2,0.7929
2,2027,size,1,r2,0.4456
2,2027,size,2,r2,0.4168
2,2027,size,3,r2,0.604
2,2027,size,4,r2,0.6573
2,2027,size,mean,r2,0.5833
3,2027,size,0,r2,0.7954
3,2027,size,1,r2,0.4887
3,2027,size,2,r2,0.4444
3,2027,size,3,r2,0.6058
3,2027,size,4,r2,0.6549
3,2027,size,mean,r2,0.5978
4,2027,size,0,r2,0.786
4,2027,size,1,r2,0.489
4,2027,size,2,r2,0.4576
4,2027,size,3,r2,0.6186
4,2027,size,4,r2,0.6678
4,2027,size,mean,r2,0.6038
5,2027,size,0,r2,0.7862
5,2027,size,1,r2,0.4978
5,2027,size,2,r2,0.4452
5,2027,size,3,r2,0.6154
5,2027,size,4,r2,0.6781
5,2027,size,mean,r2,0.6046
6,2027,size,0,r2,0.8064
6,2027,size,1,r2,0.4895
6,2027,size,2,r2,0.4352
6,2027,size,3,r2,0.6119
6,2027,size,4,r2,0.6828
6,2027,size,mean,r2,0.6052
7,2027,size,0,r2,0.8166
7,2027,size,1,r2,0.5091
7,2027,size,2,r2,0.4558
7,2027,size,3,r2,0.6141
7,2027,size,4,r2,0.6816
7,2027,size,mean,r2,0.6154
8,2027,size,0,r2,0.8054
8,2027,size,1,r2,0.5099
8,2027,size,2,r2,0.4464
8,2027,size,3,r2,0.61
8,2027,size,4,r2,0.6687
8,2027,size,mean,r2,0.6081
9,2027,size,0,r2,0.8194
9,2027,size,1,r2,0.5113
9,2027,size,2,r2,0.4494
9,2027,size,3,r2,0.6076
9,2027,size,4,r2,0.6857
9,2027,size,mean,r2,0.6147
10,2027,size,0,r2,0.8063
10,2027,size,1,r2,0.4796
10,2027,size,2,r2,0.4549
10,2027,size,3,r2,0.5807
10,2027,size,4,r2,0.6825
10,2027,size,mean,r2,0.6008
1,2028,size,0,r2,0.7779
1,2028,size,1,r2,0.4136
1,2028,size,2,r2,0.4142
1,2028,size,3,r2,0.5955
1,2028,size,4,r2,0.6102
1,2028,size,mean,r2,0.5623
2,2028,size,0,r2,0.763
2,2028,size,1,r2,0.465
2,2028,size,2,r2,0.4288
2,2028,size,3,r2,0.5956
2,2028,size,4,r2,0.6514
2,2028,size,mean,r2,0.5808
3,2028,size,0,r2,0.7925
3,2028,size,1,r2,0.5046
3,2028,size,2,r2,0.4318
3,2028,size,3,r2,0.6038
3,2028,size,4,r2,0.6637
3,2028,size,mean,r2,0.5993
4,2028,size,0,r2,0.7978
4,2028,size,1,r2,0.4674
4,2028,size,2,r2,0.4276
4,2028,size,3,r2,0.6114
4,2028,size,4,r2,0.67
4,2028,size,mean,r2,0.5948
5,2028,size,0,r2,0.8114
5,2028,size,1,r2,0.5151
5,2028,size,2,r2,0.4488
5,2028,size,3,r2,0.6151
5,2028,size,4,r2,0.6701
5,2028,size,mean,r2,0.6121
6,2028,size,0,r2,0.7925
6,2028,size,1,r2,0.4815
6,2028,size,2,r2,0.4407
6,2028,size,3,r2,0.6179
6,2028,size,4,r2,0.6612
6,2028,size,mean,r2,0.5987
7,2028,size,0,r2,0.7962
7,2028,size,1,r2,0.4991
7,2028,size,2,r2,0.4398
7,2028,size,3,r2,0.5988
7,2028,size,4,r2,0.6774
7,2028,size,mean,r2,0.6022
8,2028,size,0,r2,0.8099
8,2028,size,1,r2,0.5281
8,2028,size,2,r2,0.468
8,2028,size,3,r2,0.6189
8,2028,size,4,r2,0.6696
8,2028,size,mean,r2,0.6189
9,2028,size,0,r2,0.8071
9,2028,size,1,r2,0.5253
9,2028,size,2,r2,0.4635
9,2028,size,3,r2,0.6254
9,2028,size,4,r2,0.6701
9,2028,size,mean,r2,0.6183
10,2028,size,0,r2,0.8141
10,2028,size,1,r2,0.521
10,2028,size,2,r2,0.4732
10,2028,size,3,r2,0.6241
10,2028,size,4,r2,0.6833
10,2028,size,mean,r2,0.6231
