epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.3021
1,2026,density_merlin,1,r2,0.6138
1,2026,density_merlin,2,r2,0.0512
1,2026,density_merlin,mean,r2,0.3224
2,2026,density_merlin,0,r2,0.5363
2,2026,density_merlin,1,r2,0.4811
2,2026,density_merlin,2,r2,0.0316
2,2026,density_merlin,mean,r2,0.3497
3,2026,density_merlin,0,r2,0.6205
3,2026,density_merlin,1,r2,0.7215
3,2026,density_merlin,2,r2,0.0886
3,2026,density_merlin,mean,r2,0.4769
4,2026,density_merlin,0,r2,0.6814
4,2026,density_merlin,1,r2,0.7087
4,2026,density_merlin,2,r2,0.1378
4,2026,density_merlin,mean,r2,0.5093
5,2026,density_merlin,0,r2,0.7341
5,2026,density_merlin,1,r2,0.6641
5,2026,density_merlin,2,r2,0.1943
5,2026,density_merlin,mean,r2,0.5308
6,2026,density_merlin,0,r2,0.718
6,2026,density_merlin,1,r2,0.7606
6,2026,density_merlin,2,r2,0.1941
6,2026,density_merlin,mean,r2,0.5576
7,2026,density_merlin,0,r2,0.769
7,2026,density_merlin,1,r2,0.7691
7,2026,density_merlin,2,r2,0.2476
7,2026,density_merlin,mean,r2,0.5952
8,2026,density_merlin,0,r2,0.7623
8,2026,density_merlin,1,r2,0.7726
8,2026,density_merlin,2,r2,0.3104
8,2026,density_merlin,mean,r2,0.6151
9,2026,density_merlin,0,r2,0.7657
9,2026,density_merlin,1,r2,0.7632
9,2026,density_merlin,2,r2,0.346
9,2026,density_merlin,mean,r2,0.6249
10,2026,density_merlin,0,r2,0.7798
10,2026,density_merlin,1,r2,0.7603
10,2026,density_merlin,2,r2,0.388
10,2026,density_merlin,mean,r2,0.6427
1,2027,density_merlin,0,r2,0.369
1,2027,density_merlin,1,r2,0.5371
1,2027,density_merlin,2,r2,0.0685
1,2027,density_merlin,mean,r2,0.3249
2,2027,density_merlin,0,r2,0.5052
2,2027,density_merlin,1,r2,0.5826
2,2027,density_merlin,2,r2,0.1
2,2027,density_merlin,mean,r2,0.3959
3,2027,density_merlin,0,r2,0.5946
3,2027,density_merlin,1,r2,0.6661
3,2027,density_merlin,2,r2,0.1398
3,2027,density_merlin,mean,r2,0.4668
4,2027,density_merlin,0,r2,0.7328
4,2027,density_merlin,1,r2,0.7289
4,2027,density_merlin,2,r2,0.1952
4,2027,density_merlin,mean,r2,0.5523
5,2027,density_merlin,0,r2,0.7549
5,2027,density_merlin,1,r2,0.714
5,2027,density_merlin,2,r2,0.3531
5,2027,density_merlin,mean,r2,0.6073
6,2027,density_merlin,0,r2,0.7013
6,2027,density_merlin,1,r2,0.7584
6,2027,density_merlin,2,r2,0.3553
6,2027,density_merlin,mean,r2,0.605
7,2027,density_merlin,0,r2,0.7178
7,2027,density_merlin,1,r2,0.7276
7,2027,density_merlin,2,r2,0.4041
7,2027,density_merlin,mean,r2,0.6165
8,2027,density_merlin,0,r2,0.787
8,2027,density_merlin,1,r2,0.7338
8,2027,density_merlin,2,r2,0.3971
8,2027,density_merlin,mean,r2,0.6393
9,2027,density_merlin,0,r2,0.767
9,2027,density_merlin,1,r2,0.6567
9,2027,density_merlin,2,r2,0.4131
9,2027,density_merlin,mean,r2,0.6123
10,2027,density_merlin,0,r2,0.7838
10,2027,density_merlin,1,r2,0.7788
10,2027,density_merlin,2,r2,0.3142
10,2027,density_merlin,mean,r2,0.6256
1,2028,density_merlin,0,r2,0.4056
1,2028,density_merlin,1,r2,0.6016
1,2028,density_merlin,2,r2,0.0895
1,2028,density_merlin,mean,r2,0.3656
2,2028,density_merlin,0,r2,0.6071
2,2028,density_merlin,1,r2,0.6434
2,2028,density_merlin,2,r2,0.1431
2,2028,density_merlin,mean,r2,0.4646
3,2028,density_merlin,0,r2,0.69
3,2028,density_merlin,1,r2,0.6392
3,2028,density_merlin,2,r2,0.2324
3,2028,density_merlin,mean,r2,0.5205
4,2028,density_merlin,0,r2,0.7443
4,2028,density_merlin,1,r2,0.7252
4,2028,density_merlin,2,r2,0.2427
4,2028,density_merlin,mean,r2,0.5708
5,2028,density_merlin,0,r2,0.7476
5,2028,density_merlin,1,r2,0.5876
5,2028,density_merlin,2,r2,0.3303
5,2028,density_merlin,mean,r2,0.5552
6,2028,density_merlin,0,r2,0.7063
6,2028,density_merlin,1,r2,0.7293
6,2028,density_merlin,2,r2,0.3533
6,2028,density_merlin,mean,r2,0.5963
7,2028,density_merlin,0,r2,0.7646
7,2028,density_merlin,1,r2,0.7581
7,2028,density_merlin,2,r2,0.3886
7,2028,density_merlin,mean,r2,0.6371
8,2028,density_merlin,0,r2,0.7645
8,2028,density_merlin,1,r2,0.7588
8,2028,density_merlin,2,r2,0.377
8,2028,density_merlin,mean,r2,0.6334
9,2028,density_merlin,0,r2,0.7853
9,2028,density_merlin,1,r2,0.7546
9,2028,density_merlin,2,r2,0.3833
9,2028,density_merlin,mean,r2,0.6411
10,2028,density_merlin,0,r2,0.7069
10,2028,density_merlin,1,r2,0.6985
10,2028,density_merlin,2,r2,0.4163
10,2028,density_merlin,mean,r2,0.6072
