epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.102
1,2026,location_merlin,1,r2,0.0758
1,2026,location_merlin,2,r2,0.1212
1,2026,location_merlin,mean,r2,0.0997
2,2026,location_merlin,0,r2,0.3373
2,2026,location_merlin,1,r2,0.1138
2,2026,location_merlin,2,r2,0.1616
2,2026,location_merlin,mean,r2,0.2042
3,2026,location_merlin,0,r2,0.4731
3,2026,location_merlin,1,r2,0.1369
3,2026,location_merlin,2,r2,0.152
3,2026,location_merlin,mean,r2,0.254
4,2026,location_merlin,0,r2,0.5353
4,2026,location_merlin,1,r2,0.1835
4,2026,location_merlin,2,r2,0.1407
4,2026,location_merlin,mean,r2,0.2865
5,2026,location_merlin,0,r2,0.5894
5,2026,location_merlin,1,r2,0.3787
5,2026,location_merlin,2,r2,0.186
5,2026,location_merlin,mean,r2,0.3847
6,2026,location_merlin,0,r2,0.5595
6,2026,location_merlin,1,r2,0.464
6,2026,location_merlin,2,r2,0.1851
6,2026,location_merlin,mean,r2,0.4028
7,2026,location_merlin,0,r2,0.5999
7,2026,location_merlin,1,r2,0.5251
7,2026,location_merlin,2,r2,0.1513
7,2026,location_merlin,mean,r2,0.4254
8,2026,location_merlin,0,r2,0.6385
8,2026,location_merlin,1,r2,0.5521
8,2026,location_merlin,2,r2,0.2025
8,2026,location_merlin,mean,r2,0.4643
9,2026,location_merlin,0,r2,0.5888
9,2026,location_merlin,1,r2,0.5617
9,2026,location_merlin,2,r2,0.2035
9,2026,location_merlin,mean,r2,0.4513
10,2026,location_merlin,0,r2,0.66
10,2026,location_merlin,1,r2,0.6034
10,2026,location_merlin,2,r2,0.2296
10,2026,location_merlin,mean,r2,0.4977
1,2027,location_merlin,0,r2,0.1233
1,2027,location_merlin,1,r2,0.079
1,2027,location_merlin,2,r2,0.1093
1,2027,location_merlin,mean,r2,0.1039
2,2027,location_merlin,0,r2,0.2759
2,2027,location_merlin,1,r2,0.0923
2,2027,location_merlin,2,r2,0.0917
2,2027,location_merlin,mean,r2,0.1533
3,2027,location_merlin,0,r2,0.3062
3,2027,location_merlin,1,r2,0.1113
3,2027,location_merlin,2,r2,0.1435
3,2027,location_merlin,mean,r2,0.187
4,2027,location_merlin,0,r2,0.4288
4,2027,location_merlin,1,r2,0.1324
4,2027,location_merlin,2,r2,0.1735
4,2027,location_merlin,mean,r2,0.2449
5,2027,location_merlin,0,r2,0.5414
5,2027,location_merlin,1,r2,0.1941
5,2027,location_merlin,2,r2,0.1857
5,2027,location_merlin,mean,r2,0.3071
6,2027,location_merlin,0,r2,0.5563
6,2027,location_merlin,1,r2,0.2293
6,2027,location_merlin,2,r2,0.2032
6,2027,location_merlin,mean,r2,0.3296
7,2027,location_merlin,0,r2,0.5404
7,2027,location_merlin,1,r2,0.2613
7,2027,location_merlin,2,r2,0.2039
7,2027,location_merlin,mean,r2,0.3352
8,2027,location_merlin,0,r2,0.5983
8,2027,location_merlin,1,r2,0.2636
8,2027,location_merlin,2,r2,0.2099
8,2027,location_merlin,mean,r2,0.3573
9,2027,location_merlin,0,r2,0.5878
9,2027,location_merlin,1,r2,0.301
9,2027,location_merlin,2,r2,0.2009
9,2027,location_merlin,mean,r2,0.3632
10,2027,location_merlin,0,r2,0.5746
10,2027,location_merlin,1,r2,0.3146
10,2027,location_merlin,2,r2,0.2197
10,2027,location_merlin,mean,r2,0.3696
1,2028,location_merlin,0,r2,0.2475
1,2028,location_merlin,1,r2,0.0455
1,2028,location_merlin,2,r2,0.0487
1,2028,location_merlin,mean,r2,0.1139
2,2028,location_merlin,0,r2,0.4615
2,2028,location_merlin,1,r2,0.1322
2,2028,location_merlin,2,r2,0.0917
2,2028,location_merlin,mean,r2,0.2284
3,2028,location_merlin,0,r2,0.5499
3,2028,location_merlin,1,r2,0.2566
3,2028,location_merlin,2,r2,0.1189
3,2028,location_merlin,mean,r2,0.3084
4,2028,location_merlin,0,r2,0.5405
4,2028,location_merlin,1,r2,0.3968
4,2028,location_merlin,2,r2,0.1093
4,2028,location_merlin,mean,r2,0.3489
5,2028,location_merlin,0,r2,0.6446
5,2028,location_merlin,1,r2,0.4871
5,2028,location_merlin,2,r2,0.1505
5,2028,location_merlin,mean,r2,0.4274
6,2028,location_merlin,0,r2,0.6489
6,2028,location_merlin,1,r2,0.5022
6,2028,location_merlin,2,r2,0.0961
6,2028,location_merlin,mean,r2,0.4157
7,2028,location_merlin,0,r2,0.6744
7,2028,location_merlin,1,r2,0.5626
7,2028,location_merlin,2,r2,0.1851
7,2028,location_merlin,mean,r2,0.474
8,2028,location_merlin,0,r2,0.6743
8,2028,location_merlin,1,r2,0.5921
8,2028,location_merlin,2,r2,0.1556
8,2028,location_merlin,mean,r2,0.474
9,2028,location_merlin,0,r2,0.6695
9,2028,location_merlin,1,r2,0.6191
9,2028,location_merlin,2,r2,0.1777
9,2028,location_merlin,mean,r2,0.4888
10,2028,location_merlin,0,r2,0.6347
10,2028,location_merlin,1,r2,0.5364
10,2028,location_merlin,2,r2,0.1534
10,2028,location_merlin,mean,r2,0.4415
