epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.0488
1,2026,size_merlin,1,r2,0.0226
1,2026,size_merlin,2,r2,0.073
1,2026,size_merlin,3,r2,0.037
1,2026,size_merlin,4,r2,0.12
1,2026,size_merlin,5,r2,0.0331
1,2026,size_merlin,mean,r2,0.0558
2,2026,size_merlin,0,r2,0.1345
2,2026,size_merlin,1,r2,0.0698
2,2026,size_merlin,2,r2,0.2151
2,2026,size_merlin,3,r2,0.1048
2,2026,size_merlin,4,r2,0.2242
2,2026,size_merlin,5,r2,0.045
2,2026,size_merlin,mean,r2,0.1323
3,2026,size_merlin,0,r2,0.2032
3,2026,size_merlin,1,r2,0.1232
3,2026,size_merlin,2,r2,0.3175
3,2026,size_merlin,3,r2,0.1928
3,2026,size_merlin,4,r2,0.241
3,2026,size_merlin,5,r2,0.0559
3,2026,size_merlin,mean,r2,0.1889
4,2026,size_merlin,0,r2,0.223
4,2026,size_merlin,1,r2,0.123
4,2026,size_merlin,2,r2,0.2641
4,2026,size_merlin,3,r2,0.1002
4,2026,size_merlin,4,r2,0.2883
4,2026,size_merlin,5,r2,0.0789
4,2026,size_merlin,mean,r2,0.1796
5,2026,size_merlin,0,r2,0.2433
5,2026,size_merlin,1,r2,0.1661
5,2026,size_merlin,2,r2,0.2892
5,2026,size_merlin,3,r2,0.2281
5,2026,size_merlin,4,r2,0.2984
5,2026,size_merlin,5,r2,0.0848
5,2026,size_merlin,mean,r2,0.2183
6,2026,size_merlin,0,r2,0.2892
6,2026,size_merlin,1,r2,0.209
6,2026,size_merlin,2,r2,0.3181
6,2026,size_merlin,3,r2,0.2576
6,2026,size_merlin,4,r2,0.2708
6,2026,size_merlin,5,r2,0.0773
6,2026,size_merlin,mean,r2,0.237
7,2026,size_merlin,0,r2,0.3383
7,2026,size_merlin,1,r2,0.2284
7,2026,size_merlin,2,r2,0.344
7,2026,size_merlin,3,r2,0.183
7,2026,size_merlin,4,r2,0.1504
7,2026,size_merlin,5,r2,0.0317
7,2026,size_merlin,mean,r2,0.2126
8,2026,size_merlin,0,r2,0.3533
8,2026,size_merlin,1,r2,0.2531
8,2026,size_merlin,2,r2,0.3273
8,2026,size_merlin,3,r2,0.2523
8,2026,size_merlin,4,r2,0.2791
8,2026,size_merlin,5,r2,0.0803
8,2026,size_merlin,mean,r2,0.2576
9,2026,size_merlin,0,r2,0.3826
9,2026,size_merlin,1,r2,0.2849
9,2026,size_merlin,2,r2,0.3363
9,2026,size_merlin,3,r2,0.2688
9,2026,size_merlin,4,r2,0.2575
9,2026,size_merlin,5,r2,0.0722
9,2026,size_merlin,mean,r2,0.2671
10,2026,size_merlin,0,r2,0.3675
10,2026,size_merlin,1,r2,0.276
10,2026,size_merlin,2,r2,0.3055
10,2026,size_merlin,3,r2,0.2732
10,2026,size_merlin,4,r2,0.3009
10,2026,size_merlin,5,r2,0.0959
10,2026,size_merlin,mean,r2,0.2698
1,2027,size_merlin,0,r2,-0.0015
1,2027,size_merlin,1,r2,0.0101
1,2027,size_merlin,2,r2,0.0366
1,2027,size_merlin,3,r2,0.1481
1,2027,size_merlin,4,r2,0.1896
1,2027,size_merlin,5,r2,0.0502
1,2027,size_merlin,mean,r2,0.0722
2,2027,size_merlin,0,r2,0.0567
2,2027,size_merlin,1,r2,0.0538
2,2027,size_merlin,2,r2,0.2071
2,2027,size_merlin,3,r2,0.2447
2,2027,size_merlin,4,r2,0.2556
2,2027,size_merlin,5,r2,0.0731
2,2027,size_merlin,mean,r2,0.1485
3,2027,size_merlin,0,r2,0.1235
3,2027,size_merlin,1,r2,0.0989
3,2027,size_merlin,2,r2,0.2889
3,2027,size_merlin,3,r2,0.2859
3,2027,size_merlin,4,r2,0.281
3,2027,size_merlin,5,r2,0.0821
3,2027,size_merlin,mean,r2,0.1934
4,2027,size_merlin,0,r2,0.1916
4,2027,size_merlin,1,r2,0.143
4,2027,size_merlin,2,r2,0.3324
4,2027,size_merlin,3,r2,0.2822
4,2027,size_merlin,4,r2,0.2641
4,2027,size_merlin,5,r2,0.0717
4,2027,size_merlin,mean,r2,0.2142
5,2027,size_merlin,0,r2,0.2303
5,2027,size_merlin,1,r2,0.1782
5,2027,size_merlin,2,r2,0.3494
5,2027,size_merlin,3,r2,0.3315
5,2027,size_merlin,4,r2,0.3439
5,2027,size_merlin,5,r2,0.0957
5,2027,size_merlin,mean,r2,0.2548
6,2027,size_merlin,0,r2,0.2488
6,2027,size_merlin,1,r2,0.1973
6,2027,size_merlin,2,r2,0.3408
6,2027,size_merlin,3,r2,0.3325
6,2027,size_merlin,4,r2,0.3307
6,2027,size_merlin,5,r2,0.0967
6,2027,size_merlin,mean,r2,0.2578
7,2027,size_merlin,0,r2,0.2575
7,2027,size_merlin,1,r2,0.185
7,2027,size_merlin,2,r2,0.3338
7,2027,size_merlin,3,r2,0.2565
7,2027,size_merlin,4,r2,0.3615
7,2027,size_merlin,5,r2,0.1069
7,2027,size_merlin,mean,r2,0.2502
8,2027,size_merlin,0,r2,0.2947
8,2027,size_merlin,1,r2,0.2342
8,2027,size_merlin,2,r2,0.3434
8,2027,size_merlin,3,r2,0.3186
8,2027,size_merlin,4,r2,0.3222
8,2027,size_merlin,5,r2,0.0982
8,2027,size_merlin,mean,r2,0.2685
9,2027,size_merlin,0,r2,0.323
9,2027,size_merlin,1,r2,0.2512
9,2027,size_merlin,2,r2,0.3799
9,2027,size_merlin,3,r2,0.3401
9,2027,size_merlin,4,r2,0.3642
9,2027,size_merlin,5,r2,0.105
9,2027,size_merlin,mean,r2,0.2939
10,2027,size_merlin,0,r2,0.3405
10,2027,size_merlin,1,r2,0.2673
10,2027,size_merlin,2,r2,0.3522
10,2027,size_merlin,3,r2,0.3238
10,2027,size_merlin,4,r2,0.3037
10,2027,size_merlin,5,r2,0.0895
10,2027,size_merlin,mean,r2,0.2795
1,2028,size_merlin,0,r2,0.0277
1,2028,size_merlin,1,r2,0.0035
1,2028,size_merlin,2,r2,0.0455
1,2028,size_merlin,3,r2,0.0135
1,2028,size_merlin,4,r2,0.0351
1,2028,size_merlin,5,r2,0.0201
1,2028,size_merlin,mean,r2,0.0242
2,2028,size_merlin,0,r2,0.082
2,2028,size_merlin,1,r2,0.0348
2,2028,size_merlin,2,r2,0.159
2,2028,size_merlin,3,r2,0.0352
2,2028,size_merlin,4,r2,0.0804
2,2028,size_merlin,5,r2,0.0155
2,2028,size_merlin,mean,r2,0.0678
3,2028,size_merlin,0,r2,0.0918
3,2028,size_merlin,1,r2,0.0454
3,2028,size_merlin,2,r2,0.1852
3,2028,size_merlin,3,r2,0.0343
3,2028,size_merlin,4,r2,0.0866
3,2028,size_merlin,5,r2,0.0127
3,2028,size_merlin,mean,r2,0.076
4,2028,size_merlin,0,r2,0.1184
4,2028,size_merlin,1,r2,0.0629
4,2028,size_merlin,2,r2,0.2382
4,2028,size_merlin,3,r2,0.0564
4,2028,size_merlin,4,r2,0.0836
4,2028,size_merlin,5,r2,0.0097
4,2028,size_merlin,mean,r2,0.0949
5,2028,size_merlin,0,r2,0.1443
