epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6257
1,2026,density_merlin,1,r2,0.7806
1,2026,density_merlin,2,r2,0.201
1,2026,density_merlin,mean,r2,0.5358
2,2026,density_merlin,0,r2,0.6739
2,2026,density_merlin,1,r2,0.8073
2,2026,density_merlin,2,r2,0.2887
2,2026,density_merlin,mean,r2,0.59
3,2026,density_merlin,0,r2,0.6729
3,2026,density_merlin,1,r2,0.8336
3,2026,density_merlin,2,r2,0.3234
3,2026,density_merlin,mean,r2,0.61
4,2026,density_merlin,0,r2,0.6983
4,2026,density_merlin,1,r2,0.8566
4,2026,density_merlin,2,r2,0.3144
4,2026,density_merlin,mean,r2,0.6231
5,2026,density_merlin,0,r2,0.6867
5,2026,density_merlin,1,r2,0.8537
5,2026,density_merlin,2,r2,0.3242
5,2026,density_merlin,mean,r2,0.6215
6,2026,density_merlin,0,r2,0.7051
6,2026,density_merlin,1,r2,0.8661
6,2026,density_merlin,2,r2,0.3108
6,2026,density_merlin,mean,r2,0.6273
7,2026,density_merlin,0,r2,0.6969
7,2026,density_merlin,1,r2,0.8736
7,2026,density_merlin,2,r2,0.363
7,2026,density_merlin,mean,r2,0.6445
8,2026,density_merlin,0,r2,0.7017
8,2026,density_merlin,1,r2,0.8714
8,2026,density_merlin,2,r2,0.3474
8,2026,density_merlin,mean,r2,0.6402
9,2026,density_merlin,0,r2,0.6884
9,2026,density_merlin,1,r2,0.8797
9,2026,density_merlin,2,r2,0.372
9,2026,density_merlin,mean,r2,0.6467
10,2026,density_merlin,0,r2,0.7029
10,2026,density_merlin,1,r2,0.8843
10,2026,density_merlin,2,r2,0.3863
10,2026,density_merlin,mean,r2,0.6578
1,2027,density_merlin,0,r2,0.6251
1,2027,density_merlin,1,r2,0.7666
1,2027,density_merlin,2,r2,0.1384
1,2027,density_merlin,mean,r2,0.51
2,2027,density_merlin,0,r2,0.6168
2,2027,density_merlin,1,r2,0.8224
2,2027,density_merlin,2,r2,0.2715
2,2027,density_merlin,mean,r2,0.5702
3,2027,density_merlin,0,r2,0.6727
3,2027,density_merlin,1,r2,0.8439
3,2027,density_merlin,2,r2,0.3172
3,2027,density_merlin,mean,r2,0.6113
4,2027,density_merlin,0,r2,0.6859
4,2027,density_merlin,1,r2,0.8554
4,2027,density_merlin,2,r2,0.3311
4,2027,density_merlin,mean,r2,0.6241
5,2027,density_merlin,0,r2,0.6968
5,2027,density_merlin,1,r2,0.8648
5,2027,density_merlin,2,r2,0.3457
5,2027,density_merlin,mean,r2,0.6357
6,2027,density_merlin,0,r2,0.6781
6,2027,density_merlin,1,r2,0.8679
6,2027,density_merlin,2,r2,0.3478
6,2027,density_merlin,mean,r2,0.6313
7,2027,density_merlin,0,r2,0.6507
7,2027,density_merlin,1,r2,0.8721
7,2027,density_merlin,2,r2,0.3506
7,2027,density_merlin,mean,r2,0.6244
8,2027,density_merlin,0,r2,0.6865
8,2027,density_merlin,1,r2,0.8656
8,2027,density_merlin,2,r2,0.3233
8,2027,density_merlin,mean,r2,0.6251
9,2027,density_merlin,0,r2,0.7108
9,2027,density_merlin,1,r2,0.8588
9,2027,density_merlin,2,r2,0.3457
9,2027,density_merlin,mean,r2,0.6385
10,2027,density_merlin,0,r2,0.712
10,2027,density_merlin,1,r2,0.871
10,2027,density_merlin,2,r2,0.2958
10,2027,density_merlin,mean,r2,0.6263
1,2028,density_merlin,0,r2,0.5963
1,2028,density_merlin,1,r2,0.7446
1,2028,density_merlin,2,r2,0.231
1,2028,density_merlin,mean,r2,0.524
2,2028,density_merlin,0,r2,0.6429
2,2028,density_merlin,1,r2,0.7881
2,2028,density_merlin,2,r2,0.3022
2,2028,density_merlin,mean,r2,0.5777
3,2028,density_merlin,0,r2,0.6748
3,2028,density_merlin,1,r2,0.8309
3,2028,density_merlin,2,r2,0.3274
3,2028,density_merlin,mean,r2,0.611
4,2028,density_merlin,0,r2,0.6828
4,2028,density_merlin,1,r2,0.8134
4,2028,density_merlin,2,r2,0.3674
4,2028,density_merlin,mean,r2,0.6212
5,2028,density_merlin,0,r2,0.6833
5,2028,density_merlin,1,r2,0.8505
5,2028,density_merlin,2,r2,0.3581
5,2028,density_merlin,mean,r2,0.6306
6,2028,density_merlin,0,r2,0.6929
6,2028,density_merlin,1,r2,0.8527
6,2028,density_merlin,2,r2,0.3838
6,2028,density_merlin,mean,r2,0.6431
7,2028,density_merlin,0,r2,0.694
7,2028,density_merlin,1,r2,0.8621
7,2028,density_merlin,2,r2,0.4069
7,2028,density_merlin,mean,r2,0.6543
8,2028,density_merlin,0,r2,0.6917
8,2028,density_merlin,1,r2,0.8689
8,2028,density_merlin,2,r2,0.4136
8,2028,density_merlin,mean,r2,0.6581
9,2028,density_merlin,0,r2,0.6955
9,2028,density_merlin,1,r2,0.8658
9,2028,density_merlin,2,r2,0.404
9,2028,density_merlin,mean,r2,0.6551
10,2028,density_merlin,0,r2,0.6903
10,2028,density_merlin,1,r2,0.8672
10,2028,density_merlin,2,r2,0.4302
10,2028,density_merlin,mean,r2,0.6626
