epoch,seed,family,target,metric,score
1,2026,disease_merlin,submucosal_edema,auroc,0.7369
1,2026,disease_merlin,renal_hypodensities,auroc,0.7198
1,2026,disease_merlin,aortic_valve_calcification,auroc,0.8594
1,2026,disease_merlin,coronary_calcification,auroc,0.7748
1,2026,disease_merlin,thrombosis,auroc,0.5598
1,2026,disease_merlin,metastatic_disease,auroc,0.7497
1,2026,disease_merlin,pancreatic_atrophy,auroc,0.7937
1,2026,disease_merlin,renal_cyst,auroc,0.6945
1,2026,disease_merlin,osteopenia,auroc,0.9105
1,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.6836
1,2026,disease_merlin,atelectasis,auroc,0.7763
1,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.881
1,2026,disease_merlin,anasarca,auroc,0.9538
1,2026,disease_merlin,hiatal_hernia,auroc,0.7625
1,2026,disease_merlin,lymphadenopathy,auroc,0.5681
1,2026,disease_merlin,prostatomegaly,auroc,0.7365
1,2026,disease_merlin,biliary_ductal_dilation,auroc,0.6973
1,2026,disease_merlin,cardiomegaly,auroc,0.7883
1,2026,disease_merlin,splenomegaly,auroc,0.7107
1,2026,disease_merlin,hepatomegaly,auroc,0.7115
1,2026,disease_merlin,atherosclerosis,auroc,0.7241
1,2026,disease_merlin,ascites,auroc,0.8958
1,2026,disease_merlin,pleural_effusion,auroc,0.8416
1,2026,disease_merlin,hepatic_steatosis,auroc,0.705
1,2026,disease_merlin,appendicitis,auroc,0.5443
1,2026,disease_merlin,gallstones,auroc,0.6635
1,2026,disease_merlin,hydronephrosis,auroc,0.6586
1,2026,disease_merlin,bowel_obstruction,auroc,0.6476
1,2026,disease_merlin,free_air,auroc,0.7728
1,2026,disease_merlin,fracture,auroc,0.7276
1,2026,disease_merlin,macro,auroc,0.7416
1,2026,disease_merlin,micro,auroc,0.7387
2,2026,disease_merlin,submucosal_edema,auroc,0.7441
2,2026,disease_merlin,renal_hypodensities,auroc,0.7283
2,2026,disease_merlin,aortic_valve_calcification,auroc,0.8713
2,2026,disease_merlin,coronary_calcification,auroc,0.7919
2,2026,disease_merlin,thrombosis,auroc,0.6304
2,2026,disease_merlin,metastatic_disease,auroc,0.7517
2,2026,disease_merlin,pancreatic_atrophy,auroc,0.8049
2,2026,disease_merlin,renal_cyst,auroc,0.7037
2,2026,disease_merlin,osteopenia,auroc,0.933
2,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.6871
2,2026,disease_merlin,atelectasis,auroc,0.7868
