epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.2628
1,2026,location_merlin,1,r2,0.034
1,2026,location_merlin,2,r2,0.1326
1,2026,location_merlin,mean,r2,0.1432
2,2026,location_merlin,0,r2,0.2517
2,2026,location_merlin,1,r2,0.0739
2,2026,location_merlin,2,r2,0.1711
2,2026,location_merlin,mean,r2,0.1656
3,2026,location_merlin,0,r2,0.3795
3,2026,location_merlin,1,r2,0.0983
3,2026,location_merlin,2,r2,0.1935
3,2026,location_merlin,mean,r2,0.2238
4,2026,location_merlin,0,r2,0.3823
4,2026,location_merlin,1,r2,0.1176
4,2026,location_merlin,2,r2,0.2261
4,2026,location_merlin,mean,r2,0.242
5,2026,location_merlin,0,r2,0.4131
5,2026,location_merlin,1,r2,0.1218
5,2026,location_merlin,2,r2,0.2159
5,2026,location_merlin,mean,r2,0.2503
6,2026,location_merlin,0,r2,0.4383
6,2026,location_merlin,1,r2,0.1158
6,2026,location_merlin,2,r2,0.2327
6,2026,location_merlin,mean,r2,0.2623
7,2026,location_merlin,0,r2,0.4485
7,2026,location_merlin,1,r2,0.1333
7,2026,location_merlin,2,r2,0.2335
7,2026,location_merlin,mean,r2,0.2717
8,2026,location_merlin,0,r2,0.4208
8,2026,location_merlin,1,r2,0.161
8,2026,location_merlin,2,r2,0.2647
8,2026,location_merlin,mean,r2,0.2822
9,2026,location_merlin,0,r2,0.4428
9,2026,location_merlin,1,r2,0.1523
9,2026,location_merlin,2,r2,0.2088
9,2026,location_merlin,mean,r2,0.268
10,2026,location_merlin,0,r2,0.4642
10,2026,location_merlin,1,r2,0.1671
10,2026,location_merlin,2,r2,0.2726
10,2026,location_merlin,mean,r2,0.3013
1,2027,location_merlin,0,r2,0.2549
1,2027,location_merlin,1,r2,0.0469
1,2027,location_merlin,2,r2,0.1456
1,2027,location_merlin,mean,r2,0.1491
2,2027,location_merlin,0,r2,0.3264
2,2027,location_merlin,1,r2,0.0941
2,2027,location_merlin,2,r2,0.1734
2,2027,location_merlin,mean,r2,0.198
3,2027,location_merlin,0,r2,0.3597
3,2027,location_merlin,1,r2,0.0318
3,2027,location_merlin,2,r2,0.1622
3,2027,location_merlin,mean,r2,0.1846
4,2027,location_merlin,0,r2,0.2601
4,2027,location_merlin,1,r2,0.0795
4,2027,location_merlin,2,r2,0.1834
4,2027,location_merlin,mean,r2,0.1743
5,2027,location_merlin,0,r2,0.4002
5,2027,location_merlin,1,r2,0.1054
5,2027,location_merlin,2,r2,0.2091
5,2027,location_merlin,mean,r2,0.2382
6,2027,location_merlin,0,r2,0.4336
6,2027,location_merlin,1,r2,0.137
6,2027,location_merlin,2,r2,0.2301
6,2027,location_merlin,mean,r2,0.2669
7,2027,location_merlin,0,r2,0.4396
7,2027,location_merlin,1,r2,0.1464
7,2027,location_merlin,2,r2,0.2356
7,2027,location_merlin,mean,r2,0.2739
8,2027,location_merlin,0,r2,0.4546
8,2027,location_merlin,1,r2,0.1568
8,2027,location_merlin,2,r2,0.2346
8,2027,location_merlin,mean,r2,0.282
9,2027,location_merlin,0,r2,0.4517
9,2027,location_merlin,1,r2,0.1642
9,2027,location_merlin,2,r2,0.25
9,2027,location_merlin,mean,r2,0.2886
10,2027,location_merlin,0,r2,0.4622
10,2027,location_merlin,1,r2,0.1769
10,2027,location_merlin,2,r2,0.2491
10,2027,location_merlin,mean,r2,0.296
1,2028,location_merlin,0,r2,0.2752
1,2028,location_merlin,1,r2,0.0743
1,2028,location_merlin,2,r2,0.1472
1,2028,location_merlin,mean,r2,0.1656
2,2028,location_merlin,0,r2,0.3435
2,2028,location_merlin,1,r2,0.0542
2,2028,location_merlin,2,r2,0.1755
2,2028,location_merlin,mean,r2,0.1911
3,2028,location_merlin,0,r2,0.2111
3,2028,location_merlin,1,r2,0.0885
3,2028,location_merlin,2,r2,0.1946
3,2028,location_merlin,mean,r2,0.1647
4,2028,location_merlin,0,r2,0.4022
4,2028,location_merlin,1,r2,0.1166
4,2028,location_merlin,2,r2,0.2093
4,2028,location_merlin,mean,r2,0.2427
5,2028,location_merlin,0,r2,0.4243
5,2028,location_merlin,1,r2,0.1149
5,2028,location_merlin,2,r2,0.2121
5,2028,location_merlin,mean,r2,0.2504
6,2028,location_merlin,0,r2,0.4415
6,2028,location_merlin,1,r2,0.1432
6,2028,location_merlin,2,r2,0.2332
6,2028,location_merlin,mean,r2,0.2726
7,2028,location_merlin,0,r2,0.4466
7,2028,location_merlin,1,r2,0.1569
7,2028,location_merlin,2,r2,0.2337
7,2028,location_merlin,mean,r2,0.2791
8,2028,location_merlin,0,r2,0.3877
8,2028,location_merlin,1,r2,0.1518
8,2028,location_merlin,2,r2,0.2558
8,2028,location_merlin,mean,r2,0.2651
9,2028,location_merlin,0,r2,0.4393
9,2028,location_merlin,1,r2,0.1511
9,2028,location_merlin,2,r2,0.268
9,2028,location_merlin,mean,r2,0.2862
10,2028,location_merlin,0,r2,0.468
10,2028,location_merlin,1,r2,0.1924
10,2028,location_merlin,2,r2,0.2466
10,2028,location_merlin,mean,r2,0.3023
