epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1671
1,2026,size_merlin,1,r2,0.1482
1,2026,size_merlin,2,r2,0.2189
1,2026,size_merlin,3,r2,0.1718
1,2026,size_merlin,4,r2,0.311
1,2026,size_merlin,5,r2,0.1141
1,2026,size_merlin,mean,r2,0.1885
2,2026,size_merlin,0,r2,0.2312
2,2026,size_merlin,1,r2,0.1939
2,2026,size_merlin,2,r2,0.2613
2,2026,size_merlin,3,r2,0.2505
2,2026,size_merlin,4,r2,0.3703
2,2026,size_merlin,5,r2,0.1325
2,2026,size_merlin,mean,r2,0.24
3,2026,size_merlin,0,r2,0.2845
3,2026,size_merlin,1,r2,0.2676
3,2026,size_merlin,2,r2,0.2882
3,2026,size_merlin,3,r2,0.2932
3,2026,size_merlin,4,r2,0.3915
3,2026,size_merlin,5,r2,0.1536
3,2026,size_merlin,mean,r2,0.2798
4,2026,size_merlin,0,r2,0.3337
4,2026,size_merlin,1,r2,0.322
4,2026,size_merlin,2,r2,0.3086
4,2026,size_merlin,3,r2,0.3121
4,2026,size_merlin,4,r2,0.3866
4,2026,size_merlin,5,r2,0.1744
4,2026,size_merlin,mean,r2,0.3062
5,2026,size_merlin,0,r2,0.3716
5,2026,size_merlin,1,r2,0.3519
5,2026,size_merlin,2,r2,0.2406
5,2026,size_merlin,3,r2,0.2884
5,2026,size_merlin,4,r2,0.4115
5,2026,size_merlin,5,r2,0.1768
5,2026,size_merlin,mean,r2,0.3068
6,2026,size_merlin,0,r2,0.4115
6,2026,size_merlin,1,r2,0.3754
6,2026,size_merlin,2,r2,0.3098
6,2026,size_merlin,3,r2,0.3129
6,2026,size_merlin,4,r2,0.4157
6,2026,size_merlin,5,r2,0.1824
6,2026,size_merlin,mean,r2,0.3346
7,2026,size_merlin,0,r2,0.4585
7,2026,size_merlin,1,r2,0.434
7,2026,size_merlin,2,r2,0.2542
7,2026,size_merlin,3,r2,0.318
7,2026,size_merlin,4,r2,0.4095
7,2026,size_merlin,5,r2,0.1655
7,2026,size_merlin,mean,r2,0.34
8,2026,size_merlin,0,r2,0.4512
8,2026,size_merlin,1,r2,0.4272
8,2026,size_merlin,2,r2,0.3326
8,2026,size_merlin,3,r2,0.3306
8,2026,size_merlin,4,r2,0.3993
8,2026,size_merlin,5,r2,0.1677
8,2026,size_merlin,mean,r2,0.3514
9,2026,size_merlin,0,r2,0.5104
9,2026,size_merlin,1,r2,0.4817
9,2026,size_merlin,2,r2,0.3204
9,2026,size_merlin,3,r2,0.3354
9,2026,size_merlin,4,r2,0.4329
9,2026,size_merlin,5,r2,0.1852
9,2026,size_merlin,mean,r2,0.3777
10,2026,size_merlin,0,r2,0.4947
10,2026,size_merlin,1,r2,0.4308
10,2026,size_merlin,2,r2,0.343
10,2026,size_merlin,3,r2,0.3364
10,2026,size_merlin,4,r2,0.4446
10,2026,size_merlin,5,r2,0.1985
10,2026,size_merlin,mean,r2,0.3747
1,2027,size_merlin,0,r2,0.1615
1,2027,size_merlin,1,r2,0.1483
1,2027,size_merlin,2,r2,0.2187
1,2027,size_merlin,3,r2,0.2553
1,2027,size_merlin,4,r2,0.3165
1,2027,size_merlin,5,r2,0.0537
1,2027,size_merlin,mean,r2,0.1923
2,2027,size_merlin,0,r2,0.1969
2,2027,size_merlin,1,r2,0.1359
2,2027,size_merlin,2,r2,0.2602
2,2027,size_merlin,3,r2,0.2611
2,2027,size_merlin,4,r2,0.3619
2,2027,size_merlin,5,r2,0.1566
2,2027,size_merlin,mean,r2,0.2288
3,2027,size_merlin,0,r2,0.2999
3,2027,size_merlin,1,r2,0.2976
3,2027,size_merlin,2,r2,0.2562
3,2027,size_merlin,3,r2,0.2883
3,2027,size_merlin,4,r2,0.3465
3,2027,size_merlin,5,r2,0.1606
3,2027,size_merlin,mean,r2,0.2748
4,2027,size_merlin,0,r2,0.363
4,2027,size_merlin,1,r2,0.3547
4,2027,size_merlin,2,r2,0.2556
4,2027,size_merlin,3,r2,0.2859
4,2027,size_merlin,4,r2,0.2682
4,2027,size_merlin,5,r2,0.1592
4,2027,size_merlin,mean,r2,0.2811
5,2027,size_merlin,0,r2,0.4354
5,2027,size_merlin,1,r2,0.4007
5,2027,size_merlin,2,r2,0.2957
5,2027,size_merlin,3,r2,0.3068
5,2027,size_merlin,4,r2,0.3938
5,2027,size_merlin,5,r2,0.1591
5,2027,size_merlin,mean,r2,0.3319
6,2027,size_merlin,0,r2,0.4578
6,2027,size_merlin,1,r2,0.415
6,2027,size_merlin,2,r2,0.3197
6,2027,size_merlin,3,r2,0.3266
6,2027,size_merlin,4,r2,0.4207
6,2027,size_merlin,5,r2,0.1821
6,2027,size_merlin,mean,r2,0.3537
7,2027,size_merlin,0,r2,0.479
7,2027,size_merlin,1,r2,0.4382
7,2027,size_merlin,2,r2,0.3068
7,2027,size_merlin,3,r2,0.3242
7,2027,size_merlin,4,r2,0.4218
7,2027,size_merlin,5,r2,0.1756
7,2027,size_merlin,mean,r2,0.3576
8,2027,size_merlin,0,r2,0.477
8,2027,size_merlin,1,r2,0.4336
8,2027,size_merlin,2,r2,0.3207
8,2027,size_merlin,3,r2,0.3294
8,2027,size_merlin,4,r2,0.4261
8,2027,size_merlin,5,r2,0.1912
8,2027,size_merlin,mean,r2,0.363
9,2027,size_merlin,0,r2,0.516
9,2027,size_merlin,1,r2,0.4774
9,2027,size_merlin,2,r2,0.3389
9,2027,size_merlin,3,r2,0.3369
9,2027,size_merlin,4,r2,0.4205
9,2027,size_merlin,5,r2,0.1759
9,2027,size_merlin,mean,r2,0.3776
10,2027,size_merlin,0,r2,0.4771
10,2027,size_merlin,1,r2,0.4358
10,2027,size_merlin,2,r2,0.332
10,2027,size_merlin,3,r2,0.3432
10,2027,size_merlin,4,r2,0.4365
10,2027,size_merlin,5,r2,0.187
10,2027,size_merlin,mean,r2,0.3686
1,2028,size_merlin,0,r2,0.1843
1,2028,size_merlin,1,r2,0.1465
1,2028,size_merlin,2,r2,0.2211
1,2028,size_merlin,3,r2,0.219
1,2028,size_merlin,4,r2,0.3252
1,2028,size_merlin,5,r2,0.1326
1,2028,size_merlin,mean,r2,0.2048
2,2028,size_merlin,0,r2,0.23
2,2028,size_merlin,1,r2,0.1963
2,2028,size_merlin,2,r2,0.2692
2,2028,size_merlin,3,r2,0.2855
2,2028,size_merlin,4,r2,0.3782
2,2028,size_merlin,5,r2,0.1661
2,2028,size_merlin,mean,r2,0.2542
3,2028,size_merlin,0,r2,0.206
3,2028,size_merlin,1,r2,0.2254
3,2028,size_merlin,2,r2,0.2529
3,2028,size_merlin,3,r2,0.3001
3,2028,size_merlin,4,r2,0.3777
3,2028,size_merlin,5,r2,0.1695
3,2028,size_merlin,mean,r2,0.2553
4,2028,size_merlin,0,r2,0.3556
4,2028,size_merlin,1,r2,0.3208
4,2028,size_merlin,2,r2,0.282
4,2028,size_merlin,3,r2,0.2934
4,2028,size_merlin,4,r2,0.4115
4,2028,size_merlin,5,r2,0.1563
4,2028,size_merlin,mean,r2,0.3033
5,2028,size_merlin,0,r2,0.4131
5,2028,size_merlin,1,r2,0.3729
5,2028,size_merlin,2,r2,0.2925
5,2028,size_merlin,3,r2,0.2869
5,2028,size_merlin,4,r2,0.3706
5,2028,size_merlin,5,r2,0.1725
5,2028,size_merlin,mean,r2,0.3181
6,2028,size_merlin,0,r2,0.4427
6,2028,size_merlin,1,r2,0.4107
6,2028,size_merlin,2,r2,0.2978
6,2028,size_merlin,3,r2,0.3037
6,2028,size_merlin,4,r2,0.4241
6,2028,size_merlin,5,r2,0.1868
6,2028,size_merlin,mean,r2,0.3443
7,2028,size_merlin,0,r2,0.4776
7,2028,size_merlin,1,r2,0.4437
7,2028,size_merlin,2,r2,0.3218
7,2028,size_merlin,3,r2,0.3299
7,2028,size_merlin,4,r2,0.4281
7,2028,size_merlin,5,r2,0.1845
7,2028,size_merlin,mean,r2,0.3643
8,2028,size_merlin,0,r2,0.3583
8,2028,size_merlin,1,r2,0.3374
8,2028,size_merlin,2,r2,0.3214
8,2028,size_merlin,3,r2,0.3133
8,2028,size_merlin,4,r2,0.4408
8,2028,size_merlin,5,r2,0.1986
8,2028,size_merlin,mean,r2,0.3283
9,2028,size_merlin,0,r2,0.5084
9,2028,size_merlin,1,r2,0.468
9,2028,size_merlin,2,r2,0.3122
9,2028,size_merlin,3,r2,0.2691
9,2028,size_merlin,4,r2,0.3966
9,2028,size_merlin,5,r2,0.2009
9,2028,size_merlin,mean,r2,0.3592
10,2028,size_merlin,0,r2,0.5043
10,2028,size_merlin,1,r2,0.4774
10,2028,size_merlin,2,r2,0.3454
10,2028,size_merlin,3,r2,0.3034
10,2028,size_merlin,4,r2,0.4485
10,2028,size_merlin,5,r2,0.2082
10,2028,size_merlin,mean,r2,0.3812
