epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9101
1,2026,radiomics,1,r2,0.2036
1,2026,radiomics,2,r2,0.8496
1,2026,radiomics,mean,r2,0.6544
2,2026,radiomics,0,r2,0.9197
2,2026,radiomics,1,r2,0.2178
2,2026,radiomics,2,r2,0.8682
2,2026,radiomics,mean,r2,0.6686
3,2026,radiomics,0,r2,0.9219
3,2026,radiomics,1,r2,0.3751
3,2026,radiomics,2,r2,0.8685
3,2026,radiomics,mean,r2,0.7219
4,2026,radiomics,0,r2,0.9189
4,2026,radiomics,1,r2,0.3826
4,2026,radiomics,2,r2,0.877
4,2026,radiomics,mean,r2,0.7262
5,2026,radiomics,0,r2,0.9213
5,2026,radiomics,1,r2,0.3024
5,2026,radiomics,2,r2,0.8891
5,2026,radiomics,mean,r2,0.7043
6,2026,radiomics,0,r2,0.911
6,2026,radiomics,1,r2,0.4708
6,2026,radiomics,2,r2,0.8788
6,2026,radiomics,mean,r2,0.7535
7,2026,radiomics,0,r2,0.9277
7,2026,radiomics,1,r2,0.5351
7,2026,radiomics,2,r2,0.8836
7,2026,radiomics,mean,r2,0.7821
8,2026,radiomics,0,r2,0.9336
8,2026,radiomics,1,r2,0.506
8,2026,radiomics,2,r2,0.891
8,2026,radiomics,mean,r2,0.7768
9,2026,radiomics,0,r2,0.9321
9,2026,radiomics,1,r2,0.4513
9,2026,radiomics,2,r2,0.8959
9,2026,radiomics,mean,r2,0.7598
10,2026,radiomics,0,r2,0.9368
10,2026,radiomics,1,r2,0.5057
10,2026,radiomics,2,r2,0.9022
10,2026,radiomics,mean,r2,0.7816
1,2027,radiomics,0,r2,0.905
1,2027,radiomics,1,r2,0.2039
1,2027,radiomics,2,r2,0.8452
1,2027,radiomics,mean,r2,0.6513
2,2027,radiomics,0,r2,0.915
2,2027,radiomics,1,r2,0.293
2,2027,radiomics,2,r2,0.8651
2,2027,radiomics,mean,r2,0.691
3,2027,radiomics,0,r2,0.9207
3,2027,radiomics,1,r2,0.308
3,2027,radiomics,2,r2,0.8786
3,2027,radiomics,mean,r2,0.7024
4,2027,radiomics,0,r2,0.9265
4,2027,radiomics,1,r2,0.3834
4,2027,radiomics,2,r2,0.8884
4,2027,radiomics,mean,r2,0.7328
5,2027,radiomics,0,r2,0.9221
5,2027,radiomics,1,r2,0.3395
5,2027,radiomics,2,r2,0.8866
5,2027,radiomics,mean,r2,0.7161
6,2027,radiomics,0,r2,0.9327
6,2027,radiomics,1,r2,0.4715
6,2027,radiomics,2,r2,0.8979
6,2027,radiomics,mean,r2,0.7674
7,2027,radiomics,0,r2,0.9272
7,2027,radiomics,1,r2,0.4422
7,2027,radiomics,2,r2,0.8983
7,2027,radiomics,mean,r2,0.7559
8,2027,radiomics,0,r2,0.933
8,2027,radiomics,1,r2,0.5804
8,2027,radiomics,2,r2,0.9009
8,2027,radiomics,mean,r2,0.8048
9,2027,radiomics,0,r2,0.9357
9,2027,radiomics,1,r2,0.541
9,2027,radiomics,2,r2,0.9034
9,2027,radiomics,mean,r2,0.7934
10,2027,radiomics,0,r2,0.9328
10,2027,radiomics,1,r2,0.4833
10,2027,radiomics,2,r2,0.8805
10,2027,radiomics,mean,r2,0.7656
1,2028,radiomics,0,r2,0.912
1,2028,radiomics,1,r2,0.2037
1,2028,radiomics,2,r2,0.8505
1,2028,radiomics,mean,r2,0.6554
2,2028,radiomics,0,r2,0.9179
2,2028,radiomics,1,r2,0.282
2,2028,radiomics,2,r2,0.8757
2,2028,radiomics,mean,r2,0.6919
3,2028,radiomics,0,r2,0.9142
3,2028,radiomics,1,r2,0.3588
3,2028,radiomics,2,r2,0.8846
3,2028,radiomics,mean,r2,0.7192
4,2028,radiomics,0,r2,0.919
4,2028,radiomics,1,r2,0.3361
4,2028,radiomics,2,r2,0.8866
4,2028,radiomics,mean,r2,0.7139
5,2028,radiomics,0,r2,0.9229
5,2028,radiomics,1,r2,0.445
5,2028,radiomics,2,r2,0.898
5,2028,radiomics,mean,r2,0.7553
6,2028,radiomics,0,r2,0.9341
6,2028,radiomics,1,r2,0.3528
6,2028,radiomics,2,r2,0.9012
6,2028,radiomics,mean,r2,0.7293
7,2028,radiomics,0,r2,0.9326
7,2028,radiomics,1,r2,0.38
7,2028,radiomics,2,r2,0.9001
7,2028,radiomics,mean,r2,0.7376
8,2028,radiomics,0,r2,0.936
8,2028,radiomics,1,r2,0.4524
8,2028,radiomics,2,r2,0.9088
8,2028,radiomics,mean,r2,0.7657
9,2028,radiomics,0,r2,0.9371
9,2028,radiomics,1,r2,0.4375
9,2028,radiomics,2,r2,0.9031
9,2028,radiomics,mean,r2,0.7593
10,2028,radiomics,0,r2,0.9329
10,2028,radiomics,1,r2,0.4337
10,2028,radiomics,2,r2,0.8959
10,2028,radiomics,mean,r2,0.7542
