epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8615
1,2026,size,1,r2,0.5144
1,2026,size,2,r2,0.4734
1,2026,size,3,r2,0.6186
1,2026,size,4,r2,0.6708
1,2026,size,mean,r2,0.6277
2,2026,size,0,r2,0.873
2,2026,size,1,r2,0.574
2,2026,size,2,r2,0.5109
2,2026,size,3,r2,0.642
2,2026,size,4,r2,0.7203
2,2026,size,mean,r2,0.664
3,2026,size,0,r2,0.8725
3,2026,size,1,r2,0.5746
3,2026,size,2,r2,0.5219
3,2026,size,3,r2,0.6424
3,2026,size,4,r2,0.709
3,2026,size,mean,r2,0.6641
4,2026,size,0,r2,0.8784
4,2026,size,1,r2,0.5986
4,2026,size,2,r2,0.5164
4,2026,size,3,r2,0.6427
4,2026,size,4,r2,0.733
4,2026,size,mean,r2,0.6738
5,2026,size,0,r2,0.8875
5,2026,size,1,r2,0.5971
5,2026,size,2,r2,0.5257
5,2026,size,3,r2,0.6465
5,2026,size,4,r2,0.7504
5,2026,size,mean,r2,0.6815
6,2026,size,0,r2,0.8805
6,2026,size,1,r2,0.6204
6,2026,size,2,r2,0.5383
6,2026,size,3,r2,0.6538
6,2026,size,4,r2,0.7454
6,2026,size,mean,r2,0.6877
7,2026,size,0,r2,0.8882
7,2026,size,1,r2,0.5945
7,2026,size,2,r2,0.53
7,2026,size,3,r2,0.656
7,2026,size,4,r2,0.7336
7,2026,size,mean,r2,0.6805
8,2026,size,0,r2,0.878
8,2026,size,1,r2,0.6238
8,2026,size,2,r2,0.5347
8,2026,size,3,r2,0.6514
8,2026,size,4,r2,0.7345
8,2026,size,mean,r2,0.6845
9,2026,size,0,r2,0.8921
9,2026,size,1,r2,0.6322
9,2026,size,2,r2,0.5303
9,2026,size,3,r2,0.6603
9,2026,size,4,r2,0.7468
9,2026,size,mean,r2,0.6923
10,2026,size,0,r2,0.8993
10,2026,size,1,r2,0.6444
10,2026,size,2,r2,0.5142
10,2026,size,3,r2,0.6563
10,2026,size,4,r2,0.7431
10,2026,size,mean,r2,0.6915
1,2027,size,0,r2,0.8488
1,2027,size,1,r2,0.5546
1,2027,size,2,r2,0.4979
1,2027,size,3,r2,0.6259
1,2027,size,4,r2,0.7237
1,2027,size,mean,r2,0.6502
2,2027,size,0,r2,0.8716
2,2027,size,1,r2,0.5657
2,2027,size,2,r2,0.5007
2,2027,size,3,r2,0.6444
2,2027,size,4,r2,0.7335
2,2027,size,mean,r2,0.6632
3,2027,size,0,r2,0.8612
3,2027,size,1,r2,0.5905
3,2027,size,2,r2,0.5125
3,2027,size,3,r2,0.6229
3,2027,size,4,r2,0.6888
3,2027,size,mean,r2,0.6552
4,2027,size,0,r2,0.8771
4,2027,size,1,r2,0.5955
