epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9249
1,2026,disease,Arterial wall calcification,auroc,0.9331
1,2026,disease,Cardiomegaly,auroc,0.9268
1,2026,disease,Pericardial effusion,auroc,0.8637
1,2026,disease,Coronary artery wall calcification,auroc,0.9347
1,2026,disease,Hiatal hernia,auroc,0.7134
1,2026,disease,Lymphadenopathy,auroc,0.7481
1,2026,disease,Emphysema,auroc,0.8093
1,2026,disease,Atelectasis,auroc,0.8149
1,2026,disease,Lung nodule,auroc,0.7363
1,2026,disease,Lung opacity,auroc,0.8708
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7438
1,2026,disease,Pleural effusion,auroc,0.9662
1,2026,disease,Mosaic attenuation pattern,auroc,0.8844
1,2026,disease,Peribronchial thickening,auroc,0.8164
1,2026,disease,Consolidation,auroc,0.9163
1,2026,disease,Bronchiectasis,auroc,0.7974
1,2026,disease,Interlobular septal thickening,auroc,0.8756
1,2026,disease,macro,auroc,0.8487
1,2026,disease,micro,auroc,0.8561
2,2026,disease,Medical material,auroc,0.9243
2,2026,disease,Arterial wall calcification,auroc,0.9331
2,2026,disease,Cardiomegaly,auroc,0.9289
2,2026,disease,Pericardial effusion,auroc,0.8541
2,2026,disease,Coronary artery wall calcification,auroc,0.9359
2,2026,disease,Hiatal hernia,auroc,0.7082
2,2026,disease,Lymphadenopathy,auroc,0.7632
2,2026,disease,Emphysema,auroc,0.7995
2,2026,disease,Atelectasis,auroc,0.8172
2,2026,disease,Lung nodule,auroc,0.7376
2,2026,disease,Lung opacity,auroc,0.8696
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7365
2,2026,disease,Pleural effusion,auroc,0.968
2,2026,disease,Mosaic attenuation pattern,auroc,0.8793
2,2026,disease,Peribronchial thickening,auroc,0.8132
2,2026,disease,Consolidation,auroc,0.9227
2,2026,disease,Bronchiectasis,auroc,0.8114
2,2026,disease,Interlobular septal thickening,auroc,0.8785
2,2026,disease,macro,auroc,0.8489
2,2026,disease,micro,auroc,0.8593
3,2026,disease,Medical material,auroc,0.9251
