epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.1054
1,2026,location,1,r2,0.0994
1,2026,location,2,r2,0.2939
1,2026,location,mean,r2,0.1662
2,2026,location,0,r2,0.1579
2,2026,location,1,r2,0.1456
2,2026,location,2,r2,0.3308
2,2026,location,mean,r2,0.2115
3,2026,location,0,r2,0.151
3,2026,location,1,r2,0.145
3,2026,location,2,r2,0.3416
3,2026,location,mean,r2,0.2125
4,2026,location,0,r2,0.1871
4,2026,location,1,r2,0.1518
4,2026,location,2,r2,0.3485
4,2026,location,mean,r2,0.2291
5,2026,location,0,r2,0.2118
5,2026,location,1,r2,0.1873
5,2026,location,2,r2,0.3392
5,2026,location,mean,r2,0.2461
6,2026,location,0,r2,0.2127
6,2026,location,1,r2,0.1822
6,2026,location,2,r2,0.3563
6,2026,location,mean,r2,0.2504
7,2026,location,0,r2,0.2343
7,2026,location,1,r2,0.1933
7,2026,location,2,r2,0.3597
7,2026,location,mean,r2,0.2624
8,2026,location,0,r2,0.1177
8,2026,location,1,r2,0.2094
8,2026,location,2,r2,0.3502
8,2026,location,mean,r2,0.2258
9,2026,location,0,r2,0.2526
9,2026,location,1,r2,0.1862
9,2026,location,2,r2,0.3356
9,2026,location,mean,r2,0.2581
10,2026,location,0,r2,0.2668
10,2026,location,1,r2,0.1816
10,2026,location,2,r2,0.3658
10,2026,location,mean,r2,0.2714
1,2027,location,0,r2,0.1083
1,2027,location,1,r2,0.1192
1,2027,location,2,r2,0.308
1,2027,location,mean,r2,0.1785
2,2027,location,0,r2,0.1635
2,2027,location,1,r2,0.1525
2,2027,location,2,r2,0.3171
2,2027,location,mean,r2,0.211
3,2027,location,0,r2,0.1154
3,2027,location,1,r2,0.1408
3,2027,location,2,r2,0.3252
3,2027,location,mean,r2,0.1938
4,2027,location,0,r2,0.1234
4,2027,location,1,r2,0.1469
4,2027,location,2,r2,0.3574
4,2027,location,mean,r2,0.2092
5,2027,location,0,r2,0.1781
5,2027,location,1,r2,0.2017
5,2027,location,2,r2,0.3426
5,2027,location,mean,r2,0.2408
6,2027,location,0,r2,0.1725
6,2027,location,1,r2,0.1927
6,2027,location,2,r2,0.3466
6,2027,location,mean,r2,0.2373
7,2027,location,0,r2,0.2116
7,2027,location,1,r2,0.143
7,2027,location,2,r2,0.3617
7,2027,location,mean,r2,0.2388
8,2027,location,0,r2,0.272
8,2027,location,1,r2,0.2017
8,2027,location,2,r2,0.3599
8,2027,location,mean,r2,0.2779
9,2027,location,0,r2,0.1721
9,2027,location,1,r2,0.2044
9,2027,location,2,r2,0.3515
9,2027,location,mean,r2,0.2427
10,2027,location,0,r2,0.113
10,2027,location,1,r2,0.2121
10,2027,location,2,r2,0.3677
10,2027,location,mean,r2,0.2309
1,2028,location,0,r2,0.1136
1,2028,location,1,r2,0.1146
1,2028,location,2,r2,0.2966
1,2028,location,mean,r2,0.175
2,2028,location,0,r2,0.1591
2,2028,location,1,r2,0.1363
2,2028,location,2,r2,0.3364
2,2028,location,mean,r2,0.2106
3,2028,location,0,r2,0.129
3,2028,location,1,r2,0.1139
3,2028,location,2,r2,0.3424
3,2028,location,mean,r2,0.1951
4,2028,location,0,r2,0.135
4,2028,location,1,r2,0.1275
4,2028,location,2,r2,0.3551
4,2028,location,mean,r2,0.2059
5,2028,location,0,r2,0.1671
5,2028,location,1,r2,0.1551
5,2028,location,2,r2,0.3543
5,2028,location,mean,r2,0.2255
6,2028,location,0,r2,0.1981
6,2028,location,1,r2,0.1257
6,2028,location,2,r2,0.3516
6,2028,location,mean,r2,0.2251
7,2028,location,0,r2,0.1536
7,2028,location,1,r2,0.1718
7,2028,location,2,r2,0.3585
7,2028,location,mean,r2,0.228
8,2028,location,0,r2,0.2047
8,2028,location,1,r2,0.1768
8,2028,location,2,r2,0.3263
8,2028,location,mean,r2,0.2359
9,2028,location,0,r2,0.1672
9,2028,location,1,r2,0.1917
9,2028,location,2,r2,0.3538
9,2028,location,mean,r2,0.2376
10,2028,location,0,r2,0.1754
10,2028,location,1,r2,0.1577
10,2028,location,2,r2,0.3418
10,2028,location,mean,r2,0.225
