epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8409
1,2026,size,1,r2,0.5599
1,2026,size,2,r2,0.4843
1,2026,size,3,r2,0.6153
1,2026,size,4,r2,0.6265
1,2026,size,mean,r2,0.6254
2,2026,size,0,r2,0.8733
2,2026,size,1,r2,0.6247
2,2026,size,2,r2,0.5072
2,2026,size,3,r2,0.6341
2,2026,size,4,r2,0.6856
2,2026,size,mean,r2,0.665
3,2026,size,0,r2,0.8728
3,2026,size,1,r2,0.6289
3,2026,size,2,r2,0.526
3,2026,size,3,r2,0.6372
3,2026,size,4,r2,0.7096
3,2026,size,mean,r2,0.6749
4,2026,size,0,r2,0.8767
4,2026,size,1,r2,0.6611
4,2026,size,2,r2,0.5207
4,2026,size,3,r2,0.6599
4,2026,size,4,r2,0.7185
4,2026,size,mean,r2,0.6874
5,2026,size,0,r2,0.8742
5,2026,size,1,r2,0.6502
5,2026,size,2,r2,0.5155
5,2026,size,3,r2,0.6548
5,2026,size,4,r2,0.7257
5,2026,size,mean,r2,0.6841
6,2026,size,0,r2,0.8811
6,2026,size,1,r2,0.677
6,2026,size,2,r2,0.5385
6,2026,size,3,r2,0.6477
6,2026,size,4,r2,0.7298
6,2026,size,mean,r2,0.6948
7,2026,size,0,r2,0.8775
7,2026,size,1,r2,0.6747
7,2026,size,2,r2,0.5257
7,2026,size,3,r2,0.6622
7,2026,size,4,r2,0.7286
7,2026,size,mean,r2,0.6937
8,2026,size,0,r2,0.8709
8,2026,size,1,r2,0.6783
8,2026,size,2,r2,0.5278
8,2026,size,3,r2,0.6583
8,2026,size,4,r2,0.7215
8,2026,size,mean,r2,0.6913
9,2026,size,0,r2,0.8905
9,2026,size,1,r2,0.6847
9,2026,size,2,r2,0.5419
9,2026,size,3,r2,0.6665
9,2026,size,4,r2,0.7413
9,2026,size,mean,r2,0.705
10,2026,size,0,r2,0.8933
10,2026,size,1,r2,0.6945
10,2026,size,2,r2,0.5321
10,2026,size,3,r2,0.6705
10,2026,size,4,r2,0.7417
10,2026,size,mean,r2,0.7064
1,2027,size,0,r2,0.8306
1,2027,size,1,r2,0.5927
1,2027,size,2,r2,0.487
1,2027,size,3,r2,0.6223
1,2027,size,4,r2,0.6932
1,2027,size,mean,r2,0.6452
2,2027,size,0,r2,0.8797
2,2027,size,1,r2,0.6103
2,2027,size,2,r2,0.5059
2,2027,size,3,r2,0.61
2,2027,size,4,r2,0.7003
2,2027,size,mean,r2,0.6612
3,2027,size,0,r2,0.8188
3,2027,size,1,r2,0.6408
3,2027,size,2,r2,0.5319
3,2027,size,3,r2,0.6469
3,2027,size,4,r2,0.6933
3,2027,size,mean,r2,0.6663
4,2027,size,0,r2,0.8859
4,2027,size,1,r2,0.6356
4,2027,size,2,r2,0.5206
4,2027,size,3,r2,0.6449
4,2027,size,4,r2,0.7357
4,2027,size,mean,r2,0.6845
5,2027,size,0,r2,0.887
5,2027,size,1,r2,0.6601
5,2027,size,2,r2,0.5267
5,2027,size,3,r2,0.6596
5,2027,size,4,r2,0.7404
5,2027,size,mean,r2,0.6948
6,2027,size,0,r2,0.8891
6,2027,size,1,r2,0.6801
6,2027,size,2,r2,0.5346
6,2027,size,3,r2,0.6748
6,2027,size,4,r2,0.7437
6,2027,size,mean,r2,0.7045
7,2027,size,0,r2,0.8887
7,2027,size,1,r2,0.6838
7,2027,size,2,r2,0.5466
7,2027,size,3,r2,0.6757
7,2027,size,4,r2,0.7462
7,2027,size,mean,r2,0.7082
8,2027,size,0,r2,0.8768
8,2027,size,1,r2,0.6567
8,2027,size,2,r2,0.5334
8,2027,size,3,r2,0.6414
8,2027,size,4,r2,0.7395
8,2027,size,mean,r2,0.6896
9,2027,size,0,r2,0.8837
9,2027,size,1,r2,0.6893
9,2027,size,2,r2,0.5456
9,2027,size,3,r2,0.6777
9,2027,size,4,r2,0.7448
9,2027,size,mean,r2,0.7082
10,2027,size,0,r2,0.8834
10,2027,size,1,r2,0.6703
10,2027,size,2,r2,0.5263
10,2027,size,3,r2,0.661
10,2027,size,4,r2,0.7517
10,2027,size,mean,r2,0.6985
1,2028,size,0,r2,0.8616
1,2028,size,1,r2,0.5503
1,2028,size,2,r2,0.454
1,2028,size,3,r2,0.6071
1,2028,size,4,r2,0.6734
1,2028,size,mean,r2,0.6293
2,2028,size,0,r2,0.8505
2,2028,size,1,r2,0.5971
2,2028,size,2,r2,0.5026
2,2028,size,3,r2,0.6437
2,2028,size,4,r2,0.7136
2,2028,size,mean,r2,0.6615
3,2028,size,0,r2,0.8581
3,2028,size,1,r2,0.6323
3,2028,size,2,r2,0.5159
3,2028,size,3,r2,0.6464
3,2028,size,4,r2,0.7149
3,2028,size,mean,r2,0.6735
4,2028,size,0,r2,0.8769
4,2028,size,1,r2,0.6463
4,2028,size,2,r2,0.5196
4,2028,size,3,r2,0.6648
4,2028,size,4,r2,0.7254
4,2028,size,mean,r2,0.6866
5,2028,size,0,r2,0.879
5,2028,size,1,r2,0.6592
5,2028,size,2,r2,0.5361
5,2028,size,3,r2,0.6612
5,2028,size,4,r2,0.7235
5,2028,size,mean,r2,0.6918
6,2028,size,0,r2,0.8803
6,2028,size,1,r2,0.657
6,2028,size,2,r2,0.5359
6,2028,size,3,r2,0.6663
6,2028,size,4,r2,0.721
6,2028,size,mean,r2,0.6921
7,2028,size,0,r2,0.8801
7,2028,size,1,r2,0.6655
7,2028,size,2,r2,0.5442
7,2028,size,3,r2,0.6569
7,2028,size,4,r2,0.7455
7,2028,size,mean,r2,0.6984
8,2028,size,0,r2,0.8743
8,2028,size,1,r2,0.6693
8,2028,size,2,r2,0.5461
8,2028,size,3,r2,0.6666
8,2028,size,4,r2,0.7308
8,2028,size,mean,r2,0.6974
9,2028,size,0,r2,0.8704
9,2028,size,1,r2,0.6723
9,2028,size,2,r2,0.5453
9,2028,size,3,r2,0.6596
9,2028,size,4,r2,0.7172
9,2028,size,mean,r2,0.6929
10,2028,size,0,r2,0.8905
10,2028,size,1,r2,0.6739
10,2028,size,2,r2,0.5402
10,2028,size,3,r2,0.6734
10,2028,size,4,r2,0.7449
10,2028,size,mean,r2,0.7046
