epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8031
1,2026,density,1,r2,0.6553
1,2026,density,2,r2,0.9279
1,2026,density,3,r2,0.8891
1,2026,density,mean,r2,0.8189
2,2026,density,0,r2,0.8416
2,2026,density,1,r2,0.7992
2,2026,density,2,r2,0.9214
2,2026,density,3,r2,0.9101
2,2026,density,mean,r2,0.8681
3,2026,density,0,r2,0.8543
3,2026,density,1,r2,0.7817
3,2026,density,2,r2,0.9166
3,2026,density,3,r2,0.918
3,2026,density,mean,r2,0.8677
4,2026,density,0,r2,0.8549
4,2026,density,1,r2,0.8559
4,2026,density,2,r2,0.9469
4,2026,density,3,r2,0.9256
4,2026,density,mean,r2,0.8958
5,2026,density,0,r2,0.8726
5,2026,density,1,r2,0.8807
5,2026,density,2,r2,0.9571
5,2026,density,3,r2,0.9311
5,2026,density,mean,r2,0.9104
6,2026,density,0,r2,0.8667
6,2026,density,1,r2,0.8778
6,2026,density,2,r2,0.9579
6,2026,density,3,r2,0.935
6,2026,density,mean,r2,0.9094
7,2026,density,0,r2,0.8747
7,2026,density,1,r2,0.8881
7,2026,density,2,r2,0.9601
7,2026,density,3,r2,0.9341
7,2026,density,mean,r2,0.9143
8,2026,density,0,r2,0.8611
8,2026,density,1,r2,0.8511
8,2026,density,2,r2,0.9594
8,2026,density,3,r2,0.941
8,2026,density,mean,r2,0.9032
9,2026,density,0,r2,0.8787
9,2026,density,1,r2,0.9038
9,2026,density,2,r2,0.9643
9,2026,density,3,r2,0.9415
9,2026,density,mean,r2,0.9221
10,2026,density,0,r2,0.8724
10,2026,density,1,r2,0.8968
10,2026,density,2,r2,0.9624
10,2026,density,3,r2,0.9426
10,2026,density,mean,r2,0.9186
1,2027,density,0,r2,0.8217
1,2027,density,1,r2,0.6364
1,2027,density,2,r2,0.9271
1,2027,density,3,r2,0.8963
1,2027,density,mean,r2,0.8204
2,2027,density,0,r2,0.8309
2,2027,density,1,r2,0.7734
2,2027,density,2,r2,0.9453
2,2027,density,3,r2,0.9107
2,2027,density,mean,r2,0.8651
3,2027,density,0,r2,0.8573
3,2027,density,1,r2,0.854
3,2027,density,2,r2,0.9515
3,2027,density,3,r2,0.9296
3,2027,density,mean,r2,0.8981
4,2027,density,0,r2,0.8513
4,2027,density,1,r2,0.8621
4,2027,density,2,r2,0.9506
4,2027,density,3,r2,0.9257
4,2027,density,mean,r2,0.8974
5,2027,density,0,r2,0.8634
5,2027,density,1,r2,0.8788
5,2027,density,2,r2,0.9593
5,2027,density,3,r2,0.933
5,2027,density,mean,r2,0.9086
6,2027,density,0,r2,0.8665
6,2027,density,1,r2,0.8864
6,2027,density,2,r2,0.956
6,2027,density,3,r2,0.9363
6,2027,density,mean,r2,0.9113
7,2027,density,0,r2,0.8414
7,2027,density,1,r2,0.8942
7,2027,density,2,r2,0.9596
7,2027,density,3,r2,0.9312
7,2027,density,mean,r2,0.9066
8,2027,density,0,r2,0.8617
8,2027,density,1,r2,0.9014
8,2027,density,2,r2,0.9622
8,2027,density,3,r2,0.9413
8,2027,density,mean,r2,0.9166
9,2027,density,0,r2,0.8687
9,2027,density,1,r2,0.8991
9,2027,density,2,r2,0.9557
9,2027,density,3,r2,0.9417
9,2027,density,mean,r2,0.9163
10,2027,density,0,r2,0.8764
10,2027,density,1,r2,0.8887
10,2027,density,2,r2,0.9655
10,2027,density,3,r2,0.9426
10,2027,density,mean,r2,0.9183
1,2028,density,0,r2,0.8117
1,2028,density,1,r2,0.6959
1,2028,density,2,r2,0.9359
1,2028,density,3,r2,0.9032
1,2028,density,mean,r2,0.8367
2,2028,density,0,r2,0.8414
2,2028,density,1,r2,0.8256
2,2028,density,2,r2,0.9493
2,2028,density,3,r2,0.9229
2,2028,density,mean,r2,0.8848
3,2028,density,0,r2,0.8505
3,2028,density,1,r2,0.853
3,2028,density,2,r2,0.9526
3,2028,density,3,r2,0.9185
3,2028,density,mean,r2,0.8936
4,2028,density,0,r2,0.8379
4,2028,density,1,r2,0.8859
4,2028,density,2,r2,0.9559
4,2028,density,3,r2,0.9299
4,2028,density,mean,r2,0.9024
5,2028,density,0,r2,0.868
5,2028,density,1,r2,0.8847
5,2028,density,2,r2,0.9584
5,2028,density,3,r2,0.9326
5,2028,density,mean,r2,0.9109
6,2028,density,0,r2,0.8591
6,2028,density,1,r2,0.8879
6,2028,density,2,r2,0.9625
6,2028,density,3,r2,0.9379
6,2028,density,mean,r2,0.9119
7,2028,density,0,r2,0.8706
7,2028,density,1,r2,0.9069
7,2028,density,2,r2,0.9586
7,2028,density,3,r2,0.9394
7,2028,density,mean,r2,0.9189
8,2028,density,0,r2,0.872
8,2028,density,1,r2,0.8939
8,2028,density,2,r2,0.9646
8,2028,density,3,r2,0.9366
8,2028,density,mean,r2,0.9168
9,2028,density,0,r2,0.8761
9,2028,density,1,r2,0.91
9,2028,density,2,r2,0.9525
9,2028,density,3,r2,0.9378
9,2028,density,mean,r2,0.9191
10,2028,density,0,r2,0.8763
10,2028,density,1,r2,0.9137
10,2028,density,2,r2,0.9648
10,2028,density,3,r2,0.9427
10,2028,density,mean,r2,0.9244
