epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9238
1,2026,disease,Arterial wall calcification,auroc,0.9317
1,2026,disease,Cardiomegaly,auroc,0.9303
1,2026,disease,Pericardial effusion,auroc,0.8541
1,2026,disease,Coronary artery wall calcification,auroc,0.9352
1,2026,disease,Hiatal hernia,auroc,0.7044
1,2026,disease,Lymphadenopathy,auroc,0.7561
1,2026,disease,Emphysema,auroc,0.8032
1,2026,disease,Atelectasis,auroc,0.8181
1,2026,disease,Lung nodule,auroc,0.7454
1,2026,disease,Lung opacity,auroc,0.8713
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7447
1,2026,disease,Pleural effusion,auroc,0.9673
1,2026,disease,Mosaic attenuation pattern,auroc,0.8895
1,2026,disease,Peribronchial thickening,auroc,0.8196
1,2026,disease,Consolidation,auroc,0.9207
1,2026,disease,Bronchiectasis,auroc,0.798
1,2026,disease,Interlobular septal thickening,auroc,0.8875
1,2026,disease,macro,auroc,0.8501
1,2026,disease,micro,auroc,0.8577
2,2026,disease,Medical material,auroc,0.9272
2,2026,disease,Arterial wall calcification,auroc,0.9307
2,2026,disease,Cardiomegaly,auroc,0.9285
2,2026,disease,Pericardial effusion,auroc,0.8602
2,2026,disease,Coronary artery wall calcification,auroc,0.9343
2,2026,disease,Hiatal hernia,auroc,0.707
2,2026,disease,Lymphadenopathy,auroc,0.759
2,2026,disease,Emphysema,auroc,0.8057
2,2026,disease,Atelectasis,auroc,0.8175
2,2026,disease,Lung nodule,auroc,0.7407
2,2026,disease,Lung opacity,auroc,0.8697
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7484
2,2026,disease,Pleural effusion,auroc,0.9679
2,2026,disease,Mosaic attenuation pattern,auroc,0.8901
2,2026,disease,Peribronchial thickening,auroc,0.8198
2,2026,disease,Consolidation,auroc,0.9232
2,2026,disease,Bronchiectasis,auroc,0.8086
2,2026,disease,Interlobular septal thickening,auroc,0.8752
2,2026,disease,macro,auroc,0.8508
2,2026,disease,micro,auroc,0.8611
3,2026,disease,Medical material,auroc,0.9285
3,2026,disease,Arterial wall calcification,auroc,0.9301
3,2026,disease,Cardiomegaly,auroc,0.9307
3,2026,disease,Pericardial effusion,auroc,0.849
3,2026,disease,Coronary artery wall calcification,auroc,0.9333
3,2026,disease,Hiatal hernia,auroc,0.7145
3,2026,disease,Lymphadenopathy,auroc,0.758
3,2026,disease,Emphysema,auroc,0.7988
3,2026,disease,Atelectasis,auroc,0.8089
3,2026,disease,Lung nodule,auroc,0.7428
3,2026,disease,Lung opacity,auroc,0.8691
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7483
3,2026,disease,Pleural effusion,auroc,0.9656
3,2026,disease,Mosaic attenuation pattern,auroc,0.8895
3,2026,disease,Peribronchial thickening,auroc,0.8071
3,2026,disease,Consolidation,auroc,0.9264
3,2026,disease,Bronchiectasis,auroc,0.803
3,2026,disease,Interlobular septal thickening,auroc,0.8765
3,2026,disease,macro,auroc,0.8489
3,2026,disease,micro,auroc,0.8597
4,2026,disease,Medical material,auroc,0.9309
4,2026,disease,Arterial wall calcification,auroc,0.9311
4,2026,disease,Cardiomegaly,auroc,0.9335
4,2026,disease,Pericardial effusion,auroc,0.8621
4,2026,disease,Coronary artery wall calcification,auroc,0.9346
4,2026,disease,Hiatal hernia,auroc,0.7089
4,2026,disease,Lymphadenopathy,auroc,0.7585
4,2026,disease,Emphysema,auroc,0.8101
4,2026,disease,Atelectasis,auroc,0.8134
4,2026,disease,Lung nodule,auroc,0.7434
4,2026,disease,Lung opacity,auroc,0.8691
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7539
4,2026,disease,Pleural effusion,auroc,0.9666
4,2026,disease,Mosaic attenuation pattern,auroc,0.8916
4,2026,disease,Peribronchial thickening,auroc,0.8098
4,2026,disease,Consolidation,auroc,0.9233
4,2026,disease,Bronchiectasis,auroc,0.8
4,2026,disease,Interlobular septal thickening,auroc,0.8807
4,2026,disease,macro,auroc,0.8512
4,2026,disease,micro,auroc,0.8602
5,2026,disease,Medical material,auroc,0.931
5,2026,disease,Arterial wall calcification,auroc,0.9304
5,2026,disease,Cardiomegaly,auroc,0.9322
5,2026,disease,Pericardial effusion,auroc,0.8591
