epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.5344
1,2026,location,1,r2,0.3046
1,2026,location,2,r2,0.4235
1,2026,location,mean,r2,0.4208
2,2026,location,0,r2,0.6175
2,2026,location,1,r2,0.5221
2,2026,location,2,r2,0.4507
2,2026,location,mean,r2,0.5301
3,2026,location,0,r2,0.6379
3,2026,location,1,r2,0.6131
3,2026,location,2,r2,0.499
3,2026,location,mean,r2,0.5833
4,2026,location,0,r2,0.6581
4,2026,location,1,r2,0.679
4,2026,location,2,r2,0.5255
4,2026,location,mean,r2,0.6209
5,2026,location,0,r2,0.716
5,2026,location,1,r2,0.6781
5,2026,location,2,r2,0.5282
5,2026,location,mean,r2,0.6407
6,2026,location,0,r2,0.6789
6,2026,location,1,r2,0.6994
6,2026,location,2,r2,0.5613
6,2026,location,mean,r2,0.6465
7,2026,location,0,r2,0.7138
7,2026,location,1,r2,0.7154
7,2026,location,2,r2,0.5962
7,2026,location,mean,r2,0.6751
8,2026,location,0,r2,0.745
8,2026,location,1,r2,0.7041
8,2026,location,2,r2,0.6209
8,2026,location,mean,r2,0.69
9,2026,location,0,r2,0.728
9,2026,location,1,r2,0.7308
9,2026,location,2,r2,0.6383
9,2026,location,mean,r2,0.6991
10,2026,location,0,r2,0.7273
10,2026,location,1,r2,0.7394
10,2026,location,2,r2,0.6292
10,2026,location,mean,r2,0.6986
1,2027,location,0,r2,0.2936
1,2027,location,1,r2,0.1928
1,2027,location,2,r2,0.4144
1,2027,location,mean,r2,0.3003
2,2027,location,0,r2,0.5951
2,2027,location,1,r2,0.4334
2,2027,location,2,r2,0.4602
2,2027,location,mean,r2,0.4962
3,2027,location,0,r2,0.636
3,2027,location,1,r2,0.5207
3,2027,location,2,r2,0.4552
3,2027,location,mean,r2,0.5373
4,2027,location,0,r2,0.7004
4,2027,location,1,r2,0.5847
4,2027,location,2,r2,0.5082
4,2027,location,mean,r2,0.5978
5,2027,location,0,r2,0.7079
5,2027,location,1,r2,0.6284
5,2027,location,2,r2,0.5744
5,2027,location,mean,r2,0.6369
6,2027,location,0,r2,0.714
6,2027,location,1,r2,0.6624
6,2027,location,2,r2,0.5993
6,2027,location,mean,r2,0.6586
7,2027,location,0,r2,0.7186
7,2027,location,1,r2,0.687
7,2027,location,2,r2,0.6118
7,2027,location,mean,r2,0.6725
8,2027,location,0,r2,0.7456
8,2027,location,1,r2,0.6908
8,2027,location,2,r2,0.6242
8,2027,location,mean,r2,0.6868
9,2027,location,0,r2,0.7262
9,2027,location,1,r2,0.7168
9,2027,location,2,r2,0.6372
9,2027,location,mean,r2,0.6934
10,2027,location,0,r2,0.7384
10,2027,location,1,r2,0.7126
10,2027,location,2,r2,0.6388
10,2027,location,mean,r2,0.6966
1,2028,location,0,r2,0.4614
1,2028,location,1,r2,0.3068
1,2028,location,2,r2,0.4344
1,2028,location,mean,r2,0.4008
2,2028,location,0,r2,0.6157
2,2028,location,1,r2,0.5424
2,2028,location,2,r2,0.4876
2,2028,location,mean,r2,0.5485
3,2028,location,0,r2,0.663
3,2028,location,1,r2,0.5858
3,2028,location,2,r2,0.508
3,2028,location,mean,r2,0.5856
4,2028,location,0,r2,0.6834
4,2028,location,1,r2,0.6605
4,2028,location,2,r2,0.5759
4,2028,location,mean,r2,0.6399
5,2028,location,0,r2,0.7148
5,2028,location,1,r2,0.6696
5,2028,location,2,r2,0.6066
5,2028,location,mean,r2,0.6636
6,2028,location,0,r2,0.6818
6,2028,location,1,r2,0.6993
6,2028,location,2,r2,0.6103
6,2028,location,mean,r2,0.6638
7,2028,location,0,r2,0.727
7,2028,location,1,r2,0.7212
7,2028,location,2,r2,0.6238
7,2028,location,mean,r2,0.6907
8,2028,location,0,r2,0.7279
8,2028,location,1,r2,0.7081
8,2028,location,2,r2,0.5976
8,2028,location,mean,r2,0.6779
9,2028,location,0,r2,0.7374
9,2028,location,1,r2,0.7294
9,2028,location,2,r2,0.6637
9,2028,location,mean,r2,0.7102
10,2028,location,0,r2,0.741
10,2028,location,1,r2,0.7294
10,2028,location,2,r2,0.6414
10,2028,location,mean,r2,0.7039
