epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9118
1,2026,radiomics,1,r2,0.2919
1,2026,radiomics,2,r2,0.8525
1,2026,radiomics,mean,r2,0.6854
2,2026,radiomics,0,r2,0.8987
2,2026,radiomics,1,r2,0.4124
2,2026,radiomics,2,r2,0.8716
2,2026,radiomics,mean,r2,0.7276
3,2026,radiomics,0,r2,0.9278
3,2026,radiomics,1,r2,0.489
3,2026,radiomics,2,r2,0.8829
3,2026,radiomics,mean,r2,0.7666
4,2026,radiomics,0,r2,0.9316
4,2026,radiomics,1,r2,0.5697
4,2026,radiomics,2,r2,0.8938
4,2026,radiomics,mean,r2,0.7984
5,2026,radiomics,0,r2,0.9325
5,2026,radiomics,1,r2,0.5956
5,2026,radiomics,2,r2,0.8971
5,2026,radiomics,mean,r2,0.8084
6,2026,radiomics,0,r2,0.9321
6,2026,radiomics,1,r2,0.5896
6,2026,radiomics,2,r2,0.9097
6,2026,radiomics,mean,r2,0.8105
7,2026,radiomics,0,r2,0.935
7,2026,radiomics,1,r2,0.5984
7,2026,radiomics,2,r2,0.9158
7,2026,radiomics,mean,r2,0.8164
8,2026,radiomics,0,r2,0.9332
8,2026,radiomics,1,r2,0.6199
8,2026,radiomics,2,r2,0.909
8,2026,radiomics,mean,r2,0.8207
9,2026,radiomics,0,r2,0.9354
9,2026,radiomics,1,r2,0.6552
9,2026,radiomics,2,r2,0.9179
9,2026,radiomics,mean,r2,0.8362
10,2026,radiomics,0,r2,0.9113
10,2026,radiomics,1,r2,0.6081
10,2026,radiomics,2,r2,0.9184
10,2026,radiomics,mean,r2,0.8126
1,2027,radiomics,0,r2,0.9077
1,2027,radiomics,1,r2,0.2382
1,2027,radiomics,2,r2,0.8413
1,2027,radiomics,mean,r2,0.6624
2,2027,radiomics,0,r2,0.918
2,2027,radiomics,1,r2,0.3726
2,2027,radiomics,2,r2,0.8886
2,2027,radiomics,mean,r2,0.7264
3,2027,radiomics,0,r2,0.9129
3,2027,radiomics,1,r2,0.4757
3,2027,radiomics,2,r2,0.8942
3,2027,radiomics,mean,r2,0.761
4,2027,radiomics,0,r2,0.9325
4,2027,radiomics,1,r2,0.5164
4,2027,radiomics,2,r2,0.8896
4,2027,radiomics,mean,r2,0.7795
5,2027,radiomics,0,r2,0.9311
5,2027,radiomics,1,r2,0.6007
5,2027,radiomics,2,r2,0.9022
5,2027,radiomics,mean,r2,0.8113
6,2027,radiomics,0,r2,0.9283
6,2027,radiomics,1,r2,0.5177
6,2027,radiomics,2,r2,0.9153
6,2027,radiomics,mean,r2,0.7871
7,2027,radiomics,0,r2,0.9309
7,2027,radiomics,1,r2,0.4476
7,2027,radiomics,2,r2,0.9164
7,2027,radiomics,mean,r2,0.765
8,2027,radiomics,0,r2,0.9361
8,2027,radiomics,1,r2,0.6334
8,2027,radiomics,2,r2,0.9161
8,2027,radiomics,mean,r2,0.8286
9,2027,radiomics,0,r2,0.9377
9,2027,radiomics,1,r2,0.604
9,2027,radiomics,2,r2,0.9167
9,2027,radiomics,mean,r2,0.8195
10,2027,radiomics,0,r2,0.9395
10,2027,radiomics,1,r2,0.6399
10,2027,radiomics,2,r2,0.9275
10,2027,radiomics,mean,r2,0.8356
1,2028,radiomics,0,r2,0.8972
1,2028,radiomics,1,r2,0.2379
1,2028,radiomics,2,r2,0.8735
1,2028,radiomics,mean,r2,0.6695
2,2028,radiomics,0,r2,0.9219
2,2028,radiomics,1,r2,0.3354
2,2028,radiomics,2,r2,0.8917
2,2028,radiomics,mean,r2,0.7163
3,2028,radiomics,0,r2,0.9271
3,2028,radiomics,1,r2,0.5041
3,2028,radiomics,2,r2,0.8971
3,2028,radiomics,mean,r2,0.7761
4,2028,radiomics,0,r2,0.9218
4,2028,radiomics,1,r2,0.538
4,2028,radiomics,2,r2,0.898
4,2028,radiomics,mean,r2,0.7859
5,2028,radiomics,0,r2,0.9317
5,2028,radiomics,1,r2,0.5604
5,2028,radiomics,2,r2,0.9114
5,2028,radiomics,mean,r2,0.8012
6,2028,radiomics,0,r2,0.9312
6,2028,radiomics,1,r2,0.6172
6,2028,radiomics,2,r2,0.9115
6,2028,radiomics,mean,r2,0.82
7,2028,radiomics,0,r2,0.9324
7,2028,radiomics,1,r2,0.6328
7,2028,radiomics,2,r2,0.9227
7,2028,radiomics,mean,r2,0.8293
8,2028,radiomics,0,r2,0.9337
8,2028,radiomics,1,r2,0.6266
8,2028,radiomics,2,r2,0.9184
8,2028,radiomics,mean,r2,0.8263
9,2028,radiomics,0,r2,0.9361
9,2028,radiomics,1,r2,0.5715
9,2028,radiomics,2,r2,0.9041
9,2028,radiomics,mean,r2,0.8039
10,2028,radiomics,0,r2,0.9384
10,2028,radiomics,1,r2,0.6322
10,2028,radiomics,2,r2,0.9187
10,2028,radiomics,mean,r2,0.8298
