epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8646
1,2026,size,1,r2,0.5556
1,2026,size,2,r2,0.5204
1,2026,size,3,r2,0.6407
1,2026,size,4,r2,0.7235
1,2026,size,mean,r2,0.661
2,2026,size,0,r2,0.8713
2,2026,size,1,r2,0.6005
2,2026,size,2,r2,0.5382
2,2026,size,3,r2,0.6368
2,2026,size,4,r2,0.7676
2,2026,size,mean,r2,0.6829
3,2026,size,0,r2,0.8928
3,2026,size,1,r2,0.6291
3,2026,size,2,r2,0.5261
3,2026,size,3,r2,0.6732
3,2026,size,4,r2,0.8005
3,2026,size,mean,r2,0.7043
4,2026,size,0,r2,0.8837
4,2026,size,1,r2,0.6433
4,2026,size,2,r2,0.5509
4,2026,size,3,r2,0.6718
4,2026,size,4,r2,0.7836
4,2026,size,mean,r2,0.7067
5,2026,size,0,r2,0.9013
5,2026,size,1,r2,0.6693
5,2026,size,2,r2,0.5565
5,2026,size,3,r2,0.6643
5,2026,size,4,r2,0.824
5,2026,size,mean,r2,0.7231
6,2026,size,0,r2,0.9064
6,2026,size,1,r2,0.6706
6,2026,size,2,r2,0.5541
6,2026,size,3,r2,0.6692
6,2026,size,4,r2,0.831
6,2026,size,mean,r2,0.7263
7,2026,size,0,r2,0.9039
7,2026,size,1,r2,0.6649
7,2026,size,2,r2,0.57
7,2026,size,3,r2,0.679
7,2026,size,4,r2,0.8303
7,2026,size,mean,r2,0.7296
8,2026,size,0,r2,0.8932
8,2026,size,1,r2,0.6724
8,2026,size,2,r2,0.5674
8,2026,size,3,r2,0.6755
8,2026,size,4,r2,0.8379
8,2026,size,mean,r2,0.7293
9,2026,size,0,r2,0.9112
9,2026,size,1,r2,0.6867
9,2026,size,2,r2,0.5736
9,2026,size,3,r2,0.6941
9,2026,size,4,r2,0.8362
9,2026,size,mean,r2,0.7404
10,2026,size,0,r2,0.9113
10,2026,size,1,r2,0.6997
10,2026,size,2,r2,0.577
10,2026,size,3,r2,0.6893
10,2026,size,4,r2,0.8362
10,2026,size,mean,r2,0.7427
1,2027,size,0,r2,0.876
1,2027,size,1,r2,0.5587
1,2027,size,2,r2,0.4664
1,2027,size,3,r2,0.6524
1,2027,size,4,r2,0.7427
1,2027,size,mean,r2,0.6592
2,2027,size,0,r2,0.8945
2,2027,size,1,r2,0.6174
2,2027,size,2,r2,0.5338
2,2027,size,3,r2,0.6445
2,2027,size,4,r2,0.7648
2,2027,size,mean,r2,0.691
3,2027,size,0,r2,0.8984
3,2027,size,1,r2,0.6463
