epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8112
1,2026,density,1,r2,0.6338
1,2026,density,2,r2,0.8937
1,2026,density,3,r2,0.8864
1,2026,density,mean,r2,0.8063
2,2026,density,0,r2,0.8338
2,2026,density,1,r2,0.7376
2,2026,density,2,r2,0.8994
2,2026,density,3,r2,0.902
2,2026,density,mean,r2,0.8432
3,2026,density,0,r2,0.8379
3,2026,density,1,r2,0.7804
3,2026,density,2,r2,0.9108
3,2026,density,3,r2,0.9083
3,2026,density,mean,r2,0.8593
4,2026,density,0,r2,0.851
4,2026,density,1,r2,0.7989
4,2026,density,2,r2,0.9145
4,2026,density,3,r2,0.9138
4,2026,density,mean,r2,0.8696
5,2026,density,0,r2,0.821
5,2026,density,1,r2,0.8074
5,2026,density,2,r2,0.9248
5,2026,density,3,r2,0.9145
5,2026,density,mean,r2,0.8669
6,2026,density,0,r2,0.8537
6,2026,density,1,r2,0.8105
6,2026,density,2,r2,0.917
6,2026,density,3,r2,0.9184
6,2026,density,mean,r2,0.8749
7,2026,density,0,r2,0.8579
7,2026,density,1,r2,0.811
7,2026,density,2,r2,0.9392
7,2026,density,3,r2,0.9236
7,2026,density,mean,r2,0.8829
8,2026,density,0,r2,0.8488
8,2026,density,1,r2,0.8438
8,2026,density,2,r2,0.9348
8,2026,density,3,r2,0.9235
8,2026,density,mean,r2,0.8877
9,2026,density,0,r2,0.8549
9,2026,density,1,r2,0.8682
9,2026,density,2,r2,0.9389
9,2026,density,3,r2,0.9251
9,2026,density,mean,r2,0.8968
10,2026,density,0,r2,0.8613
10,2026,density,1,r2,0.8592
10,2026,density,2,r2,0.9375
10,2026,density,3,r2,0.9242
10,2026,density,mean,r2,0.8956
1,2027,density,0,r2,0.7936
1,2027,density,1,r2,0.6299
1,2027,density,2,r2,0.8997
1,2027,density,3,r2,0.8918
1,2027,density,mean,r2,0.8038
2,2027,density,0,r2,0.8289
2,2027,density,1,r2,0.7015
2,2027,density,2,r2,0.9072
2,2027,density,3,r2,0.9062
2,2027,density,mean,r2,0.836
3,2027,density,0,r2,0.846
3,2027,density,1,r2,0.7601
3,2027,density,2,r2,0.9217
3,2027,density,3,r2,0.8965
3,2027,density,mean,r2,0.8561
4,2027,density,0,r2,0.8129
4,2027,density,1,r2,0.7997
4,2027,density,2,r2,0.9215
4,2027,density,3,r2,0.9142
4,2027,density,mean,r2,0.8621
5,2027,density,0,r2,0.8449
5,2027,density,1,r2,0.8215
5,2027,density,2,r2,0.9297
5,2027,density,3,r2,0.9081
5,2027,density,mean,r2,0.8761
6,2027,density,0,r2,0.8491
6,2027,density,1,r2,0.8165
6,2027,density,2,r2,0.9347
6,2027,density,3,r2,0.9192
6,2027,density,mean,r2,0.8799
7,2027,density,0,r2,0.8498
7,2027,density,1,r2,0.8225
7,2027,density,2,r2,0.9359
7,2027,density,3,r2,0.9204
7,2027,density,mean,r2,0.8821
8,2027,density,0,r2,0.8567
8,2027,density,1,r2,0.8147
8,2027,density,2,r2,0.9375
8,2027,density,3,r2,0.9211
8,2027,density,mean,r2,0.8825
9,2027,density,0,r2,0.85
9,2027,density,1,r2,0.8403
9,2027,density,2,r2,0.9242
9,2027,density,3,r2,0.9169
9,2027,density,mean,r2,0.8828
10,2027,density,0,r2,0.8639
10,2027,density,1,r2,0.8618
10,2027,density,2,r2,0.9402
10,2027,density,3,r2,0.9251
10,2027,density,mean,r2,0.8978
1,2028,density,0,r2,0.816
1,2028,density,1,r2,0.5904
1,2028,density,2,r2,0.8808
1,2028,density,3,r2,0.8817
1,2028,density,mean,r2,0.7922
2,2028,density,0,r2,0.83
2,2028,density,1,r2,0.7282
2,2028,density,2,r2,0.9106
2,2028,density,3,r2,0.8983
2,2028,density,mean,r2,0.8418
3,2028,density,0,r2,0.8373
3,2028,density,1,r2,0.7608
3,2028,density,2,r2,0.9152
3,2028,density,3,r2,0.9049
3,2028,density,mean,r2,0.8545
4,2028,density,0,r2,0.8159
4,2028,density,1,r2,0.804
4,2028,density,2,r2,0.9233
4,2028,density,3,r2,0.9108
4,2028,density,mean,r2,0.8635
5,2028,density,0,r2,0.8423
5,2028,density,1,r2,0.7756
5,2028,density,2,r2,0.9284
5,2028,density,3,r2,0.9176
5,2028,density,mean,r2,0.866
6,2028,density,0,r2,0.8523
6,2028,density,1,r2,0.8333
6,2028,density,2,r2,0.9275
6,2028,density,3,r2,0.9201
6,2028,density,mean,r2,0.8833
7,2028,density,0,r2,0.8394
7,2028,density,1,r2,0.805
7,2028,density,2,r2,0.9379
7,2028,density,3,r2,0.9232
7,2028,density,mean,r2,0.8764
8,2028,density,0,r2,0.8529
8,2028,density,1,r2,0.8402
8,2028,density,2,r2,0.9399
8,2028,density,3,r2,0.9199
8,2028,density,mean,r2,0.8882
9,2028,density,0,r2,0.8627
9,2028,density,1,r2,0.8569
9,2028,density,2,r2,0.9392
9,2028,density,3,r2,0.9186
9,2028,density,mean,r2,0.8943
10,2028,density,0,r2,0.8388
10,2028,density,1,r2,0.8527
10,2028,density,2,r2,0.9391
10,2028,density,3,r2,0.9267
10,2028,density,mean,r2,0.8893
