epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8972
1,2026,radiomics,1,r2,0.2769
1,2026,radiomics,2,r2,0.8256
1,2026,radiomics,mean,r2,0.6666
2,2026,radiomics,0,r2,0.9089
2,2026,radiomics,1,r2,0.3348
2,2026,radiomics,2,r2,0.843
2,2026,radiomics,mean,r2,0.6956
3,2026,radiomics,0,r2,0.8947
3,2026,radiomics,1,r2,0.4422
3,2026,radiomics,2,r2,0.8437
3,2026,radiomics,mean,r2,0.7269
4,2026,radiomics,0,r2,0.9043
4,2026,radiomics,1,r2,0.4429
4,2026,radiomics,2,r2,0.8568
4,2026,radiomics,mean,r2,0.7347
5,2026,radiomics,0,r2,0.9233
5,2026,radiomics,1,r2,0.369
5,2026,radiomics,2,r2,0.8738
5,2026,radiomics,mean,r2,0.722
6,2026,radiomics,0,r2,0.9097
6,2026,radiomics,1,r2,0.4536
6,2026,radiomics,2,r2,0.8697
6,2026,radiomics,mean,r2,0.7443
7,2026,radiomics,0,r2,0.9247
7,2026,radiomics,1,r2,0.5416
7,2026,radiomics,2,r2,0.8769
7,2026,radiomics,mean,r2,0.7811
8,2026,radiomics,0,r2,0.9241
8,2026,radiomics,1,r2,0.5431
8,2026,radiomics,2,r2,0.8752
8,2026,radiomics,mean,r2,0.7808
9,2026,radiomics,0,r2,0.9166
9,2026,radiomics,1,r2,0.4297
9,2026,radiomics,2,r2,0.8808
9,2026,radiomics,mean,r2,0.7423
10,2026,radiomics,0,r2,0.9214
10,2026,radiomics,1,r2,0.4212
10,2026,radiomics,2,r2,0.8832
10,2026,radiomics,mean,r2,0.7419
1,2027,radiomics,0,r2,0.9019
1,2027,radiomics,1,r2,0.2351
1,2027,radiomics,2,r2,0.8308
1,2027,radiomics,mean,r2,0.6559
2,2027,radiomics,0,r2,0.9021
2,2027,radiomics,1,r2,0.3577
2,2027,radiomics,2,r2,0.8472
2,2027,radiomics,mean,r2,0.7023
3,2027,radiomics,0,r2,0.9012
3,2027,radiomics,1,r2,0.4352
3,2027,radiomics,2,r2,0.8606
3,2027,radiomics,mean,r2,0.7323
4,2027,radiomics,0,r2,0.9003
4,2027,radiomics,1,r2,0.4745
4,2027,radiomics,2,r2,0.8618
4,2027,radiomics,mean,r2,0.7455
5,2027,radiomics,0,r2,0.9128
5,2027,radiomics,1,r2,0.4648
5,2027,radiomics,2,r2,0.8668
5,2027,radiomics,mean,r2,0.7481
6,2027,radiomics,0,r2,0.9235
6,2027,radiomics,1,r2,0.5455
6,2027,radiomics,2,r2,0.8668
6,2027,radiomics,mean,r2,0.7786
7,2027,radiomics,0,r2,0.9117
7,2027,radiomics,1,r2,0.5009
7,2027,radiomics,2,r2,0.8772
7,2027,radiomics,mean,r2,0.7633
8,2027,radiomics,0,r2,0.9141
8,2027,radiomics,1,r2,0.616
8,2027,radiomics,2,r2,0.8777
8,2027,radiomics,mean,r2,0.8026
9,2027,radiomics,0,r2,0.9236
9,2027,radiomics,1,r2,0.5825
9,2027,radiomics,2,r2,0.8654
9,2027,radiomics,mean,r2,0.7905
10,2027,radiomics,0,r2,0.922
10,2027,radiomics,1,r2,0.5675
10,2027,radiomics,2,r2,0.8775
10,2027,radiomics,mean,r2,0.789
1,2028,radiomics,0,r2,0.8912
1,2028,radiomics,1,r2,0.2616
1,2028,radiomics,2,r2,0.8278
1,2028,radiomics,mean,r2,0.6602
2,2028,radiomics,0,r2,0.9029
2,2028,radiomics,1,r2,0.3317
2,2028,radiomics,2,r2,0.8455
2,2028,radiomics,mean,r2,0.6934
3,2028,radiomics,0,r2,0.9041
3,2028,radiomics,1,r2,0.3853
3,2028,radiomics,2,r2,0.8614
3,2028,radiomics,mean,r2,0.7169
4,2028,radiomics,0,r2,0.918
4,2028,radiomics,1,r2,0.3691
4,2028,radiomics,2,r2,0.8503
4,2028,radiomics,mean,r2,0.7125
5,2028,radiomics,0,r2,0.9161
5,2028,radiomics,1,r2,0.3732
5,2028,radiomics,2,r2,0.8734
5,2028,radiomics,mean,r2,0.7209
6,2028,radiomics,0,r2,0.9186
6,2028,radiomics,1,r2,0.3807
6,2028,radiomics,2,r2,0.8736
6,2028,radiomics,mean,r2,0.7243
7,2028,radiomics,0,r2,0.923
7,2028,radiomics,1,r2,0.511
7,2028,radiomics,2,r2,0.8818
7,2028,radiomics,mean,r2,0.7719
8,2028,radiomics,0,r2,0.9055
8,2028,radiomics,1,r2,0.526
8,2028,radiomics,2,r2,0.8823
8,2028,radiomics,mean,r2,0.7712
9,2028,radiomics,0,r2,0.9175
9,2028,radiomics,1,r2,0.5452
9,2028,radiomics,2,r2,0.8782
9,2028,radiomics,mean,r2,0.7803
10,2028,radiomics,0,r2,0.9251
10,2028,radiomics,1,r2,0.4781
10,2028,radiomics,2,r2,0.8824
10,2028,radiomics,mean,r2,0.7618
