epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8408
1,2026,size,1,r2,0.5397
1,2026,size,2,r2,0.4755
1,2026,size,3,r2,0.62
1,2026,size,4,r2,0.6542
1,2026,size,mean,r2,0.626
2,2026,size,0,r2,0.8598
2,2026,size,1,r2,0.5947
2,2026,size,2,r2,0.4951
2,2026,size,3,r2,0.6431
2,2026,size,4,r2,0.7103
2,2026,size,mean,r2,0.6606
3,2026,size,0,r2,0.8601
3,2026,size,1,r2,0.5543
3,2026,size,2,r2,0.5143
3,2026,size,3,r2,0.6385
3,2026,size,4,r2,0.7163
3,2026,size,mean,r2,0.6567
4,2026,size,0,r2,0.8617
4,2026,size,1,r2,0.5975
4,2026,size,2,r2,0.5177
4,2026,size,3,r2,0.6352
4,2026,size,4,r2,0.7233
4,2026,size,mean,r2,0.6671
5,2026,size,0,r2,0.868
5,2026,size,1,r2,0.6145
5,2026,size,2,r2,0.5306
5,2026,size,3,r2,0.6448
5,2026,size,4,r2,0.7383
5,2026,size,mean,r2,0.6792
6,2026,size,0,r2,0.8653
6,2026,size,1,r2,0.6363
6,2026,size,2,r2,0.5433
6,2026,size,3,r2,0.6562
6,2026,size,4,r2,0.738
6,2026,size,mean,r2,0.6878
7,2026,size,0,r2,0.8703
7,2026,size,1,r2,0.6325
7,2026,size,2,r2,0.5378
7,2026,size,3,r2,0.6641
7,2026,size,4,r2,0.7355
7,2026,size,mean,r2,0.688
8,2026,size,0,r2,0.8651
8,2026,size,1,r2,0.6308
8,2026,size,2,r2,0.5463
8,2026,size,3,r2,0.6543
8,2026,size,4,r2,0.7291
8,2026,size,mean,r2,0.6851
9,2026,size,0,r2,0.878
9,2026,size,1,r2,0.6227
9,2026,size,2,r2,0.5522
9,2026,size,3,r2,0.651
9,2026,size,4,r2,0.7331
9,2026,size,mean,r2,0.6874
10,2026,size,0,r2,0.8799
10,2026,size,1,r2,0.6541
10,2026,size,2,r2,0.5419
10,2026,size,3,r2,0.6689
10,2026,size,4,r2,0.7464
10,2026,size,mean,r2,0.6982
1,2027,size,0,r2,0.8257
1,2027,size,1,r2,0.5469
1,2027,size,2,r2,0.477
1,2027,size,3,r2,0.63
1,2027,size,4,r2,0.7248
1,2027,size,mean,r2,0.6409
2,2027,size,0,r2,0.8432
2,2027,size,1,r2,0.5703
2,2027,size,2,r2,0.5008
2,2027,size,3,r2,0.6505
2,2027,size,4,r2,0.7375
2,2027,size,mean,r2,0.6605
3,2027,size,0,r2,0.8583
3,2027,size,1,r2,0.5915
3,2027,size,2,r2,0.5132
3,2027,size,3,r2,0.6261
3,2027,size,4,r2,0.7092
3,2027,size,mean,r2,0.6596
4,2027,size,0,r2,0.865
4,2027,size,1,r2,0.6064
4,2027,size,2,r2,0.5399
4,2027,size,3,r2,0.6458
4,2027,size,4,r2,0.7384
4,2027,size,mean,r2,0.6791
5,2027,size,0,r2,0.8691
5,2027,size,1,r2,0.6464
5,2027,size,2,r2,0.5356
5,2027,size,3,r2,0.6595
5,2027,size,4,r2,0.7487
5,2027,size,mean,r2,0.6919
6,2027,size,0,r2,0.8691
6,2027,size,1,r2,0.6457
6,2027,size,2,r2,0.5418
6,2027,size,3,r2,0.669
6,2027,size,4,r2,0.7464
6,2027,size,mean,r2,0.6944
7,2027,size,0,r2,0.8788
7,2027,size,1,r2,0.6573
7,2027,size,2,r2,0.5426
7,2027,size,3,r2,0.6658
7,2027,size,4,r2,0.7512
7,2027,size,mean,r2,0.6992
8,2027,size,0,r2,0.8775
8,2027,size,1,r2,0.6135
8,2027,size,2,r2,0.5307
8,2027,size,3,r2,0.6483
8,2027,size,4,r2,0.7458
8,2027,size,mean,r2,0.6832
9,2027,size,0,r2,0.876
9,2027,size,1,r2,0.6474
9,2027,size,2,r2,0.5346
9,2027,size,3,r2,0.6589
9,2027,size,4,r2,0.752
9,2027,size,mean,r2,0.6938
10,2027,size,0,r2,0.8828
10,2027,size,1,r2,0.649
10,2027,size,2,r2,0.5424
10,2027,size,3,r2,0.6414
10,2027,size,4,r2,0.7508
10,2027,size,mean,r2,0.6933
1,2028,size,0,r2,0.8281
1,2028,size,1,r2,0.5357
1,2028,size,2,r2,0.4642
1,2028,size,3,r2,0.6345
1,2028,size,4,r2,0.6798
1,2028,size,mean,r2,0.6285
2,2028,size,0,r2,0.8357
2,2028,size,1,r2,0.5615
2,2028,size,2,r2,0.4952
2,2028,size,3,r2,0.6433
2,2028,size,4,r2,0.7184
2,2028,size,mean,r2,0.6508
3,2028,size,0,r2,0.8481
3,2028,size,1,r2,0.6081
3,2028,size,2,r2,0.491
3,2028,size,3,r2,0.651
3,2028,size,4,r2,0.7277
3,2028,size,mean,r2,0.6652
4,2028,size,0,r2,0.8703
4,2028,size,1,r2,0.6107
4,2028,size,2,r2,0.4973
4,2028,size,3,r2,0.6602
4,2028,size,4,r2,0.7349
4,2028,size,mean,r2,0.6747
5,2028,size,0,r2,0.8625
5,2028,size,1,r2,0.5744
5,2028,size,2,r2,0.4873
5,2028,size,3,r2,0.6559
5,2028,size,4,r2,0.7284
5,2028,size,mean,r2,0.6617
6,2028,size,0,r2,0.8713
6,2028,size,1,r2,0.598
6,2028,size,2,r2,0.5225
6,2028,size,3,r2,0.658
6,2028,size,4,r2,0.7291
6,2028,size,mean,r2,0.6758
7,2028,size,0,r2,0.8723
7,2028,size,1,r2,0.6207
7,2028,size,2,r2,0.5226
7,2028,size,3,r2,0.6473
7,2028,size,4,r2,0.7377
7,2028,size,mean,r2,0.6801
8,2028,size,0,r2,0.8761
8,2028,size,1,r2,0.6276
8,2028,size,2,r2,0.5327
8,2028,size,3,r2,0.6523
8,2028,size,4,r2,0.7355
8,2028,size,mean,r2,0.6848
9,2028,size,0,r2,0.8651
9,2028,size,1,r2,0.6241
9,2028,size,2,r2,0.5276
9,2028,size,3,r2,0.6431
9,2028,size,4,r2,0.7275
9,2028,size,mean,r2,0.6775
10,2028,size,0,r2,0.8826
10,2028,size,1,r2,0.6252
10,2028,size,2,r2,0.5139
10,2028,size,3,r2,0.6565
10,2028,size,4,r2,0.7427
10,2028,size,mean,r2,0.6842
