epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.1696
1,2026,density,1,r2,0.3622
1,2026,density,2,r2,0.1989
1,2026,density,3,r2,0.1734
1,2026,density,mean,r2,0.226
2,2026,density,0,r2,0.2545
2,2026,density,1,r2,0.4874
2,2026,density,2,r2,0.3678
2,2026,density,3,r2,0.3141
2,2026,density,mean,r2,0.356
3,2026,density,0,r2,0.2342
3,2026,density,1,r2,0.5274
3,2026,density,2,r2,0.3563
3,2026,density,3,r2,0.3402
3,2026,density,mean,r2,0.3645
4,2026,density,0,r2,0.3027
4,2026,density,1,r2,0.5373
4,2026,density,2,r2,0.4015
4,2026,density,3,r2,0.3504
4,2026,density,mean,r2,0.398
5,2026,density,0,r2,0.3008
5,2026,density,1,r2,0.5613
5,2026,density,2,r2,0.4258
5,2026,density,3,r2,0.3373
5,2026,density,mean,r2,0.4063
6,2026,density,0,r2,0.2798
6,2026,density,1,r2,0.5605
6,2026,density,2,r2,0.4162
6,2026,density,3,r2,0.3641
6,2026,density,mean,r2,0.4051
7,2026,density,0,r2,0.3411
7,2026,density,1,r2,0.577
7,2026,density,2,r2,0.4314
7,2026,density,3,r2,0.3766
7,2026,density,mean,r2,0.4315
8,2026,density,0,r2,0.3412
8,2026,density,1,r2,0.5731
8,2026,density,2,r2,0.4319
8,2026,density,3,r2,0.3874
8,2026,density,mean,r2,0.4334
9,2026,density,0,r2,0.3507
9,2026,density,1,r2,0.5573
9,2026,density,2,r2,0.4306
9,2026,density,3,r2,0.3808
9,2026,density,mean,r2,0.4299
10,2026,density,0,r2,0.3766
10,2026,density,1,r2,0.5853
10,2026,density,2,r2,0.4362
10,2026,density,3,r2,0.3827
10,2026,density,mean,r2,0.4452
11,2026,density,0,r2,0.3736
11,2026,density,1,r2,0.5653
11,2026,density,2,r2,0.447
11,2026,density,3,r2,0.3553
11,2026,density,mean,r2,0.4353
12,2026,density,0,r2,0.3927
12,2026,density,1,r2,0.5859
12,2026,density,2,r2,0.4539
12,2026,density,3,r2,0.4015
12,2026,density,mean,r2,0.4585
13,2026,density,0,r2,0.3865
13,2026,density,1,r2,0.6001
13,2026,density,2,r2,0.4439
13,2026,density,3,r2,0.3677
13,2026,density,mean,r2,0.4495
14,2026,density,0,r2,0.3248
14,2026,density,1,r2,0.5859
14,2026,density,2,r2,0.434
14,2026,density,3,r2,0.2951
14,2026,density,mean,r2,0.41
15,2026,density,0,r2,0.3937
15,2026,density,1,r2,0.5928
15,2026,density,2,r2,0.4627
15,2026,density,3,r2,0.3751
15,2026,density,mean,r2,0.4561
16,2026,density,0,r2,0.4118
16,2026,density,1,r2,0.5905
16,2026,density,2,r2,0.4019
16,2026,density,3,r2,0.3736
16,2026,density,mean,r2,0.4445
17,2026,density,0,r2,0.3853
17,2026,density,1,r2,0.6039
17,2026,density,2,r2,0.4277
17,2026,density,3,r2,0.4021
17,2026,density,mean,r2,0.4548
18,2026,density,0,r2,0.413
18,2026,density,1,r2,0.6083
18,2026,density,2,r2,0.4743
18,2026,density,3,r2,0.4246
18,2026,density,mean,r2,0.48
19,2026,density,0,r2,0.3908
19,2026,density,1,r2,0.5976
19,2026,density,2,r2,0.4695
19,2026,density,3,r2,0.4109
19,2026,density,mean,r2,0.4672
20,2026,density,0,r2,0.3886
20,2026,density,1,r2,0.6058
20,2026,density,2,r2,0.4827
20,2026,density,3,r2,0.4324
20,2026,density,mean,r2,0.4774
