epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.5703
1,2026,disease,Arterial wall calcification,auroc,0.6688
1,2026,disease,Cardiomegaly,auroc,0.6273
1,2026,disease,Pericardial effusion,auroc,0.6299
1,2026,disease,Coronary artery wall calcification,auroc,0.6747
1,2026,disease,Hiatal hernia,auroc,0.5983
1,2026,disease,Lymphadenopathy,auroc,0.5784
1,2026,disease,Emphysema,auroc,0.5881
1,2026,disease,Atelectasis,auroc,0.587
1,2026,disease,Lung nodule,auroc,0.5818
1,2026,disease,Lung opacity,auroc,0.5046
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.588
1,2026,disease,Pleural effusion,auroc,0.613
1,2026,disease,Mosaic attenuation pattern,auroc,0.6123
1,2026,disease,Peribronchial thickening,auroc,0.6578
1,2026,disease,Consolidation,auroc,0.5313
1,2026,disease,Bronchiectasis,auroc,0.5813
1,2026,disease,Interlobular septal thickening,auroc,0.5687
1,2026,disease,macro,auroc,0.5979
1,2026,disease,micro,auroc,0.6154
2,2026,disease,Medical material,auroc,0.6319
2,2026,disease,Arterial wall calcification,auroc,0.709
2,2026,disease,Cardiomegaly,auroc,0.703
2,2026,disease,Pericardial effusion,auroc,0.6998
2,2026,disease,Coronary artery wall calcification,auroc,0.709
2,2026,disease,Hiatal hernia,auroc,0.6219
2,2026,disease,Lymphadenopathy,auroc,0.6013
2,2026,disease,Emphysema,auroc,0.6144
2,2026,disease,Atelectasis,auroc,0.6146
2,2026,disease,Lung nodule,auroc,0.5649
2,2026,disease,Lung opacity,auroc,0.549
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.582
2,2026,disease,Pleural effusion,auroc,0.6779
2,2026,disease,Mosaic attenuation pattern,auroc,0.65
2,2026,disease,Peribronchial thickening,auroc,0.672
2,2026,disease,Consolidation,auroc,0.5613
2,2026,disease,Bronchiectasis,auroc,0.5712
2,2026,disease,Interlobular septal thickening,auroc,0.627
2,2026,disease,macro,auroc,0.6311
2,2026,disease,micro,auroc,0.6099
3,2026,disease,Medical material,auroc,0.6326
3,2026,disease,Arterial wall calcification,auroc,0.7278
3,2026,disease,Cardiomegaly,auroc,0.7158
3,2026,disease,Pericardial effusion,auroc,0.7121
3,2026,disease,Coronary artery wall calcification,auroc,0.731
3,2026,disease,Hiatal hernia,auroc,0.6342
3,2026,disease,Lymphadenopathy,auroc,0.6128
