epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.3214
1,2026,radiomics,1,r2,0.0976
1,2026,radiomics,2,r2,0.3275
1,2026,radiomics,mean,r2,0.2489
2,2026,radiomics,0,r2,0.3271
2,2026,radiomics,1,r2,0.1822
2,2026,radiomics,2,r2,0.3574
2,2026,radiomics,mean,r2,0.2889
3,2026,radiomics,0,r2,0.3819
3,2026,radiomics,1,r2,0.2163
3,2026,radiomics,2,r2,0.3754
3,2026,radiomics,mean,r2,0.3245
4,2026,radiomics,0,r2,0.3725
4,2026,radiomics,1,r2,0.2421
4,2026,radiomics,2,r2,0.3813
4,2026,radiomics,mean,r2,0.332
5,2026,radiomics,0,r2,0.335
5,2026,radiomics,1,r2,0.25
5,2026,radiomics,2,r2,0.3349
5,2026,radiomics,mean,r2,0.3066
6,2026,radiomics,0,r2,0.404
6,2026,radiomics,1,r2,0.2392
6,2026,radiomics,2,r2,0.3986
6,2026,radiomics,mean,r2,0.3473
7,2026,radiomics,0,r2,0.4127
7,2026,radiomics,1,r2,0.2876
7,2026,radiomics,2,r2,0.4058
7,2026,radiomics,mean,r2,0.3687
8,2026,radiomics,0,r2,0.4142
8,2026,radiomics,1,r2,0.3883
8,2026,radiomics,2,r2,0.4213
8,2026,radiomics,mean,r2,0.4079
9,2026,radiomics,0,r2,0.413
9,2026,radiomics,1,r2,0.3519
9,2026,radiomics,2,r2,0.4174
9,2026,radiomics,mean,r2,0.3941
10,2026,radiomics,0,r2,0.4032
10,2026,radiomics,1,r2,0.4669
10,2026,radiomics,2,r2,0.4155
10,2026,radiomics,mean,r2,0.4285
11,2026,radiomics,0,r2,0.4144
11,2026,radiomics,1,r2,0.4345
11,2026,radiomics,2,r2,0.415
11,2026,radiomics,mean,r2,0.4213
12,2026,radiomics,0,r2,0.4344
12,2026,radiomics,1,r2,0.396
12,2026,radiomics,2,r2,0.4039
12,2026,radiomics,mean,r2,0.4114
13,2026,radiomics,0,r2,0.4243
13,2026,radiomics,1,r2,0.4394
13,2026,radiomics,2,r2,0.4252
13,2026,radiomics,mean,r2,0.4296
14,2026,radiomics,0,r2,0.4289
14,2026,radiomics,1,r2,0.4321
14,2026,radiomics,2,r2,0.4415
14,2026,radiomics,mean,r2,0.4342
15,2026,radiomics,0,r2,0.4182
15,2026,radiomics,1,r2,0.4371
15,2026,radiomics,2,r2,0.4389
15,2026,radiomics,mean,r2,0.4314
16,2026,radiomics,0,r2,0.4033
16,2026,radiomics,1,r2,0.4609
16,2026,radiomics,2,r2,0.3913
16,2026,radiomics,mean,r2,0.4185
17,2026,radiomics,0,r2,0.433
17,2026,radiomics,1,r2,0.485
17,2026,radiomics,2,r2,0.4235
17,2026,radiomics,mean,r2,0.4472
18,2026,radiomics,0,r2,0.4364
18,2026,radiomics,1,r2,0.4923
18,2026,radiomics,2,r2,0.4505
18,2026,radiomics,mean,r2,0.4597
19,2026,radiomics,0,r2,0.4444
19,2026,radiomics,1,r2,0.356
19,2026,radiomics,2,r2,0.4411
19,2026,radiomics,mean,r2,0.4138
20,2026,radiomics,0,r2,0.4494
20,2026,radiomics,1,r2,0.4359
20,2026,radiomics,2,r2,0.4105
20,2026,radiomics,mean,r2,0.4319
