epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.347
1,2026,size,1,r2,0.0698
1,2026,size,2,r2,0.2037
1,2026,size,3,r2,0.2766
1,2026,size,4,r2,0.3064
1,2026,size,mean,r2,0.2407
2,2026,size,0,r2,0.4115
2,2026,size,1,r2,0.1085
2,2026,size,2,r2,0.2597
2,2026,size,3,r2,0.2952
2,2026,size,4,r2,0.4007
2,2026,size,mean,r2,0.2951
3,2026,size,0,r2,0.4644
3,2026,size,1,r2,0.0903
3,2026,size,2,r2,0.2313
3,2026,size,3,r2,0.3254
3,2026,size,4,r2,0.4382
3,2026,size,mean,r2,0.3099
4,2026,size,0,r2,0.4682
4,2026,size,1,r2,0.2185
4,2026,size,2,r2,0.3029
4,2026,size,3,r2,0.3935
4,2026,size,4,r2,0.4256
4,2026,size,mean,r2,0.3617
5,2026,size,0,r2,0.5058
5,2026,size,1,r2,0.2769
5,2026,size,2,r2,0.316
5,2026,size,3,r2,0.3821
5,2026,size,4,r2,0.4695
5,2026,size,mean,r2,0.39
6,2026,size,0,r2,0.5327
6,2026,size,1,r2,0.2777
6,2026,size,2,r2,0.3271
6,2026,size,3,r2,0.4107
6,2026,size,4,r2,0.4888
6,2026,size,mean,r2,0.4074
7,2026,size,0,r2,0.5276
7,2026,size,1,r2,0.2911
7,2026,size,2,r2,0.3438
7,2026,size,3,r2,0.3149
7,2026,size,4,r2,0.4517
7,2026,size,mean,r2,0.3858
8,2026,size,0,r2,0.5508
8,2026,size,1,r2,0.3153
8,2026,size,2,r2,0.3458
8,2026,size,3,r2,0.4272
8,2026,size,4,r2,0.5007
8,2026,size,mean,r2,0.428
9,2026,size,0,r2,0.5159
9,2026,size,1,r2,0.3003
9,2026,size,2,r2,0.3276
9,2026,size,3,r2,0.4093
9,2026,size,4,r2,0.4923
9,2026,size,mean,r2,0.4091
10,2026,size,0,r2,0.5455
10,2026,size,1,r2,0.3453
10,2026,size,2,r2,0.3685
10,2026,size,3,r2,0.4384
10,2026,size,4,r2,0.5069
10,2026,size,mean,r2,0.4409
11,2026,size,0,r2,0.5566
11,2026,size,1,r2,0.3303
11,2026,size,2,r2,0.3603
11,2026,size,3,r2,0.4155
11,2026,size,4,r2,0.4859
11,2026,size,mean,r2,0.4297
12,2026,size,0,r2,0.5435
12,2026,size,1,r2,0.3112
12,2026,size,2,r2,0.3344
12,2026,size,3,r2,0.4279
12,2026,size,4,r2,0.5179
12,2026,size,mean,r2,0.427
13,2026,size,0,r2,0.5641
13,2026,size,1,r2,0.3129
13,2026,size,2,r2,0.3322
13,2026,size,3,r2,0.4345
13,2026,size,4,r2,0.5185
13,2026,size,mean,r2,0.4324
14,2026,size,0,r2,0.5756
14,2026,size,1,r2,0.3504
14,2026,size,2,r2,0.3749
14,2026,size,3,r2,0.4538
14,2026,size,4,r2,0.5371
14,2026,size,mean,r2,0.4584
15,2026,size,0,r2,0.5357
15,2026,size,1,r2,0.2682
15,2026,size,2,r2,0.3193
15,2026,size,3,r2,0.4195
15,2026,size,4,r2,0.5098
15,2026,size,mean,r2,0.4105
16,2026,size,0,r2,0.5677
16,2026,size,1,r2,0.3237
16,2026,size,2,r2,0.3429
16,2026,size,3,r2,0.4316
16,2026,size,4,r2,0.5412
16,2026,size,mean,r2,0.4414
17,2026,size,0,r2,0.581
17,2026,size,1,r2,0.3427
17,2026,size,2,r2,0.3751
17,2026,size,3,r2,0.4102
17,2026,size,4,r2,0.5439
17,2026,size,mean,r2,0.4506
18,2026,size,0,r2,0.5737
18,2026,size,1,r2,0.3582
18,2026,size,2,r2,0.3772
18,2026,size,3,r2,0.4486
18,2026,size,4,r2,0.5451
18,2026,size,mean,r2,0.4606
19,2026,size,0,r2,0.5763
19,2026,size,1,r2,0.3309
19,2026,size,2,r2,0.3753
19,2026,size,3,r2,0.4266
19,2026,size,4,r2,0.5366
19,2026,size,mean,r2,0.4491
20,2026,size,0,r2,0.5713
20,2026,size,1,r2,0.3586
20,2026,size,2,r2,0.378
20,2026,size,3,r2,0.45
20,2026,size,4,r2,0.5317
20,2026,size,mean,r2,0.4579
