epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.1876
1,2026,density,1,r2,0.3141
1,2026,density,2,r2,0.2967
1,2026,density,3,r2,0.239
1,2026,density,mean,r2,0.2593
2,2026,density,0,r2,0.2613
2,2026,density,1,r2,0.4277
2,2026,density,2,r2,0.3849
2,2026,density,3,r2,0.3212
2,2026,density,mean,r2,0.3488
3,2026,density,0,r2,0.3103
3,2026,density,1,r2,0.4628
3,2026,density,2,r2,0.3097
3,2026,density,3,r2,0.2989
3,2026,density,mean,r2,0.3454
4,2026,density,0,r2,0.3935
4,2026,density,1,r2,0.5168
4,2026,density,2,r2,0.4356
4,2026,density,3,r2,0.3695
4,2026,density,mean,r2,0.4289
5,2026,density,0,r2,0.416
5,2026,density,1,r2,0.5436
5,2026,density,2,r2,0.4212
5,2026,density,3,r2,0.3458
5,2026,density,mean,r2,0.4316
6,2026,density,0,r2,0.4202
6,2026,density,1,r2,0.5223
6,2026,density,2,r2,0.4163
6,2026,density,3,r2,0.369
6,2026,density,mean,r2,0.4319
7,2026,density,0,r2,0.4057
7,2026,density,1,r2,0.504
7,2026,density,2,r2,0.4605
7,2026,density,3,r2,0.3939
7,2026,density,mean,r2,0.441
8,2026,density,0,r2,0.4513
8,2026,density,1,r2,0.5846
8,2026,density,2,r2,0.4666
8,2026,density,3,r2,0.3958
8,2026,density,mean,r2,0.4746
9,2026,density,0,r2,0.4453
9,2026,density,1,r2,0.5675
9,2026,density,2,r2,0.4668
9,2026,density,3,r2,0.4061
9,2026,density,mean,r2,0.4714
10,2026,density,0,r2,0.4466
10,2026,density,1,r2,0.5613
10,2026,density,2,r2,0.3917
10,2026,density,3,r2,0.365
10,2026,density,mean,r2,0.4412
11,2026,density,0,r2,0.4598
11,2026,density,1,r2,0.5838
11,2026,density,2,r2,0.4745
11,2026,density,3,r2,0.4141
11,2026,density,mean,r2,0.483
12,2026,density,0,r2,0.4237
12,2026,density,1,r2,0.5819
12,2026,density,2,r2,0.4481
12,2026,density,3,r2,0.3854
12,2026,density,mean,r2,0.4598
13,2026,density,0,r2,0.4315
13,2026,density,1,r2,0.5931
13,2026,density,2,r2,0.4377
13,2026,density,3,r2,0.4095
13,2026,density,mean,r2,0.468
