epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.6178
1,2026,disease,Arterial wall calcification,auroc,0.7048
1,2026,disease,Cardiomegaly,auroc,0.6694
1,2026,disease,Pericardial effusion,auroc,0.6469
1,2026,disease,Coronary artery wall calcification,auroc,0.7037
1,2026,disease,Hiatal hernia,auroc,0.6147
1,2026,disease,Lymphadenopathy,auroc,0.6029
1,2026,disease,Emphysema,auroc,0.601
1,2026,disease,Atelectasis,auroc,0.6036
1,2026,disease,Lung nodule,auroc,0.5484
1,2026,disease,Lung opacity,auroc,0.5346
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.5745
1,2026,disease,Pleural effusion,auroc,0.6636
1,2026,disease,Mosaic attenuation pattern,auroc,0.6271
1,2026,disease,Peribronchial thickening,auroc,0.6611
1,2026,disease,Consolidation,auroc,0.5514
1,2026,disease,Bronchiectasis,auroc,0.5361
1,2026,disease,Interlobular septal thickening,auroc,0.6075
1,2026,disease,macro,auroc,0.6149
1,2026,disease,micro,auroc,0.6022
2,2026,disease,Medical material,auroc,0.6327
2,2026,disease,Arterial wall calcification,auroc,0.7594
2,2026,disease,Cardiomegaly,auroc,0.7316
2,2026,disease,Pericardial effusion,auroc,0.7009
2,2026,disease,Coronary artery wall calcification,auroc,0.7581
2,2026,disease,Hiatal hernia,auroc,0.6347
2,2026,disease,Lymphadenopathy,auroc,0.6319
2,2026,disease,Emphysema,auroc,0.6495
2,2026,disease,Atelectasis,auroc,0.6319
2,2026,disease,Lung nodule,auroc,0.5827
2,2026,disease,Lung opacity,auroc,0.5328
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.561
2,2026,disease,Pleural effusion,auroc,0.7251
2,2026,disease,Mosaic attenuation pattern,auroc,0.6595
2,2026,disease,Peribronchial thickening,auroc,0.6955
2,2026,disease,Consolidation,auroc,0.5718
2,2026,disease,Bronchiectasis,auroc,0.6066
2,2026,disease,Interlobular septal thickening,auroc,0.6681
2,2026,disease,macro,auroc,0.6519
2,2026,disease,micro,auroc,0.6566
3,2026,disease,Medical material,auroc,0.7052
3,2026,disease,Arterial wall calcification,auroc,0.7814
3,2026,disease,Cardiomegaly,auroc,0.8199
3,2026,disease,Pericardial effusion,auroc,0.7182
3,2026,disease,Coronary artery wall calcification,auroc,0.7738
3,2026,disease,Hiatal hernia,auroc,0.6559
3,2026,disease,Lymphadenopathy,auroc,0.642
3,2026,disease,Emphysema,auroc,0.6494
3,2026,disease,Atelectasis,auroc,0.6401
3,2026,disease,Lung nodule,auroc,0.5918
3,2026,disease,Lung opacity,auroc,0.5753
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.5596
3,2026,disease,Pleural effusion,auroc,0.7797
3,2026,disease,Mosaic attenuation pattern,auroc,0.7137
3,2026,disease,Peribronchial thickening,auroc,0.696
3,2026,disease,Consolidation,auroc,0.6118
3,2026,disease,Bronchiectasis,auroc,0.6139
3,2026,disease,Interlobular septal thickening,auroc,0.6905
3,2026,disease,macro,auroc,0.6788
3,2026,disease,micro,auroc,0.667
4,2026,disease,Medical material,auroc,0.7117
4,2026,disease,Arterial wall calcification,auroc,0.7839
4,2026,disease,Cardiomegaly,auroc,0.8342
4,2026,disease,Pericardial effusion,auroc,0.7039
4,2026,disease,Coronary artery wall calcification,auroc,0.7808
4,2026,disease,Hiatal hernia,auroc,0.6492
4,2026,disease,Lymphadenopathy,auroc,0.6481
4,2026,disease,Emphysema,auroc,0.6511
4,2026,disease,Atelectasis,auroc,0.6481
4,2026,disease,Lung nodule,auroc,0.5854
4,2026,disease,Lung opacity,auroc,0.5923
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.611
4,2026,disease,Pleural effusion,auroc,0.7854
4,2026,disease,Mosaic attenuation pattern,auroc,0.7313
4,2026,disease,Peribronchial thickening,auroc,0.6808
4,2026,disease,Consolidation,auroc,0.623
4,2026,disease,Bronchiectasis,auroc,0.6224
4,2026,disease,Interlobular septal thickening,auroc,0.6941
4,2026,disease,macro,auroc,0.6854
