epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.0713
1,2026,radiomics,1,r2,0.0841
1,2026,radiomics,2,r2,0.146
1,2026,radiomics,mean,r2,0.1005
2,2026,radiomics,0,r2,0.2919
2,2026,radiomics,1,r2,0.1822
2,2026,radiomics,2,r2,0.3284
2,2026,radiomics,mean,r2,0.2675
3,2026,radiomics,0,r2,0.3274
3,2026,radiomics,1,r2,0.2109
3,2026,radiomics,2,r2,0.3714
3,2026,radiomics,mean,r2,0.3032
4,2026,radiomics,0,r2,0.354
4,2026,radiomics,1,r2,0.0559
4,2026,radiomics,2,r2,0.3778
4,2026,radiomics,mean,r2,0.2625
5,2026,radiomics,0,r2,0.3479
5,2026,radiomics,1,r2,0.2727
5,2026,radiomics,2,r2,0.374
5,2026,radiomics,mean,r2,0.3315
6,2026,radiomics,0,r2,0.3697
6,2026,radiomics,1,r2,0.3165
6,2026,radiomics,2,r2,0.4005
6,2026,radiomics,mean,r2,0.3623
7,2026,radiomics,0,r2,0.4033
7,2026,radiomics,1,r2,0.3276
7,2026,radiomics,2,r2,0.4048
7,2026,radiomics,mean,r2,0.3786
8,2026,radiomics,0,r2,0.4108
8,2026,radiomics,1,r2,0.254
8,2026,radiomics,2,r2,0.4205
8,2026,radiomics,mean,r2,0.3618
9,2026,radiomics,0,r2,0.3864
9,2026,radiomics,1,r2,0.2966
9,2026,radiomics,2,r2,0.426
9,2026,radiomics,mean,r2,0.3697
10,2026,radiomics,0,r2,0.3682
10,2026,radiomics,1,r2,0.4284
10,2026,radiomics,2,r2,0.3839
10,2026,radiomics,mean,r2,0.3935
11,2026,radiomics,0,r2,0.3472
11,2026,radiomics,1,r2,0.4524
11,2026,radiomics,2,r2,0.4216
11,2026,radiomics,mean,r2,0.4071
12,2026,radiomics,0,r2,0.4213
12,2026,radiomics,1,r2,0.4638
12,2026,radiomics,2,r2,0.4273
12,2026,radiomics,mean,r2,0.4375
13,2026,radiomics,0,r2,0.383
13,2026,radiomics,1,r2,0.3345
13,2026,radiomics,2,r2,0.4274
13,2026,radiomics,mean,r2,0.3816
