epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9264
1,2026,disease,Arterial wall calcification,auroc,0.9325
1,2026,disease,Cardiomegaly,auroc,0.9291
1,2026,disease,Pericardial effusion,auroc,0.8475
1,2026,disease,Coronary artery wall calcification,auroc,0.9301
1,2026,disease,Hiatal hernia,auroc,0.6985
1,2026,disease,Lymphadenopathy,auroc,0.748
1,2026,disease,Emphysema,auroc,0.7919
1,2026,disease,Atelectasis,auroc,0.8058
1,2026,disease,Lung nodule,auroc,0.7351
1,2026,disease,Lung opacity,auroc,0.8703
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7461
1,2026,disease,Pleural effusion,auroc,0.9697
1,2026,disease,Mosaic attenuation pattern,auroc,0.8717
1,2026,disease,Peribronchial thickening,auroc,0.7984
1,2026,disease,Consolidation,auroc,0.9212
1,2026,disease,Bronchiectasis,auroc,0.7945
1,2026,disease,Interlobular septal thickening,auroc,0.8655
1,2026,disease,macro,auroc,0.8435
1,2026,disease,micro,auroc,0.8516
2,2026,disease,Medical material,auroc,0.9277
2,2026,disease,Arterial wall calcification,auroc,0.9291
2,2026,disease,Cardiomegaly,auroc,0.9336
2,2026,disease,Pericardial effusion,auroc,0.8487
2,2026,disease,Coronary artery wall calcification,auroc,0.9316
2,2026,disease,Hiatal hernia,auroc,0.7111
2,2026,disease,Lymphadenopathy,auroc,0.752
2,2026,disease,Emphysema,auroc,0.8001
2,2026,disease,Atelectasis,auroc,0.8054
2,2026,disease,Lung nodule,auroc,0.7399
2,2026,disease,Lung opacity,auroc,0.8695
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.745
2,2026,disease,Pleural effusion,auroc,0.97
2,2026,disease,Mosaic attenuation pattern,auroc,0.892
2,2026,disease,Peribronchial thickening,auroc,0.8153
2,2026,disease,Consolidation,auroc,0.9221
2,2026,disease,Bronchiectasis,auroc,0.8076
2,2026,disease,Interlobular septal thickening,auroc,0.8714
2,2026,disease,macro,auroc,0.8485
2,2026,disease,micro,auroc,0.8543
3,2026,disease,Medical material,auroc,0.9255
3,2026,disease,Arterial wall calcification,auroc,0.9315
3,2026,disease,Cardiomegaly,auroc,0.9302
3,2026,disease,Pericardial effusion,auroc,0.8567
3,2026,disease,Coronary artery wall calcification,auroc,0.9315
3,2026,disease,Hiatal hernia,auroc,0.7144
3,2026,disease,Lymphadenopathy,auroc,0.7468
3,2026,disease,Emphysema,auroc,0.8069
3,2026,disease,Atelectasis,auroc,0.8209
3,2026,disease,Lung nodule,auroc,0.743
3,2026,disease,Lung opacity,auroc,0.8703
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7345
3,2026,disease,Pleural effusion,auroc,0.9683
3,2026,disease,Mosaic attenuation pattern,auroc,0.8889
3,2026,disease,Peribronchial thickening,auroc,0.8035
3,2026,disease,Consolidation,auroc,0.9212
3,2026,disease,Bronchiectasis,auroc,0.7817
3,2026,disease,Interlobular septal thickening,auroc,0.8786
3,2026,disease,macro,auroc,0.8475
3,2026,disease,micro,auroc,0.8547
4,2026,disease,Medical material,auroc,0.9305
4,2026,disease,Arterial wall calcification,auroc,0.9304
4,2026,disease,Cardiomegaly,auroc,0.9305
4,2026,disease,Pericardial effusion,auroc,0.8631
4,2026,disease,Coronary artery wall calcification,auroc,0.9359
4,2026,disease,Hiatal hernia,auroc,0.7207
4,2026,disease,Lymphadenopathy,auroc,0.7558
4,2026,disease,Emphysema,auroc,0.8031
4,2026,disease,Atelectasis,auroc,0.8092
4,2026,disease,Lung nodule,auroc,0.7365
4,2026,disease,Lung opacity,auroc,0.864
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7365
4,2026,disease,Pleural effusion,auroc,0.9685
4,2026,disease,Mosaic attenuation pattern,auroc,0.8877
4,2026,disease,Peribronchial thickening,auroc,0.8094
4,2026,disease,Consolidation,auroc,0.9234
4,2026,disease,Bronchiectasis,auroc,0.796
4,2026,disease,Interlobular septal thickening,auroc,0.8769
4,2026,disease,macro,auroc,0.8488
4,2026,disease,micro,auroc,0.8566
5,2026,disease,Medical material,auroc,0.9288
5,2026,disease,Arterial wall calcification,auroc,0.9312
5,2026,disease,Cardiomegaly,auroc,0.93
5,2026,disease,Pericardial effusion,auroc,0.8594
5,2026,disease,Coronary artery wall calcification,auroc,0.9342
5,2026,disease,Hiatal hernia,auroc,0.7018
5,2026,disease,Lymphadenopathy,auroc,0.751
5,2026,disease,Emphysema,auroc,0.8037
5,2026,disease,Atelectasis,auroc,0.8147
5,2026,disease,Lung nodule,auroc,0.7313
5,2026,disease,Lung opacity,auroc,0.8652
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7295
5,2026,disease,Pleural effusion,auroc,0.9643
5,2026,disease,Mosaic attenuation pattern,auroc,0.8879
5,2026,disease,Peribronchial thickening,auroc,0.8107
5,2026,disease,Consolidation,auroc,0.9189
5,2026,disease,Bronchiectasis,auroc,0.8027
5,2026,disease,Interlobular septal thickening,auroc,0.8817
5,2026,disease,macro,auroc,0.8471
5,2026,disease,micro,auroc,0.8514
6,2026,disease,Medical material,auroc,0.9261
6,2026,disease,Arterial wall calcification,auroc,0.9325
6,2026,disease,Cardiomegaly,auroc,0.9308
6,2026,disease,Pericardial effusion,auroc,0.8619
6,2026,disease,Coronary artery wall calcification,auroc,0.9357
6,2026,disease,Hiatal hernia,auroc,0.7168
6,2026,disease,Lymphadenopathy,auroc,0.7512
6,2026,disease,Emphysema,auroc,0.803
6,2026,disease,Atelectasis,auroc,0.7998
6,2026,disease,Lung nodule,auroc,0.7317
6,2026,disease,Lung opacity,auroc,0.8699
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7473
6,2026,disease,Pleural effusion,auroc,0.966
6,2026,disease,Mosaic attenuation pattern,auroc,0.8924
6,2026,disease,Peribronchial thickening,auroc,0.792
6,2026,disease,Consolidation,auroc,0.9222
6,2026,disease,Bronchiectasis,auroc,0.8007
6,2026,disease,Interlobular septal thickening,auroc,0.8679
6,2026,disease,macro,auroc,0.8471
6,2026,disease,micro,auroc,0.86
7,2026,disease,Medical material,auroc,0.9282
7,2026,disease,Arterial wall calcification,auroc,0.934
7,2026,disease,Cardiomegaly,auroc,0.93
7,2026,disease,Pericardial effusion,auroc,0.8562
7,2026,disease,Coronary artery wall calcification,auroc,0.9359
7,2026,disease,Hiatal hernia,auroc,0.6984
7,2026,disease,Lymphadenopathy,auroc,0.7551
7,2026,disease,Emphysema,auroc,0.8018
7,2026,disease,Atelectasis,auroc,0.8191
7,2026,disease,Lung nodule,auroc,0.7368
7,2026,disease,Lung opacity,auroc,0.8685
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7489
7,2026,disease,Pleural effusion,auroc,0.9661
7,2026,disease,Mosaic attenuation pattern,auroc,0.8964
7,2026,disease,Peribronchial thickening,auroc,0.8116
7,2026,disease,Consolidation,auroc,0.9151
7,2026,disease,Bronchiectasis,auroc,0.7934
7,2026,disease,Interlobular septal thickening,auroc,0.8578
7,2026,disease,macro,auroc,0.8474
7,2026,disease,micro,auroc,0.8562
8,2026,disease,Medical material,auroc,0.9297
8,2026,disease,Arterial wall calcification,auroc,0.9333
8,2026,disease,Cardiomegaly,auroc,0.9244
8,2026,disease,Pericardial effusion,auroc,0.8559
8,2026,disease,Coronary artery wall calcification,auroc,0.9347
8,2026,disease,Hiatal hernia,auroc,0.6942
8,2026,disease,Lymphadenopathy,auroc,0.7508
8,2026,disease,Emphysema,auroc,0.7947
8,2026,disease,Atelectasis,auroc,0.8066
8,2026,disease,Lung nodule,auroc,0.7301
8,2026,disease,Lung opacity,auroc,0.8672
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7321
8,2026,disease,Pleural effusion,auroc,0.9705
8,2026,disease,Mosaic attenuation pattern,auroc,0.887
8,2026,disease,Peribronchial thickening,auroc,0.8016
8,2026,disease,Consolidation,auroc,0.9228
8,2026,disease,Bronchiectasis,auroc,0.8098
8,2026,disease,Interlobular septal thickening,auroc,0.8666
8,2026,disease,macro,auroc,0.8451
8,2026,disease,micro,auroc,0.8547
9,2026,disease,Medical material,auroc,0.9257
9,2026,disease,Arterial wall calcification,auroc,0.9319
9,2026,disease,Cardiomegaly,auroc,0.9305
9,2026,disease,Pericardial effusion,auroc,0.8398
9,2026,disease,Coronary artery wall calcification,auroc,0.9353
9,2026,disease,Hiatal hernia,auroc,0.7093
9,2026,disease,Lymphadenopathy,auroc,0.7483
9,2026,disease,Emphysema,auroc,0.7933
9,2026,disease,Atelectasis,auroc,0.8236
9,2026,disease,Lung nodule,auroc,0.7316
9,2026,disease,Lung opacity,auroc,0.8665
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7368
9,2026,disease,Pleural effusion,auroc,0.9668
9,2026,disease,Mosaic attenuation pattern,auroc,0.8868
9,2026,disease,Peribronchial thickening,auroc,0.8111
