epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.4819
1,2026,location,1,r2,0.3369
1,2026,location,2,r2,0.3905
1,2026,location,mean,r2,0.4031
2,2026,location,0,r2,0.5722
2,2026,location,1,r2,0.6099
2,2026,location,2,r2,0.521
2,2026,location,mean,r2,0.5677
3,2026,location,0,r2,0.6431
3,2026,location,1,r2,0.6782
3,2026,location,2,r2,0.5364
3,2026,location,mean,r2,0.6192
4,2026,location,0,r2,0.6006
4,2026,location,1,r2,0.7186
4,2026,location,2,r2,0.5696
4,2026,location,mean,r2,0.6296
5,2026,location,0,r2,0.6715
5,2026,location,1,r2,0.7703
5,2026,location,2,r2,0.6121
5,2026,location,mean,r2,0.6846
6,2026,location,0,r2,0.7067
6,2026,location,1,r2,0.7348
6,2026,location,2,r2,0.6037
6,2026,location,mean,r2,0.6817
7,2026,location,0,r2,0.7308
7,2026,location,1,r2,0.7951
7,2026,location,2,r2,0.6562
7,2026,location,mean,r2,0.7274
8,2026,location,0,r2,0.728
8,2026,location,1,r2,0.7993
8,2026,location,2,r2,0.6586
8,2026,location,mean,r2,0.7286
9,2026,location,0,r2,0.7228
9,2026,location,1,r2,0.7936
9,2026,location,2,r2,0.6461
9,2026,location,mean,r2,0.7208
10,2026,location,0,r2,0.736
10,2026,location,1,r2,0.7807
10,2026,location,2,r2,0.6474
10,2026,location,mean,r2,0.7214
11,2026,location,0,r2,0.7659
11,2026,location,1,r2,0.8199
11,2026,location,2,r2,0.6726
11,2026,location,mean,r2,0.7528
12,2026,location,0,r2,0.7643
12,2026,location,1,r2,0.8137
12,2026,location,2,r2,0.6933
12,2026,location,mean,r2,0.7571
13,2026,location,0,r2,0.782
13,2026,location,1,r2,0.812
13,2026,location,2,r2,0.656
13,2026,location,mean,r2,0.75
14,2026,location,0,r2,0.7879
14,2026,location,1,r2,0.8139
14,2026,location,2,r2,0.7111
14,2026,location,mean,r2,0.771
15,2026,location,0,r2,0.7625
15,2026,location,1,r2,0.8169
15,2026,location,2,r2,0.6604
15,2026,location,mean,r2,0.7466
16,2026,location,0,r2,0.7691
16,2026,location,1,r2,0.8201
16,2026,location,2,r2,0.7232
16,2026,location,mean,r2,0.7708
17,2026,location,0,r2,0.7758
17,2026,location,1,r2,0.8278
17,2026,location,2,r2,0.6984
17,2026,location,mean,r2,0.7673
18,2026,location,0,r2,0.7854
18,2026,location,1,r2,0.8183
18,2026,location,2,r2,0.6888
18,2026,location,mean,r2,0.7642
19,2026,location,0,r2,0.7809
19,2026,location,1,r2,0.843
19,2026,location,2,r2,0.6836
19,2026,location,mean,r2,0.7692
20,2026,location,0,r2,0.7982
20,2026,location,1,r2,0.8503
20,2026,location,2,r2,0.694
20,2026,location,mean,r2,0.7808
1,2027,location,0,r2,0.3619
1,2027,location,1,r2,0.3804
1,2027,location,2,r2,0.418
1,2027,location,mean,r2,0.3868
2,2027,location,0,r2,0.4651
2,2027,location,1,r2,0.5751
2,2027,location,2,r2,0.4888
2,2027,location,mean,r2,0.5097
3,2027,location,0,r2,0.5645
3,2027,location,1,r2,0.6806
3,2027,location,2,r2,0.5441
3,2027,location,mean,r2,0.5964
4,2027,location,0,r2,0.6667
4,2027,location,1,r2,0.6912
4,2027,location,2,r2,0.4965
4,2027,location,mean,r2,0.6181
5,2027,location,0,r2,0.6434
5,2027,location,1,r2,0.6823
5,2027,location,2,r2,0.5601
5,2027,location,mean,r2,0.6286
6,2027,location,0,r2,0.6945
6,2027,location,1,r2,0.7697
6,2027,location,2,r2,0.555
6,2027,location,mean,r2,0.6731
7,2027,location,0,r2,0.746
7,2027,location,1,r2,0.8205
7,2027,location,2,r2,0.582
7,2027,location,mean,r2,0.7162
8,2027,location,0,r2,0.7058
8,2027,location,1,r2,0.8113
8,2027,location,2,r2,0.6587
8,2027,location,mean,r2,0.7252
9,2027,location,0,r2,0.7429
9,2027,location,1,r2,0.8237
9,2027,location,2,r2,0.6519
9,2027,location,mean,r2,0.7395
10,2027,location,0,r2,0.7339
10,2027,location,1,r2,0.8202
10,2027,location,2,r2,0.6773
10,2027,location,mean,r2,0.7438
11,2027,location,0,r2,0.769
11,2027,location,1,r2,0.8307
11,2027,location,2,r2,0.6765
11,2027,location,mean,r2,0.7587
12,2027,location,0,r2,0.7667
12,2027,location,1,r2,0.8341
12,2027,location,2,r2,0.6969
12,2027,location,mean,r2,0.7659
13,2027,location,0,r2,0.7412
13,2027,location,1,r2,0.8347
13,2027,location,2,r2,0.6659
13,2027,location,mean,r2,0.7473
14,2027,location,0,r2,0.7761
14,2027,location,1,r2,0.844
14,2027,location,2,r2,0.6477
14,2027,location,mean,r2,0.7559
15,2027,location,0,r2,0.7853
15,2027,location,1,r2,0.8373
15,2027,location,2,r2,0.6827
15,2027,location,mean,r2,0.7684
