epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9077
1,2026,radiomics,1,r2,0.3176
1,2026,radiomics,2,r2,0.856
1,2026,radiomics,mean,r2,0.6938
2,2026,radiomics,0,r2,0.9286
2,2026,radiomics,1,r2,0.4189
2,2026,radiomics,2,r2,0.8973
2,2026,radiomics,mean,r2,0.7483
3,2026,radiomics,0,r2,0.9162
3,2026,radiomics,1,r2,0.3664
3,2026,radiomics,2,r2,0.9032
3,2026,radiomics,mean,r2,0.7286
4,2026,radiomics,0,r2,0.9317
4,2026,radiomics,1,r2,0.41
4,2026,radiomics,2,r2,0.8755
4,2026,radiomics,mean,r2,0.7391
5,2026,radiomics,0,r2,0.9326
5,2026,radiomics,1,r2,0.6144
5,2026,radiomics,2,r2,0.9073
5,2026,radiomics,mean,r2,0.8181
6,2026,radiomics,0,r2,0.9268
6,2026,radiomics,1,r2,0.4132
6,2026,radiomics,2,r2,0.8913
6,2026,radiomics,mean,r2,0.7438
7,2026,radiomics,0,r2,0.9336
7,2026,radiomics,1,r2,0.5629
7,2026,radiomics,2,r2,0.9235
7,2026,radiomics,mean,r2,0.8067
8,2026,radiomics,0,r2,0.9203
8,2026,radiomics,1,r2,0.5477
8,2026,radiomics,2,r2,0.9043
8,2026,radiomics,mean,r2,0.7907
9,2026,radiomics,0,r2,0.9399
9,2026,radiomics,1,r2,0.625
9,2026,radiomics,2,r2,0.9115
9,2026,radiomics,mean,r2,0.8255
10,2026,radiomics,0,r2,0.9216
10,2026,radiomics,1,r2,0.6001
10,2026,radiomics,2,r2,0.9294
10,2026,radiomics,mean,r2,0.817
11,2026,radiomics,0,r2,0.9274
11,2026,radiomics,1,r2,0.5343
11,2026,radiomics,2,r2,0.9266
11,2026,radiomics,mean,r2,0.7961
12,2026,radiomics,0,r2,0.9305
12,2026,radiomics,1,r2,0.5293
12,2026,radiomics,2,r2,0.9389
12,2026,radiomics,mean,r2,0.7995
13,2026,radiomics,0,r2,0.9398
13,2026,radiomics,1,r2,0.6266
13,2026,radiomics,2,r2,0.9309
13,2026,radiomics,mean,r2,0.8324
14,2026,radiomics,0,r2,0.9339
14,2026,radiomics,1,r2,0.5501
14,2026,radiomics,2,r2,0.9289
14,2026,radiomics,mean,r2,0.8043
15,2026,radiomics,0,r2,0.9368
15,2026,radiomics,1,r2,0.4734
15,2026,radiomics,2,r2,0.9187
15,2026,radiomics,mean,r2,0.7763
16,2026,radiomics,0,r2,0.93
16,2026,radiomics,1,r2,0.5546
16,2026,radiomics,2,r2,0.911
16,2026,radiomics,mean,r2,0.7986
17,2026,radiomics,0,r2,0.9329
17,2026,radiomics,1,r2,0.5495
17,2026,radiomics,2,r2,0.9221
17,2026,radiomics,mean,r2,0.8015
18,2026,radiomics,0,r2,0.9336
18,2026,radiomics,1,r2,0.5398
18,2026,radiomics,2,r2,0.9289
18,2026,radiomics,mean,r2,0.8008
19,2026,radiomics,0,r2,0.9414
19,2026,radiomics,1,r2,0.4673
19,2026,radiomics,2,r2,0.9421
19,2026,radiomics,mean,r2,0.7836
20,2026,radiomics,0,r2,0.9295
20,2026,radiomics,1,r2,0.5375
20,2026,radiomics,2,r2,0.931
20,2026,radiomics,mean,r2,0.7993
1,2027,radiomics,0,r2,0.8908
1,2027,radiomics,1,r2,0.3662
1,2027,radiomics,2,r2,0.8693
1,2027,radiomics,mean,r2,0.7087
2,2027,radiomics,0,r2,0.9215
2,2027,radiomics,1,r2,0.5612
2,2027,radiomics,2,r2,0.8899
2,2027,radiomics,mean,r2,0.7909
3,2027,radiomics,0,r2,0.925
3,2027,radiomics,1,r2,0.4844
3,2027,radiomics,2,r2,0.9016
3,2027,radiomics,mean,r2,0.7703
4,2027,radiomics,0,r2,0.9263
4,2027,radiomics,1,r2,0.4877
4,2027,radiomics,2,r2,0.9052
4,2027,radiomics,mean,r2,0.7731
5,2027,radiomics,0,r2,0.9308
5,2027,radiomics,1,r2,0.5683
5,2027,radiomics,2,r2,0.9051
5,2027,radiomics,mean,r2,0.8014
6,2027,radiomics,0,r2,0.9205
6,2027,radiomics,1,r2,0.4422
6,2027,radiomics,2,r2,0.9169
6,2027,radiomics,mean,r2,0.7599
7,2027,radiomics,0,r2,0.9218
7,2027,radiomics,1,r2,0.523
7,2027,radiomics,2,r2,0.9255
7,2027,radiomics,mean,r2,0.7901
8,2027,radiomics,0,r2,0.9326
8,2027,radiomics,1,r2,0.5486
8,2027,radiomics,2,r2,0.9085
8,2027,radiomics,mean,r2,0.7966
9,2027,radiomics,0,r2,0.926
9,2027,radiomics,1,r2,0.5225
9,2027,radiomics,2,r2,0.9242
9,2027,radiomics,mean,r2,0.7909
10,2027,radiomics,0,r2,0.9182
10,2027,radiomics,1,r2,0.501
10,2027,radiomics,2,r2,0.9218
10,2027,radiomics,mean,r2,0.7803
11,2027,radiomics,0,r2,0.9249
