epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8782
1,2026,size,1,r2,0.6163
1,2026,size,2,r2,0.5424
1,2026,size,3,r2,0.644
1,2026,size,4,r2,0.7612
1,2026,size,mean,r2,0.6884
2,2026,size,0,r2,0.8953
2,2026,size,1,r2,0.6796
2,2026,size,2,r2,0.545
2,2026,size,3,r2,0.6547
2,2026,size,4,r2,0.8015
2,2026,size,mean,r2,0.7152
3,2026,size,0,r2,0.9083
3,2026,size,1,r2,0.7006
3,2026,size,2,r2,0.5871
3,2026,size,3,r2,0.6881
3,2026,size,4,r2,0.8099
3,2026,size,mean,r2,0.7388
4,2026,size,0,r2,0.9047
4,2026,size,1,r2,0.631
4,2026,size,2,r2,0.5427
4,2026,size,3,r2,0.6868
4,2026,size,4,r2,0.8171
4,2026,size,mean,r2,0.7165
5,2026,size,0,r2,0.9128
5,2026,size,1,r2,0.7187
5,2026,size,2,r2,0.5928
5,2026,size,3,r2,0.715
5,2026,size,4,r2,0.8163
5,2026,size,mean,r2,0.7511
6,2026,size,0,r2,0.9107
6,2026,size,1,r2,0.7362
6,2026,size,2,r2,0.6044
6,2026,size,3,r2,0.7285
6,2026,size,4,r2,0.8194
6,2026,size,mean,r2,0.7598
7,2026,size,0,r2,0.9126
7,2026,size,1,r2,0.7255
7,2026,size,2,r2,0.5853
7,2026,size,3,r2,0.7108
7,2026,size,4,r2,0.8153
7,2026,size,mean,r2,0.7499
8,2026,size,0,r2,0.914
8,2026,size,1,r2,0.7305
8,2026,size,2,r2,0.6166
8,2026,size,3,r2,0.7242
8,2026,size,4,r2,0.8336
8,2026,size,mean,r2,0.7638
9,2026,size,0,r2,0.9276
9,2026,size,1,r2,0.7065
9,2026,size,2,r2,0.6064
9,2026,size,3,r2,0.7319
9,2026,size,4,r2,0.8436
9,2026,size,mean,r2,0.7632
10,2026,size,0,r2,0.9224
10,2026,size,1,r2,0.7317
10,2026,size,2,r2,0.6224
10,2026,size,3,r2,0.7344
10,2026,size,4,r2,0.8417
10,2026,size,mean,r2,0.7705
11,2026,size,0,r2,0.9214
11,2026,size,1,r2,0.7128
11,2026,size,2,r2,0.5988
