epoch,seed,family,target,metric,score
1,2027,location,0,r2,0.3619
1,2027,location,1,r2,0.3804
1,2027,location,2,r2,0.418
1,2027,location,mean,r2,0.3868
2,2027,location,0,r2,0.4651
2,2027,location,1,r2,0.5751
2,2027,location,2,r2,0.4888
2,2027,location,mean,r2,0.5097
3,2027,location,0,r2,0.5645
3,2027,location,1,r2,0.6806
3,2027,location,2,r2,0.5441
3,2027,location,mean,r2,0.5964
4,2027,location,0,r2,0.6667
4,2027,location,1,r2,0.6912
4,2027,location,2,r2,0.4965
4,2027,location,mean,r2,0.6181
5,2027,location,0,r2,0.6434
5,2027,location,1,r2,0.6823
5,2027,location,2,r2,0.5601
5,2027,location,mean,r2,0.6286
6,2027,location,0,r2,0.6945
6,2027,location,1,r2,0.7697
6,2027,location,2,r2,0.555
6,2027,location,mean,r2,0.6731
7,2027,location,0,r2,0.746
7,2027,location,1,r2,0.8205
7,2027,location,2,r2,0.582
7,2027,location,mean,r2,0.7162
8,2027,location,0,r2,0.7058
8,2027,location,1,r2,0.8113
8,2027,location,2,r2,0.6587
8,2027,location,mean,r2,0.7252
9,2027,location,0,r2,0.7429
9,2027,location,1,r2,0.8237
9,2027,location,2,r2,0.6519
9,2027,location,mean,r2,0.7395
10,2027,location,0,r2,0.7339
10,2027,location,1,r2,0.8202
10,2027,location,2,r2,0.6773
10,2027,location,mean,r2,0.7438
11,2027,location,0,r2,0.769
11,2027,location,1,r2,0.8307
11,2027,location,2,r2,0.6765
11,2027,location,mean,r2,0.7587
12,2027,location,0,r2,0.7667
12,2027,location,1,r2,0.8341
12,2027,location,2,r2,0.6969
12,2027,location,mean,r2,0.7659
13,2027,location,0,r2,0.7412
13,2027,location,1,r2,0.8347
13,2027,location,2,r2,0.6659
13,2027,location,mean,r2,0.7473
14,2027,location,0,r2,0.7761
14,2027,location,1,r2,0.844
14,2027,location,2,r2,0.6477
14,2027,location,mean,r2,0.7559
15,2027,location,0,r2,0.7853
15,2027,location,1,r2,0.8373
15,2027,location,2,r2,0.6827
15,2027,location,mean,r2,0.7684
16,2027,location,0,r2,0.7805
16,2027,location,1,r2,0.8415
16,2027,location,2,r2,0.6799
16,2027,location,mean,r2,0.7673
17,2027,location,0,r2,0.7982
17,2027,location,1,r2,0.8511
17,2027,location,2,r2,0.7036
17,2027,location,mean,r2,0.7843
18,2027,location,0,r2,0.7928
18,2027,location,1,r2,0.8371
18,2027,location,2,r2,0.7007
18,2027,location,mean,r2,0.7769
19,2027,location,0,r2,0.8078
19,2027,location,1,r2,0.8447
19,2027,location,2,r2,0.6889
19,2027,location,mean,r2,0.7804
20,2027,location,0,r2,0.7481
20,2027,location,1,r2,0.85
20,2027,location,2,r2,0.6904
20,2027,location,mean,r2,0.7628
