epoch,seed,family,target,metric,score
1,2028,radiomics,0,r2,0.9185
1,2028,radiomics,1,r2,0.3
1,2028,radiomics,2,r2,0.8569
1,2028,radiomics,mean,r2,0.6918
2,2028,radiomics,0,r2,0.9118
2,2028,radiomics,1,r2,0.4857
2,2028,radiomics,2,r2,0.8898
2,2028,radiomics,mean,r2,0.7624
3,2028,radiomics,0,r2,0.9211
3,2028,radiomics,1,r2,0.4687
3,2028,radiomics,2,r2,0.9007
3,2028,radiomics,mean,r2,0.7635
4,2028,radiomics,0,r2,0.9224
4,2028,radiomics,1,r2,0.5243
4,2028,radiomics,2,r2,0.8888
4,2028,radiomics,mean,r2,0.7785
5,2028,radiomics,0,r2,0.9117
5,2028,radiomics,1,r2,0.5618
5,2028,radiomics,2,r2,0.8982
5,2028,radiomics,mean,r2,0.7906
6,2028,radiomics,0,r2,0.9232
6,2028,radiomics,1,r2,0.5831
6,2028,radiomics,2,r2,0.9155
6,2028,radiomics,mean,r2,0.8072
7,2028,radiomics,0,r2,0.9382
7,2028,radiomics,1,r2,0.5119
7,2028,radiomics,2,r2,0.9089
7,2028,radiomics,mean,r2,0.7863
8,2028,radiomics,0,r2,0.9381
8,2028,radiomics,1,r2,0.4969
8,2028,radiomics,2,r2,0.9175
8,2028,radiomics,mean,r2,0.7841
9,2028,radiomics,0,r2,0.929
9,2028,radiomics,1,r2,0.6261
9,2028,radiomics,2,r2,0.9259
9,2028,radiomics,mean,r2,0.827
10,2028,radiomics,0,r2,0.9383
10,2028,radiomics,1,r2,0.5956
10,2028,radiomics,2,r2,0.9335
10,2028,radiomics,mean,r2,0.8225
11,2028,radiomics,0,r2,0.8876
11,2028,radiomics,1,r2,0.5173
11,2028,radiomics,2,r2,0.9198
11,2028,radiomics,mean,r2,0.7749
12,2028,radiomics,0,r2,0.9421
12,2028,radiomics,1,r2,0.5717
12,2028,radiomics,2,r2,0.9271
12,2028,radiomics,mean,r2,0.8136
13,2028,radiomics,0,r2,0.934
13,2028,radiomics,1,r2,0.6497
13,2028,radiomics,2,r2,0.9231
13,2028,radiomics,mean,r2,0.8356
14,2028,radiomics,0,r2,0.9419
14,2028,radiomics,1,r2,0.6976
14,2028,radiomics,2,r2,0.9331
14,2028,radiomics,mean,r2,0.8575
15,2028,radiomics,0,r2,0.9389
15,2028,radiomics,1,r2,0.5846
15,2028,radiomics,2,r2,0.924
15,2028,radiomics,mean,r2,0.8159
16,2028,radiomics,0,r2,0.9395
16,2028,radiomics,1,r2,0.6329
16,2028,radiomics,2,r2,0.9378
16,2028,radiomics,mean,r2,0.8367
17,2028,radiomics,0,r2,0.8935
17,2028,radiomics,1,r2,0.6116
17,2028,radiomics,2,r2,0.9404
17,2028,radiomics,mean,r2,0.8152
18,2028,radiomics,0,r2,0.9428
18,2028,radiomics,1,r2,0.5762
18,2028,radiomics,2,r2,0.9382
18,2028,radiomics,mean,r2,0.8191
19,2028,radiomics,0,r2,0.9333
19,2028,radiomics,1,r2,0.6226
19,2028,radiomics,2,r2,0.9355
19,2028,radiomics,mean,r2,0.8305
20,2028,radiomics,0,r2,0.948
20,2028,radiomics,1,r2,0.6948
20,2028,radiomics,2,r2,0.9433
20,2028,radiomics,mean,r2,0.8621
