epoch,seed,family,target,metric,score
1,2028,size,0,r2,0.8633
1,2028,size,1,r2,0.6379
1,2028,size,2,r2,0.5144
1,2028,size,3,r2,0.6627
1,2028,size,4,r2,0.7436
1,2028,size,mean,r2,0.6844
2,2028,size,0,r2,0.887
2,2028,size,1,r2,0.6709
2,2028,size,2,r2,0.537
2,2028,size,3,r2,0.693
2,2028,size,4,r2,0.7727
2,2028,size,mean,r2,0.7121
3,2028,size,0,r2,0.9132
3,2028,size,1,r2,0.6599
3,2028,size,2,r2,0.5446
3,2028,size,3,r2,0.7086
3,2028,size,4,r2,0.7966
3,2028,size,mean,r2,0.7246
4,2028,size,0,r2,0.9007
4,2028,size,1,r2,0.7018
4,2028,size,2,r2,0.5951
4,2028,size,3,r2,0.7111
4,2028,size,4,r2,0.8222
4,2028,size,mean,r2,0.7462
5,2028,size,0,r2,0.8923
5,2028,size,1,r2,0.7359
5,2028,size,2,r2,0.583
5,2028,size,3,r2,0.7002
5,2028,size,4,r2,0.7919
5,2028,size,mean,r2,0.7407
6,2028,size,0,r2,0.913
6,2028,size,1,r2,0.673
6,2028,size,2,r2,0.582
6,2028,size,3,r2,0.691
6,2028,size,4,r2,0.8203
6,2028,size,mean,r2,0.7359
7,2028,size,0,r2,0.8939
7,2028,size,1,r2,0.7357
7,2028,size,2,r2,0.5888
7,2028,size,3,r2,0.7051
7,2028,size,4,r2,0.7698
7,2028,size,mean,r2,0.7387
8,2028,size,0,r2,0.9118
8,2028,size,1,r2,0.7692
8,2028,size,2,r2,0.6064
8,2028,size,3,r2,0.7607
8,2028,size,4,r2,0.8357
8,2028,size,mean,r2,0.7768
9,2028,size,0,r2,0.9275
9,2028,size,1,r2,0.7856
9,2028,size,2,r2,0.6195
9,2028,size,3,r2,0.7611
9,2028,size,4,r2,0.8517
9,2028,size,mean,r2,0.7891
10,2028,size,0,r2,0.9286
10,2028,size,1,r2,0.7643
10,2028,size,2,r2,0.5894
10,2028,size,3,r2,0.775
10,2028,size,4,r2,0.8502
10,2028,size,mean,r2,0.7815
11,2028,size,0,r2,0.9121
11,2028,size,1,r2,0.7795
11,2028,size,2,r2,0.6279
11,2028,size,3,r2,0.7342
11,2028,size,4,r2,0.8228
11,2028,size,mean,r2,0.7753
12,2028,size,0,r2,0.9118
12,2028,size,1,r2,0.7696
12,2028,size,2,r2,0.6243
12,2028,size,3,r2,0.7755
12,2028,size,4,r2,0.8597
12,2028,size,mean,r2,0.7882
13,2028,size,0,r2,0.9006
13,2028,size,1,r2,0.7917
13,2028,size,2,r2,0.5953
13,2028,size,3,r2,0.7868
13,2028,size,4,r2,0.8407
13,2028,size,mean,r2,0.783
14,2028,size,0,r2,0.925
14,2028,size,1,r2,0.7653
14,2028,size,2,r2,0.5966
14,2028,size,3,r2,0.7751
14,2028,size,4,r2,0.8494
14,2028,size,mean,r2,0.7823
15,2028,size,0,r2,0.9327
15,2028,size,1,r2,0.7888
15,2028,size,2,r2,0.6148
15,2028,size,3,r2,0.778
15,2028,size,4,r2,0.8617
15,2028,size,mean,r2,0.7952
16,2028,size,0,r2,0.9168
16,2028,size,1,r2,0.7563
16,2028,size,2,r2,0.6106
16,2028,size,3,r2,0.7719
16,2028,size,4,r2,0.8571
16,2028,size,mean,r2,0.7826
17,2028,size,0,r2,0.9207
17,2028,size,1,r2,0.7906
17,2028,size,2,r2,0.6042
17,2028,size,3,r2,0.7642
17,2028,size,4,r2,0.8554
17,2028,size,mean,r2,0.787
18,2028,size,0,r2,0.9303
18,2028,size,1,r2,0.7769
18,2028,size,2,r2,0.6163
18,2028,size,3,r2,0.7865
18,2028,size,4,r2,0.8528
18,2028,size,mean,r2,0.7926
19,2028,size,0,r2,0.9304
19,2028,size,1,r2,0.7991
19,2028,size,2,r2,0.5813
19,2028,size,3,r2,0.7862
19,2028,size,4,r2,0.8515
19,2028,size,mean,r2,0.7897
20,2028,size,0,r2,0.9285
20,2028,size,1,r2,0.7488
20,2028,size,2,r2,0.6177
20,2028,size,3,r2,0.7925
20,2028,size,4,r2,0.8648
20,2028,size,mean,r2,0.7905
