epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.7111
1,2026,disease,Arterial wall calcification,auroc,0.7958
1,2026,disease,Cardiomegaly,auroc,0.8799
1,2026,disease,Pericardial effusion,auroc,0.7738
1,2026,disease,Coronary artery wall calcification,auroc,0.7838
1,2026,disease,Hiatal hernia,auroc,0.6928
1,2026,disease,Lymphadenopathy,auroc,0.678
1,2026,disease,Emphysema,auroc,0.6933
1,2026,disease,Atelectasis,auroc,0.6692
1,2026,disease,Lung nodule,auroc,0.6154
1,2026,disease,Lung opacity,auroc,0.6634
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.5889
1,2026,disease,Pleural effusion,auroc,0.9163
1,2026,disease,Mosaic attenuation pattern,auroc,0.7968
1,2026,disease,Peribronchial thickening,auroc,0.7092
1,2026,disease,Consolidation,auroc,0.7155
1,2026,disease,Bronchiectasis,auroc,0.6767
1,2026,disease,Interlobular septal thickening,auroc,0.7788
1,2026,disease,macro,auroc,0.7299
1,2026,disease,micro,auroc,0.7321
2,2026,disease,Medical material,auroc,0.7134
2,2026,disease,Arterial wall calcification,auroc,0.8203
2,2026,disease,Cardiomegaly,auroc,0.8966
2,2026,disease,Pericardial effusion,auroc,0.7939
2,2026,disease,Coronary artery wall calcification,auroc,0.8054
2,2026,disease,Hiatal hernia,auroc,0.7108
2,2026,disease,Lymphadenopathy,auroc,0.6861
2,2026,disease,Emphysema,auroc,0.7195
2,2026,disease,Atelectasis,auroc,0.681
2,2026,disease,Lung nodule,auroc,0.6134
2,2026,disease,Lung opacity,auroc,0.674
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.6224
2,2026,disease,Pleural effusion,auroc,0.9224
2,2026,disease,Mosaic attenuation pattern,auroc,0.8106
2,2026,disease,Peribronchial thickening,auroc,0.7395
2,2026,disease,Consolidation,auroc,0.7275
2,2026,disease,Bronchiectasis,auroc,0.6701
2,2026,disease,Interlobular septal thickening,auroc,0.7858
2,2026,disease,macro,auroc,0.744
2,2026,disease,micro,auroc,0.7372
3,2026,disease,Medical material,auroc,0.7169
3,2026,disease,Arterial wall calcification,auroc,0.83
3,2026,disease,Cardiomegaly,auroc,0.9029
3,2026,disease,Pericardial effusion,auroc,0.7969
3,2026,disease,Coronary artery wall calcification,auroc,0.8149
3,2026,disease,Hiatal hernia,auroc,0.7159
3,2026,disease,Lymphadenopathy,auroc,0.6962
3,2026,disease,Emphysema,auroc,0.7332
3,2026,disease,Atelectasis,auroc,0.687
3,2026,disease,Lung nodule,auroc,0.6146
3,2026,disease,Lung opacity,auroc,0.6782
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.6315
3,2026,disease,Pleural effusion,auroc,0.9282
3,2026,disease,Mosaic attenuation pattern,auroc,0.817
3,2026,disease,Peribronchial thickening,auroc,0.7438
3,2026,disease,Consolidation,auroc,0.732
3,2026,disease,Bronchiectasis,auroc,0.6865
3,2026,disease,Interlobular septal thickening,auroc,0.7879
3,2026,disease,macro,auroc,0.7508
3,2026,disease,micro,auroc,0.7487
4,2026,disease,Medical material,auroc,0.7186
4,2026,disease,Arterial wall calcification,auroc,0.8381
4,2026,disease,Cardiomegaly,auroc,0.9018
4,2026,disease,Pericardial effusion,auroc,0.7967
4,2026,disease,Coronary artery wall calcification,auroc,0.8195
4,2026,disease,Hiatal hernia,auroc,0.7177
4,2026,disease,Lymphadenopathy,auroc,0.6921
4,2026,disease,Emphysema,auroc,0.7432
4,2026,disease,Atelectasis,auroc,0.6855
4,2026,disease,Lung nodule,auroc,0.619
4,2026,disease,Lung opacity,auroc,0.6796
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.6389
4,2026,disease,Pleural effusion,auroc,0.9282
4,2026,disease,Mosaic attenuation pattern,auroc,0.8211
4,2026,disease,Peribronchial thickening,auroc,0.7421
4,2026,disease,Consolidation,auroc,0.7334
4,2026,disease,Bronchiectasis,auroc,0.6904
4,2026,disease,Interlobular septal thickening,auroc,0.7928
4,2026,disease,macro,auroc,0.7532
4,2026,disease,micro,auroc,0.7402
5,2026,disease,Medical material,auroc,0.7199
5,2026,disease,Arterial wall calcification,auroc,0.8406
5,2026,disease,Cardiomegaly,auroc,0.9033
5,2026,disease,Pericardial effusion,auroc,0.8027
5,2026,disease,Coronary artery wall calcification,auroc,0.8226
5,2026,disease,Hiatal hernia,auroc,0.7158
5,2026,disease,Lymphadenopathy,auroc,0.6966
5,2026,disease,Emphysema,auroc,0.7423
5,2026,disease,Atelectasis,auroc,0.6915
5,2026,disease,Lung nodule,auroc,0.6192
5,2026,disease,Lung opacity,auroc,0.6817
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.6365
5,2026,disease,Pleural effusion,auroc,0.9298
5,2026,disease,Mosaic attenuation pattern,auroc,0.8178
5,2026,disease,Peribronchial thickening,auroc,0.7515
5,2026,disease,Consolidation,auroc,0.733
5,2026,disease,Bronchiectasis,auroc,0.683
5,2026,disease,Interlobular septal thickening,auroc,0.7943
5,2026,disease,macro,auroc,0.7546
5,2026,disease,micro,auroc,0.7604
6,2026,disease,Medical material,auroc,0.7161
6,2026,disease,Arterial wall calcification,auroc,0.8426
6,2026,disease,Cardiomegaly,auroc,0.9082
6,2026,disease,Pericardial effusion,auroc,0.805
6,2026,disease,Coronary artery wall calcification,auroc,0.8244
6,2026,disease,Hiatal hernia,auroc,0.7144
6,2026,disease,Lymphadenopathy,auroc,0.7009
6,2026,disease,Emphysema,auroc,0.7462
6,2026,disease,Atelectasis,auroc,0.6931
6,2026,disease,Lung nodule,auroc,0.6143
